"NAME:","Tone at Greenham"
"NUMBER:","52014"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/06/1966 00:00,0.880,6.79,"2b","CEH files","",""
22/10/1966 00:00,1.110,9.63,"2b","CEH files","",""
29/12/1966 00:00,0.980,7.98,"2b","CEH files","",""
19/02/1967 00:00,1.230,11.23,"2b","CEH files","",""
20/02/1967 00:00,1.420,13.93,"2b","CEH files","",""
27/02/1967 00:00,0.950,7.62,"2b","CEH files","",""
30/10/1967 00:00,1.020,8.48,"2b","CEH files","",""
01/11/1967 00:00,1.180,10.55,"2b","CEH files","",""
04/11/1967 00:00,1.360,13.05,"2b","CEH files","",""
08/01/1968 00:00,1.620,16.97,"2b","CEH files","",""
10/07/1968 00:00,2.150,25.95,"2b","CEH files","",""
21/12/1968 00:00,1.330,12.62,"2b","CEH files","",""
24/12/1968 00:00,0.970,7.86,"2b","CEH files","",""
07/01/1969 00:00,1.370,13.20,"2b","CEH files","",""
18/09/1969 00:00,1.980,22.93,"2b","CEH files","",""
14/01/1970 00:00,1.460,14.52,"2b","CEH files","",""
15/01/1970 00:00,1.120,9.76,"2b","CEH files","",""
17/01/1970 00:00,0.940,7.50,"2b","CEH files","",""
20/02/1970 00:00,1.000,8.23,"2b","CEH files","",""
22/02/1970 00:00,0.990,8.11,"2b","CEH files","",""
22/11/1970 00:00,1.520,15.42,"2b","CEH files","",""
25/01/1971 00:00,1.480,14.82,"2b","CEH files","",""
26/01/1971 00:00,1.060,8.98,"2b","CEH files","",""
31/01/1971 00:00,1.320,12.48,"2b","CEH files","",""
12/01/1972 00:00,1.150,10.15,"2b","CEH files","",""
07/03/1972 09:00,0.583,3.66,"2b","Digital Archive","","AMAX ONLY"
06/06/1972 00:00,0.950,7.62,"2b","CEH files","",""
06/12/1972 00:00,0.950,7.62,"2b","CEH files","",""
08/12/1973 04:15,0.476,2.70,"2b","Digital Archive","","AMAX ONLY"
08/01/1974 18:30,0.884,6.84,"2b","Digital Archive","",""
11/01/1974 05:45,0.681,4.63,"2b","Digital Archive","Non-independent peak removed B",""
16/01/1974 16:45,0.720,5.03,"2b","Digital Archive","",""
06/02/1974 05:00,0.867,6.64,"2b","Digital Archive","",""
09/02/1974 13:45,1.837,20.49,"2b","Digital Archive","Non-independent peak removed A",""
15/02/1974 06:30,1.618,16.94,"2b","Digital Archive","",""
01/03/1974 03:30,0.820,6.11,"2b","Digital Archive","",""
05/09/1974 08:30,0.894,6.96,"2b","Digital Archive","",""
27/09/1974 12:00,1.258,11.61,"2b","Digital Archive","",""
13/11/1974 17:45,1.044,8.78,"2b","Digital Archive","",""
20/11/1974 06:15,0.739,5.23,"2b","Digital Archive","",""
22/11/1974 02:15,0.950,7.62,"2b","Digital Archive","",""
25/12/1974 16:30,0.847,6.42,"2b","Digital Archive","",""
27/12/1974 01:30,1.141,10.03,"2b","Digital Archive","",""
20/01/1975 05:15,1.296,12.14,"2b","Digital Archive","",""
22/01/1975 15:30,0.984,8.03,"2b","Digital Archive","",""
27/01/1975 02:45,0.864,6.61,"2b","Digital Archive","",""
28/01/1975 13:00,1.261,11.65,"2b","Digital Archive","",""
31/01/1975 09:00,0.990,8.11,"2b","Digital Archive","",""
06/03/1975 16:30,0.857,6.53,"2b","Digital Archive","",""
01/12/1975 22:30,0.653,4.34,"2b","Digital Archive","",""
01/10/1976 22:45,1.011,8.37,"2b","Digital Archive","",""
03/10/1976 14:15,0.707,4.89,"2b","Digital Archive","",""
14/10/1976 20:15,0.994,8.16,"2b","Digital Archive","",""
18/10/1976 13:30,0.674,4.55,"2b","Digital Archive","",""
24/10/1976 18:00,0.763,5.49,"2b","Digital Archive","",""
27/10/1976 11:45,0.755,5.40,"2b","Digital Archive","",""
