"NAME:","Land Yeo at Wraxall Bridge"
"NUMBER:","52015"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
21/01/1971 00:00,0.270,1.50,"1a","CEH files","",""
23/01/1971 00:00,0.260,1.41,"1a","CEH files","",""
25/01/1971 00:00,0.240,1.24,"1a","CEH files","",""
26/01/1971 00:00,0.720,7.28,"1a","CEH files","",""
28/01/1971 00:00,0.250,1.33,"1a","CEH files","",""
30/01/1971 00:00,0.270,1.50,"1a","CEH files","",""
31/01/1971 00:00,0.560,4.85,"1a","CEH files","",""
26/04/1971 00:00,0.300,1.78,"1a","CEH files","",""
11/06/1971 00:00,0.280,1.59,"1a","CEH files","",""
18/06/1971 00:00,0.270,1.50,"1a","CEH files","",""
19/10/1971 00:00,0.580,5.14,"1a","CEH files","",""
12/01/1972 00:00,0.340,2.17,"1a","CEH files","",""
03/02/1972 00:00,0.330,2.07,"1a","CEH files","",""
04/03/1972 00:00,0.260,1.41,"1a","CEH files","",""
07/03/1972 00:00,0.250,1.33,"1a","CEH files","",""
02/11/1972 00:00,0.310,1.87,"1a","CEH files","",""
06/12/1972 00:00,0.450,3.41,"1a","CEH files","",""
09/02/1974 00:00,0.400,2.82,"1a","CEH files","",""
11/02/1974 00:00,0.310,1.87,"1a","CEH files","",""
14/02/1974 00:00,0.330,2.07,"1a","CEH files","",""
05/09/1974 00:00,0.250,1.33,"1a","CEH files","",""
27/09/1974 00:00,0.590,5.28,"1a","CEH files","",""
28/09/1974 00:00,0.250,1.33,"1a","CEH files","",""
20/11/1974 00:00,0.240,1.24,"1a","CEH files","",""
21/11/1974 00:00,0.310,1.87,"1a","CEH files","",""
25/12/1974 00:00,0.250,1.33,"1a","CEH files","",""
26/12/1974 00:00,0.310,1.87,"1a","CEH files","",""
20/01/1975 00:00,0.340,2.17,"1a","CEH files","",""
22/01/1975 00:00,0.360,2.38,"1a","CEH files","",""
26/01/1975 00:00,0.260,1.41,"1a","CEH files","",""
28/01/1975 00:00,0.350,2.28,"1a","CEH files","",""
01/12/1975 00:00,0.220,1.08,"1a","CEH files","",""
08/12/1975 00:00,0.230,1.16,"1a","CEH files","",""
31/12/1976 00:00,0.240,1.24,"1a","CEH files","",""
10/02/1977 00:00,0.250,1.33,"1a","CEH files","",""
20/02/1977 00:00,0.310,1.87,"1a","CEH files","",""
21/02/1977 00:00,0.220,1.08,"1a","CEH files","",""
23/02/1977 00:00,0.260,1.41,"1a","CEH files","",""
30/05/1979 00:00,0.420,3.05,"1a","CEH files","",""
23/08/1979 00:00,0.240,1.24,"1a","CEH files","",""
23/12/1985 00:00,0.380,2.60,"1a","CEH files","",""
25/12/1985 00:00,0.490,3.91,"1a","CEH files","",""
01/01/1986 00:00,0.250,1.33,"1a","CEH files","",""
10/01/1986 00:00,0.320,1.97,"1a","CEH files","",""
22/01/1986 00:00,0.260,1.41,"1a","CEH files","",""
28/01/1986 00:00,0.370,2.49,"1a","CEH files","",""
18/11/1986 00:00,0.320,1.97,"1a","CEH files","",""
20/11/1986 00:00,0.300,1.78,"1a","CEH files","",""
22/11/1986 00:00,0.300,1.78,"1a","CEH files","",""
25/11/1986 00:00,0.270,1.50,"1a","CEH files","",""
15/12/1986 00:00,0.250,1.33,"1a","CEH files","",""
17/12/1986 00:00,0.220,1.08,"1a","CEH files","",""
30/12/1986 00:00,0.240,1.24,"1a","CEH files","",""
31/12/1986 00:00,0.290,1.68,"1a","CEH files","",""
26/03/1987 00:00,0.260,1.41,"1a","CEH files","",""
04/04/1987 00:00,0.230,1.16,"1a","CEH files","",""
11/11/1987 00:00,0.240,1.24,"1a","CEH files","",""
