"NAME:","Semington Brook at Semington"
"NUMBER:","53002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/07/1968 17:30,1.954,13.90,"","Digital Archive","",""
17/12/1968 21:15,1.576,11.10,"","Digital Archive","",""
22/12/1968 14:30,1.585,11.10,"","Digital Archive","",""
25/12/1968 16:15,1.646,11.60,"","Digital Archive","",""
13/03/1969 12:45,1.467,10.20,"","Digital Archive","",""
23/01/1970 23:15,1.182,8.01,"2b","Digital Archive","","AMAX ONLY"
21/01/1971 13:00,1.740,12.30,"2b","Digital Archive","",""
26/04/1971 21:45,1.481,10.30,"2b","Digital Archive","",""
11/06/1971 21:45,1.876,13.30,"2b","Digital Archive","",""
19/06/1971 11:45,1.538,10.80,"2b","Digital Archive","",""
04/02/1972 03:45,2.028,14.50,"2b","Digital Archive","",""
07/03/1972 16:15,1.456,10.10,"2b","Digital Archive","",""
14/04/1972 08:30,1.489,10.40,"2b","Digital Archive","",""
06/12/1972 21:00,2.090,14.90,"2b","Digital Archive","",""
09/02/1974 23:15,1.905,13.50,"2b","Digital Archive","",""
15/02/1974 06:00,1.693,12.00,"2b","Digital Archive","",""
28/09/1974 05:30,2.099,15.00,"2b","Digital Archive","",""
22/11/1974 13:30,1.589,11.20,"2b","Digital Archive","",""
27/12/1974 13:30,1.602,11.30,"2b","Digital Archive","",""
20/01/1975 19:45,1.971,14.00,"2b","Digital Archive","",""
27/01/1975 17:00,1.432,9.96,"2b","Digital Archive","",""
26/09/1976 06:00,0.909,5.81,"2b","Digital Archive","","AMAX ONLY"
01/12/1976 03:15,2.220,15.90,"2b","Digital Archive","",""
06/12/1976 10:15,1.442,10.00,"2b","Digital Archive","",""
19/12/1976 07:30,1.526,10.70,"2b","Digital Archive","",""
21/12/1976 07:30,1.435,9.99,"2b","Digital Archive","",""
01/01/1977 10:15,1.752,12.40,"2b","Digital Archive","",""
14/01/1977 08:15,1.719,12.20,"2b","Digital Archive","",""
06/02/1977 04:15,1.501,10.50,"2b","Digital Archive","",""
10/02/1977 11:45,1.453,10.10,"2b","Digital Archive","",""
19/02/1977 01:15,1.567,11.00,"2b","Digital Archive","",""
21/02/1977 05:00,1.689,11.90,"2b","Digital Archive","",""
25/02/1977 04:30,1.956,13.90,"2b","Digital Archive","",""
14/06/1977 20:30,1.631,11.50,"2b","Digital Archive","",""
25/08/1977 05:45,1.637,11.50,"2b","Digital Archive","",""
02/11/1977 08:00,1.618,11.40,"2b","Digital Archive","",""
08/12/1977 08:00,1.677,11.80,"2b","Digital Archive","",""
10/12/1977 14:45,1.886,13.40,"2b","Digital Archive","",""
23/01/1978 22:15,1.761,12.50,"2b","Digital Archive","",""
28/01/1978 18:15,1.991,14.20,"2b","Digital Archive","",""
02/05/1978 11:45,1.734,12.30,"2b","Digital Archive","",""
01/02/1979 18:30,1.550,10.90,"2b","Digital Archive","",""
27/03/1979 21:45,1.436,10.00,"2b","Digital Archive","",""
28/12/1979 04:00,3.304,23.60,"2b","Digital Archive","",""
05/02/1980 13:00,1.683,11.90,"2b","Digital Archive","",""
19/03/1980 02:00,1.495,10.40,"2b","Digital Archive","",""
02/04/1980 00:30,1.591,11.20,"2b","Digital Archive","",""
25/06/1980 22:30,1.419,9.86,"2b","Digital Archive","",""
03/03/1981 12:00,1.710,12.10,"2b","Digital Archive","",""
14/03/1981 02:00,1.531,10.70,"2b","Digital Archive","",""
08/12/1981 16:00,1.444,10.10,"2b","Digital Archive","",""
14/12/1981 12:15,1.954,13.90,"2b","Digital Archive","",""
29/12/1981 15:45,1.679,11.90,"2b","Digital Archive","",""
17/01/1982 03:30,1.554,10.90,"2b","Digital Archive","",""
10/03/1982 07:45,1.679,11.90,"2b","Digital Archive","",""
16/03/1982 02:45,1.976,14.10,"2b","Digital Archive","",""
12/11/1982 15:45,1.716,12.10,"2b","Digital Archive","",""
22/11/1982 02:15,1.707,12.10,"2b","Digital Archive","",""
25/11/1982 02:30,1.554,10.90,"2b","Digital Archive","",""
10/12/1982 09:45,2.231,16.00,"2b","Digital Archive","",""
12/12/1982 17:15,1.793,12.70,"2b","Digital Archive","",""
20/12/1982 01:30,1.729,12.20,"2b","Digital Archive","",""
04/01/1983 07:45,1.478,10.30,"2b","Digital Archive","",""
08/01/1983 04:30,1.463,10.20,"2b","Digital Archive","",""
31/01/1983 22:00,1.672,11.80,"2b","Digital Archive","",""
18/05/1983 03:45,1.545,10.80,"2b","Digital Archive","",""
01/06/1983 09:45,1.675,11.80,"2b","Digital Archive","",""
20/12/1983 18:15,1.598,11.20,"2b","Digital Archive","",""
03/01/1984 06:00,1.690,11.90,"2b","Digital Archive","",""
13/01/1984 11:00,1.478,10.30,"2b","Digital Archive","",""
17/01/1984 02:30,2.174,15.50,"2b","Digital Archive","",""
26/01/1984 12:30,1.798,12.70,"2b","Digital Archive","",""
27/12/1984 07:45,1.609,11.30,"2b","Digital Archive","",""
22/01/1985 02:30,2.188,15.60,"2b","Digital Archive","",""
26/01/1985 03:45,1.538,10.80,"2b","Digital Archive","",""
08/02/1985 19:15,1.696,12.00,"2b","Digital Archive","",""
24/12/1985 09:15,1.459,10.20,"2b","Digital Archive","",""
26/12/1985 15:00,2.286,16.40,"2b","Digital Archive","",""
29/01/1986 15:15,2.094,14.90,"2b","Digital Archive","",""
31/01/1986 10:45,1.817,12.90,"2b","Digital Archive","",""
19/11/1986 06:45,1.537,10.80,"2b","Digital Archive","",""
21/11/1986 09:45,1.682,11.90,"2b","Digital Archive","",""
11/12/1986 20:30,1.759,12.50,"2b","Digital Archive","",""
15/12/1986 21:15,1.864,13.20,"2b","Digital Archive","",""
01/01/1987 12:45,1.678,11.80,"2b","Digital Archive","",""
05/04/1987 00:15,1.908,13.60,"2b","Digital Archive","",""
12/11/1987 08:00,1.592,11.20,"2b","Digital Archive","",""
29/01/1988 20:30,1.551,10.90,"2b","Digital Archive","",""
01/02/1988 13:00,1.815,12.90,"2b","Digital Archive","",""
26/02/1989 06:00,1.650,11.60,"2b","Digital Archive","",""
15/03/1989 02:00,1.661,11.70,"2b","Digital Archive","",""
21/12/1989 11:00,2.220,15.90,"2b","Digital Archive","",""
25/12/1989 13:30,1.718,12.10,"2b","Digital Archive","",""
28/01/1990 12:30,1.626,11.50,"2b","Digital Archive","",""
31/01/1990 07:15,1.746,12.40,"2b","Digital Archive","",""
03/02/1990 22:45,2.597,18.60,"2b","Digital Archive","",""
08/02/1990 11:45,1.932,13.80,"2b","Digital Archive","",""
12/02/1990 03:00,1.569,11.00,"2b","Digital Archive","",""
15/02/1990 10:30,1.542,10.80,"2b","Digital Archive","",""
10/01/1991 10:15,1.886,13.40,"2b","Digital Archive","",""
19/09/1992 05:00,1.877,13.30,"2b","Digital Archive","",""
15/11/1992 12:00,1.672,11.80,"2b","Digital Archive","",""
26/11/1992 07:15,1.808,12.80,"2b","Digital Archive","",""
01/12/1992 01:45,1.910,13.60,"2b","Digital Archive","",""
03/12/1992 01:00,1.901,13.50,"2b","Digital Archive","",""
07/12/1992 09:30,2.078,14.80,"2b","Digital Archive","",""
18/12/1992 23:30,2.108,15.10,"2b","Digital Archive","Genuine peak.",""
10/01/1993 23:45,2.092,14.90,"2b","Digital Archive","Genuine peak.",""
14/01/1993 01:15,2.065,14.70,"2b","Digital Archive","",""
13/10/1993 23:30,2.266,16.20,"2b","Digital Archive","Genuine peak, noisy, part of rising limb missing",""
21/12/1993 01:45,1.961,14.00,"2b","Digital Archive","",""
31/12/1993 01:45,1.764,12.50,"2b","Digital Archive","",""
05/01/1994 22:45,2.180,15.60,"2b","Digital Archive","Genuine peak, flat topped, part of rising limb missing.",""
10/01/1994 05:45,1.631,11.50,"2b","Digital Archive","",""
13/01/1994 00:45,1.638,11.50,"2b","Digital Archive","",""
03/02/1994 18:00,1.519,10.60,"2b","Digital Archive","",""
11/02/1994 16:45,1.702,12.00,"2b","Digital Archive","",""
01/04/1994 07:45,1.565,11.00,"2b","Digital Archive","",""
09/04/1994 21:45,1.655,11.70,"2b","Digital Archive","",""
