"NAME:","Marden at Stanley"
"NUMBER:","53013"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/02/1971 09:00,1.907,10.50,"STA023","Digital Archive","",""
11/06/1971 09:00,2.430,17.20,"STA024","Digital Archive","",""
19/06/1971 09:00,1.925,10.70,"STA023","Digital Archive","",""
04/02/1972 09:00,1.709,8.09,"STA023","Digital Archive","","AMAX ONLY"
28/06/1973 07:00,1.914,10.50,"STA023","Digital Archive","",""
09/02/1974 16:45,2.436,17.20,"STA024","Digital Archive","",""
11/02/1974 10:15,2.121,13.20,"STA024","Digital Archive","",""
27/09/1974 16:15,2.310,15.60,"STA024","Digital Archive","",""
22/11/1974 08:30,1.858,9.84,"STA023","Digital Archive","",""
27/12/1974 08:30,1.946,11.00,"STA023","Digital Archive","",""
20/01/1975 12:00,2.401,16.80,"STA024","Digital Archive","",""
28/01/1975 18:00,1.891,10.30,"STA023","Digital Archive","",""
09/03/1975 09:15,1.964,11.20,"STA023","Digital Archive","",""
02/12/1975 02:30,1.139,3.15,"STA022","Digital Archive","","AMAX ONLY"
30/11/1976 20:45,2.143,13.50,"STA024","Digital Archive","",""
19/12/1976 06:00,2.076,12.60,"STA024","Digital Archive","",""
21/12/1976 07:15,1.889,10.20,"STA023","Digital Archive","",""
01/01/1977 05:00,2.061,12.40,"STA024","Digital Archive","",""
14/01/1977 02:30,1.975,11.40,"STA023","Digital Archive","",""
10/02/1977 10:15,1.907,10.50,"STA023","Digital Archive","",""
20/02/1977 07:45,2.028,12.00,"STA024","Digital Archive","",""
24/02/1977 21:45,2.273,15.10,"STA024","Digital Archive","",""
13/06/1977 11:15,1.929,10.70,"STA023","Digital Archive","",""
10/12/1977 06:00,1.823,9.41,"STA023","Digital Archive","","AMAX ONLY"
01/02/1979 13:45,2.325,15.80,"STA024","Digital Archive","",""
28/03/1979 02:15,1.986,11.50,"STA023","Digital Archive","",""
30/05/1979 19:15,2.447,17.40,"STA024","Digital Archive","",""
28/12/1979 03:45,3.031,25.60,"STA025","Digital Archive","",""
01/04/1980 19:15,1.995,11.60,"STA023","Digital Archive","",""
16/10/1980 14:00,1.857,9.82,"STA023","Digital Archive","",""
17/11/1980 20:30,2.024,12.00,"STA024","Digital Archive","",""
11/03/1981 10:00,1.951,11.00,"STA023","Digital Archive","",""
12/03/1981 23:45,2.100,12.90,"STA024","Digital Archive","",""
