"NAME:","Mells at Vallis"
"NUMBER:","53025"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/02/1980 00:00,1.190,16.97,"1d","CEH files","",""
07/03/1980 14:30,0.856,10.03,"1c","Digital Archive","Non-independent peak removed B",""
01/04/1980 20:15,0.802,9.05,"1c","Digital Archive","",""
16/10/1980 14:30,1.075,14.40,"1d","Digital Archive","",""
17/11/1980 18:45,1.269,18.82,"1d","Digital Archive","",""
09/03/1981 17:30,1.626,28.14,"1d","Digital Archive","",""
13/03/1981 21:30,1.136,15.74,"1d","Digital Archive","",""
08/12/1981 11:45,0.929,11.42,"1c","Digital Archive","",""
14/12/1981 06:45,0.926,11.36,"1c","Digital Archive","Non-independent peak removed A",""
21/12/1981 10:45,0.796,8.94,"1c","Digital Archive","",""
30/12/1981 17:30,0.911,11.07,"1c","Digital Archive","Non-independent peak removed B",""
07/03/1982 01:30,0.796,8.94,"1c","Digital Archive","",""
10/03/1982 05:45,1.238,18.08,"1d","Digital Archive","",""
15/03/1982 20:00,1.302,19.62,"1d","Digital Archive","",""
12/07/1982 19:15,1.118,15.34,"1d","Digital Archive","",""
12/11/1982 11:45,1.141,15.85,"1d","Digital Archive","",""
21/11/1982 20:45,0.904,10.93,"1c","Digital Archive","",""
24/11/1982 22:30,0.912,11.09,"1c","Digital Archive","",""
10/12/1982 01:30,1.307,19.74,"1d","Digital Archive","",""
12/12/1982 11:00,0.814,9.26,"1c","Digital Archive","",""
19/12/1982 18:30,1.136,15.74,"1d","Digital Archive","",""
04/01/1983 05:00,1.021,13.26,"1d","Digital Archive","Non-independent peak removed A",""
08/01/1983 00:30,1.365,21.18,"1d","Digital Archive","",""
31/01/1983 17:15,1.825,33.97,"1d","Digital Archive","",""
15/10/1983 20:30,0.883,10.53,"1c","Digital Archive","",""
20/12/1983 22:00,0.940,11.63,"1c","Digital Archive","",""
03/01/1984 00:00,0.906,10.97,"1c","Digital Archive","",""
13/01/1984 06:15,1.233,17.97,"1d","Digital Archive","",""
16/01/1984 15:45,1.253,18.44,"1d","Digital Archive","",""
26/01/1984 04:45,0.834,9.63,"1c","Digital Archive","Non-independent peak removed A",""
30/01/1984 17:45,0.842,9.77,"1c","Digital Archive","",""
06/02/1984 21:00,0.955,11.93,"1c","Digital Archive","",""
22/11/1984 03:30,0.911,11.07,"1c","Digital Archive","",""
21/01/1985 17:00,1.052,13.91,"1d","Digital Archive","",""
08/02/1985 16:00,0.941,11.65,"1c","Digital Archive","",""
04/08/1985 20:00,1.136,15.74,"1d","Digital Archive","",""
07/12/1985 00:15,0.887,10.61,"1c","Digital Archive","",""
24/12/1985 04:15,1.049,13.85,"1d","Digital Archive","",""
26/12/1985 05:45,1.787,32.83,"1d","Digital Archive","",""
04/01/1986 23:30,0.973,12.28,"1c","Digital Archive","",""
10/01/1986 12:00,1.365,21.18,"1d","Digital Archive","",""
22/01/1986 18:00,0.853,9.97,"1c","Digital Archive","",""
29/01/1986 04:30,1.450,23.36,"1d","Digital Archive","",""
