"NAME:","Rea Brook at Hookagate"
"NUMBER:","54018"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
23/11/1962 00:00,0.700,5.16,"1c","CEH POTs","",""
09/12/1962 00:00,0.790,6.64,"1c","CEH POTs","",""
15/02/1963 00:00,0.610,3.79,"1b","CEH POTs","",""
06/03/1963 00:00,1.350,18.62,"1d","CEH POTs","",""
17/04/1963 00:00,1.020,10.98,"1c","CEH POTs","",""
01/05/1963 00:00,0.410,1.54,"1b","CEH POTs","",""
29/06/1963 00:00,0.390,1.38,"1b","CEH POTs","",""
06/07/1963 00:00,0.610,3.79,"1b","CEH POTs","",""
25/11/1963 00:00,1.510,23.23,"1d","CEH POTs","",""
01/12/1963 00:00,0.610,3.79,"1b","CEH POTs","",""
01/01/1964 00:00,0.390,1.38,"1b","CEH POTs","",""
23/02/1964 00:00,0.760,6.13,"1c","CEH POTs","",""
24/03/1964 00:00,1.320,17.82,"1d","CEH POTs","",""
29/04/1964 00:00,0.440,1.81,"1b","CEH POTs","",""
21/07/1964 00:00,0.580,3.38,"1b","CEH POTs","",""
13/12/1964 00:00,1.220,15.35,"1c","CEH POTs","",""
09/01/1965 00:00,1.140,13.54,"1c","CEH POTs","",""
25/03/1965 00:00,1.250,16.05,"1c","CEH POTs","",""
09/04/1965 00:00,0.610,3.79,"1b","CEH POTs","",""
10/05/1965 00:00,0.590,3.51,"1b","CEH POTs","",""
16/06/1965 00:00,0.640,4.22,"1b","CEH POTs","",""
22/07/1965 00:00,0.420,1.63,"1b","CEH POTs","",""
08/09/1965 00:00,0.970,9.97,"1c","CEH POTs","",""
01/10/1965 00:00,1.250,16.05,"1c","CEH POTs","",""
29/11/1965 00:00,1.320,17.82,"1d","CEH POTs","",""
09/12/1965 00:00,1.930,37.80,"1d","CEH POTs","",""
02/01/1966 00:00,1.280,16.77,"1c","CEH POTs","",""
06/01/1966 00:00,1.460,21.73,"1d","CEH POTs","",""
08/02/1966 00:00,1.320,17.82,"1d","CEH POTs","",""
02/03/1966 00:00,0.910,8.80,"1c","CEH POTs","",""
19/04/1966 00:00,1.350,18.62,"1d","CEH POTs","",""
08/05/1966 00:00,1.090,12.45,"1c","CEH POTs","",""
11/06/1966 00:00,0.420,1.63,"1b","CEH POTs","",""
22/08/1966 00:00,0.550,2.99,"1b","CEH POTs","",""
15/10/1966 00:00,1.090,12.45,"1c","CEH POTs","",""
06/11/1966 00:00,1.460,21.73,"1d","CEH POTs","",""
10/12/1966 00:00,1.400,20.00,"1d","CEH POTs","",""
23/01/1967 00:00,0.740,5.80,"1c","CEH POTs","",""
27/02/1967 00:00,1.410,20.29,"1d","CEH POTs","",""
02/04/1967 00:00,0.380,1.30,"1b","CEH POTs","",""
15/05/1967 00:00,1.310,17.55,"1d","CEH POTs","",""
24/06/1967 00:00,0.520,2.64,"1b","CEH POTs","",""
29/09/1967 00:00,0.550,2.99,"1b","CEH POTs","",""
