"NAME:","Tern at Ternhill"
"NUMBER:","54044"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/08/1973 00:00,0.970,9.28,"1b","EA POT Series","","AMAX ONLY"
12/02/1974 00:00,0.690,4.85,"1b","EA POT Series","","AMAX ONLY"
19/04/1975 00:00,0.640,4.21,"1b","EA POT Series","","AMAX ONLY"
21/03/1976 00:00,0.600,3.73,"1b","EA POT Series","","AMAX ONLY"
11/02/1977 21:30,1.120,12.25,"1b","EA POT Series","","AMAX ONLY"
29/01/1978 11:45,0.598,3.71,"1b","Digital Archive","",""
02/02/1978 19:30,0.597,3.70,"1b","Digital Archive","",""
05/02/1978 01:00,0.609,3.84,"1b","Digital Archive","",""
03/05/1978 10:30,0.453,2.22,"1b","Digital Archive","",""
10/08/1978 03:00,0.495,2.62,"1b","Digital Archive","",""
15/12/1978 02:30,0.492,2.59,"1b","Digital Archive","",""
25/12/1978 10:45,0.552,3.20,"1b","Digital Archive","",""
28/12/1978 22:30,0.674,4.64,"1b","Digital Archive","",""
07/01/1979 21:45,0.460,2.29,"1b","Digital Archive","",""
02/02/1979 08:45,0.677,4.68,"1b","Digital Archive","",""
23/02/1979 02:00,0.486,2.53,"1b","Digital Archive","",""
21/03/1979 02:00,0.533,3.00,"1b","Digital Archive","",""
29/03/1979 16:45,0.565,3.34,"1b","Digital Archive","",""
11/04/1979 22:30,0.449,2.19,"1a","Digital Archive","",""
27/05/1979 08:00,0.532,2.99,"1b","Digital Archive","",""
31/05/1979 11:15,0.538,3.05,"1b","Digital Archive","",""
05/12/1979 22:00,0.493,2.60,"1b","Digital Archive","",""
14/12/1979 23:00,0.837,7.00,"1b","Digital Archive","",""
28/12/1979 07:45,0.999,9.82,"1b","Digital Archive","",""
04/01/1980 13:15,0.601,3.75,"1b","Digital Archive","",""
22/01/1980 07:00,0.560,3.28,"1b","Digital Archive","",""
01/02/1980 05:00,0.740,5.54,"1b","Digital Archive","",""
05/02/1980 15:00,0.620,3.97,"1b","Digital Archive","",""
09/02/1980 00:00,0.689,4.84,"1b","Digital Archive","",""
23/02/1980 15:45,0.647,4.30,"1b","Digital Archive","",""
26/02/1980 11:30,0.619,3.96,"1b","Digital Archive","",""
13/03/1980 03:15,0.588,3.60,"1b","Digital Archive","",""
19/03/1980 02:00,0.527,2.93,"1b","Digital Archive","",""
24/03/1980 21:00,0.521,2.87,"1b","Digital Archive","",""
28/10/1980 18:30,0.545,3.12,"1b","Digital Archive","",""
16/11/1980 06:00,0.475,2.42,"1b","Digital Archive","",""
21/12/1980 21:15,0.528,2.94,"1b","Digital Archive","",""
07/01/1981 09:00,0.532,2.99,"1b","Digital Archive","",""
15/01/1981 11:00,0.602,3.75,"1b","Digital Archive","",""
10/02/1981 07:30,0.600,3.73,"1b","Digital Archive","",""
02/03/1981 06:15,0.483,2.50,"1b","Digital Archive","",""
11/03/1981 21:30,0.651,4.35,"1b","Digital Archive","",""
