"NAME:","Severn at Hafren Flume"
"NUMBER:","54091"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/02/1976 16:00,,4.25,"","CEH","",""
15/08/1977 20:15,,22.28,"","CEH","",""
10/09/1977 12:30,,3.68,"","CEH","",""
30/09/1977 19:45,,3.93,"","CEH","",""
02/11/1977 01:00,,6.96,"","CEH","",""
19/11/1977 23:45,,3.69,"","CEH","",""
28/09/1978 06:45,,3.66,"","CEH","",""
18/11/1978 14:00,,4.66,"","CEH","",""
03/03/1979 11:45,,5.21,"","CEH","",""
08/03/1979 22:30,,4.37,"","CEH","",""
11/03/1979 10:00,,5.51,"","CEH","",""
05/12/1979 06:30,,6.57,"","CEH","",""
27/12/1979 11:30,,3.95,"","CEH","",""
06/10/1980 17:45,,6.45,"","CEH","",""
14/11/1980 15:30,,3.66,"","CEH","",""
21/11/1980 23:45,,5.39,"","CEH","",""
11/12/1980 04:00,,4.62,"","CEH","",""
17/12/1980 09:45,,3.61,"","CEH","",""
14/01/1981 10:00,,4.56,"","CEH","",""
03/02/1981 01:30,,5.29,"","CEH","",""
21/03/1981 18:15,,4.36,"","CEH","",""
08/10/1981 03:30,,3.95,"","CEH","",""
09/10/1981 20:15,,5.89,"","CEH","",""
20/10/1981 00:15,,3.79,"","CEH","",""
18/11/1981 11:00,,4.85,"","CEH","",""
21/11/1982 10:45,,3.81,"","CEH","",""
19/12/1982 09:45,,5.63,"","CEH","",""
04/01/1983 05:00,,4.09,"","CEH","",""
14/01/1983 07:45,,4.20,"","CEH","",""
31/01/1983 13:00,,4.38,"","CEH","",""
03/09/1983 02:15,,3.94,"","CEH","",""
08/12/1983 22:00,,4.57,"","CEH","",""
13/01/1984 00:00,,4.16,"","CEH","",""
11/06/1985 22:45,,4.01,"","CEH","",""
13/12/1985 07:15,,4.45,"","CEH","",""
10/01/1986 07:00,,6.01,"","CEH","",""
18/01/1986 06:15,,3.69,"","CEH","",""
21/01/1986 02:45,,3.77,"","CEH","",""
04/03/1986 17:45,,4.14,"","CEH","",""
18/11/1986 21:15,,6.25,"","CEH","",""
23/11/1986 06:15,,4.57,"","CEH","",""
29/12/1986 22:00,,5.51,"","CEH","",""
30/12/1986 05:00,,5.44,"","CEH","",""
04/01/1987 14:45,,4.07,"","CEH","",""
18/10/1987 20:00,,6.34,"","CEH","",""
01/01/1988 14:45,,3.81,"","CEH","",""
02/01/1988 07:00,,3.68,"","CEH","",""
02/09/1988 05:45,,3.60,"","CEH","",""
26/09/1988 02:15,,6.40,"","CEH","",""
18/02/1989 05:30,,4.52,"","CEH","",""
29/10/1989 03:30,,6.98,"","CEH","",""
07/02/1990 17:00,,4.33,"","CEH","",""
13/02/1990 18:00,,3.78,"","CEH","",""
05/10/1990 11:45,,4.57,"","CEH","",""
20/12/1990 16:30,,4.58,"","CEH","",""
01/01/1991 19:45,,5.07,"","CEH","",""
22/02/1991 20:45,,6.34,"","CEH","",""
23/02/1991 06:00,,5.21,"","CEH","",""
11/11/1991 00:15,,3.81,"","CEH","",""
21/12/1991 22:30,,5.87,"","CEH","",""
22/03/1992 04:00,,6.57,"","CEH","",""
22/11/1992 12:15,,3.84,"","CEH","",""
02/12/1992 15:00,,3.80,"","CEH","",""
07/12/1993 01:00,,4.36,"","CEH","",""
08/12/1993 12:45,,4.31,"","CEH","",""
12/12/1993 15:00,,5.00,"","CEH","",""
19/12/1993 00:15,,6.78,"","CEH","",""
23/01/1994 03:45,,6.33,"","CEH","",""
25/01/1994 04:45,,3.76,"","CEH","",""
18/03/1994 17:00,,4.72,"","CEH","",""
25/03/1994 01:45,,5.31,"","CEH","",""
04/04/1994 00:45,,3.82,"","CEH","",""
08/04/1994 13:45,,4.14,"","CEH","",""
27/12/1994 05:00,,6.18,"","CEH","",""
