"NAME:","Arrow at Broom"
"NUMBER:","54907"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/09/1956 00:00,2.610,32.83,"1b","CEH POTs","",""
28/12/1956 00:00,2.800,40.43,"1c","CEH POTs","",""
05/02/1957 00:00,2.650,34.20,"1c","CEH POTs","",""
04/11/1957 00:00,2.630,33.38,"1b","CEH POTs","",""
05/11/1957 00:00,2.830,41.77,"1c","CEH POTs","",""
24/12/1957 00:00,2.750,38.27,"1c","CEH POTs","",""
01/01/1958 00:00,2.720,37.01,"1c","CEH POTs","",""
10/02/1958 00:00,2.800,40.43,"1c","CEH POTs","",""
24/02/1958 00:00,2.630,33.38,"1b","CEH POTs","",""
23/09/1958 00:00,2.570,31.74,"1b","CEH POTs","",""
02/11/1958 00:00,2.620,33.11,"1b","CEH POTs","",""
19/12/1958 00:00,2.680,35.39,"1c","CEH POTs","",""
07/01/1959 00:00,2.710,36.60,"1c","CEH POTs","",""
18/01/1959 00:00,2.820,41.32,"1c","CEH POTs","",""
22/01/1959 00:00,3.090,54.88,"1c","CEH POTs","",""
17/04/1959 00:00,2.850,42.69,"1c","CEH POTs","",""
24/01/1960 00:00,3.320,68.88,"1c","CEH POTs","",""
28/01/1960 00:00,2.980,49.00,"1c","CEH POTs","",""
23/09/1960 00:00,2.860,43.15,"1c","CEH POTs","",""
24/10/1960 00:00,2.660,34.59,"1c","CEH POTs","",""
28/10/1960 00:00,2.530,30.67,"1b","CEH POTs","",""
01/11/1960 00:00,2.740,37.84,"1c","CEH POTs","",""
17/11/1960 00:00,2.820,41.32,"1c","CEH POTs","",""
04/12/1960 00:00,3.070,53.77,"1c","CEH POTs","",""
25/06/1961 00:00,2.660,34.59,"1c","CEH POTs","",""
07/01/1962 00:00,1.950,17.32,"1a","CEH POTs","",""
20/12/1962 00:00,2.600,32.56,"1b","CEH POTs","",""
19/11/1963 00:00,2.680,35.39,"1c","CEH POTs","",""
19/03/1964 00:00,2.660,34.59,"1c","CEH POTs","",""
24/03/1964 00:00,2.660,34.59,"1c","CEH POTs","",""
26/09/1965 00:00,2.650,34.20,"1c","CEH POTs","",""
29/11/1965 00:00,2.750,38.27,"1c","CEH POTs","",""
09/12/1965 00:00,3.040,52.15,"1c","CEH POTs","",""
19/12/1965 00:00,2.680,35.39,"1c","CEH POTs","",""
23/12/1965 00:00,2.780,39.55,"1c","CEH POTs","",""
01/01/1966 00:00,2.570,31.74,"1b","CEH POTs","",""
19/02/1966 00:00,2.710,36.60,"1c","CEH POTs","",""
20/02/1966 00:00,2.850,42.69,"1c","CEH POTs","",""
03/03/1966 00:00,2.530,30.67,"1b","CEH POTs","",""
09/05/1966 00:00,2.540,30.94,"1b","CEH POTs","",""
15/10/1966 00:00,2.770,39.12,"1c","CEH POTs","",""
19/10/1966 00:00,2.720,37.01,"1c","CEH POTs","",""
02/12/1966 00:00,2.720,37.01,"1c","CEH POTs","",""
10/12/1966 00:00,2.720,37.01,"1c","CEH POTs","",""
20/02/1967 00:00,2.730,37.43,"1c","CEH POTs","",""
27/02/1967 00:00,2.510,30.14,"1b","CEH POTs","",""
09/03/1967 00:00,2.880,44.09,"1c","CEH POTs","",""
15/05/1967 00:00,2.750,38.27,"1c","CEH POTs","",""
28/05/1967 00:00,2.720,37.01,"1c","CEH POTs","",""
17/10/1967 00:00,2.540,30.94,"1b","CEH POTs","",""
05/11/1967 00:00,2.510,30.14,"1b","CEH POTs","",""
23/12/1967 00:00,2.670,34.99,"1c","CEH POTs","",""
02/01/1968 00:00,2.720,37.01,"1c","CEH POTs","",""
05/01/1968 00:00,2.610,32.83,"1b","CEH POTs","",""
14/01/1968 00:00,3.060,53.23,"1c","CEH POTs","",""
11/07/1968 00:00,3.460,78.64,"1c","CEH POTs","",""
14/07/1968 00:00,2.880,44.09,"1c","CEH POTs","",""
27/11/1968 00:00,2.720,37.01,"1c","CEH POTs","",""
22/12/1968 00:00,2.690,35.79,"1c","CEH POTs","",""
11/02/1969 00:00,2.600,32.56,"1b","CEH POTs","",""
23/02/1969 00:00,2.560,31.47,"1b","CEH POTs","",""
06/05/1969 00:00,2.820,41.32,"1c","CEH POTs","",""
20/02/1970 00:00,2.560,31.47,"1b","CEH POTs","",""
11/03/1970 00:00,2.790,39.99,"1c","CEH POTs","",""
30/11/1970 00:00,2.940,46.99,"1c","CEH POTs","",""
24/01/1971 00:00,2.880,44.09,"1c","CEH POTs","",""
27/01/1971 00:00,2.660,34.59,"1c","CEH POTs","",""
01/02/1971 00:00,2.750,38.27,"1c","CEH POTs","",""
21/11/1971 00:00,2.700,36.19,"1c","CEH POTs","",""
13/01/1972 00:00,2.770,39.12,"1c","CEH POTs","",""
03/02/1972 00:00,2.950,47.49,"1c","CEH POTs","",""
06/12/1972 00:00,2.060,19.51,"1a","CEH POTs","",""
09/02/1974 00:00,2.060,31.65,"2","CEH POTs","",""
08/03/1975 00:00,2.200,34.98,"2","CEH POTs","",""
14/03/1975 00:00,2.150,33.78,"2","CEH POTs","",""
26/09/1976 00:00,1.600,21.44,"2","CEH POTs","",""
21/12/1976 00:00,2.350,38.66,"2","CEH POTs","",""
10/02/1977 00:00,2.170,34.26,"2","CEH POTs","",""
20/02/1977 00:00,2.020,30.72,"2","CEH POTs","",""
24/02/1977 00:00,2.140,33.54,"2","CEH POTs","",""
14/06/1977 00:00,2.490,42.19,"2","CEH POTs","",""
28/01/1978 00:00,2.060,31.65,"2","CEH POTs","",""
