"NAME:","Wye at Rhayader"
"NUMBER:","55005"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/01/1938 00:00,2.160,64.33,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
26/11/1938 00:00,2.220,69.33,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
07/01/1939 00:00,2.320,78.22,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
14/01/1939 00:00,2.310,77.30,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
29/07/1939 00:00,2.190,66.80,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
18/11/1939 00:00,2.190,66.80,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
25/11/1939 00:00,2.960,152.33,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
29/11/1939 09:00,2.240,71.06,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
02/11/1940 12:00,2.450,90.80,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
04/11/1940 00:00,2.160,64.33,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
11/11/1940 00:00,2.370,82.91,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
25/03/1941 00:00,2.380,83.88,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
17/10/1941 00:00,2.110,60.33,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
23/01/1942 00:00,2.380,83.88,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
18/06/1943 00:00,1.950,48.62,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
22/01/1944 12:00,2.300,76.38,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
20/10/1944 00:00,2.260,72.81,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
27/11/1944 00:00,2.140,62.71,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
01/04/1945 00:00,2.160,64.33,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
03/02/1946 00:00,2.180,65.97,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
06/02/1946 00:00,2.130,61.91,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
08/02/1946 00:00,3.200,188.54,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
23/02/1946 00:00,2.540,100.22,"1b","CEH POTS 25-5-72","Threshold 2.093 applied",""
29/08/1946 00:00,1.860,61.96,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
20/09/1946 12:00,2.740,164.46,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
22/11/1946 00:00,1.980,72.53,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
14/01/1947 00:00,1.870,62.80,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
18/03/1947 00:00,2.260,101.23,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
21/03/1947 00:00,1.890,64.51,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
12/11/1947 00:00,1.990,73.46,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
27/12/1947 09:00,2.450,124.06,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
31/12/1947 00:00,2.260,101.23,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
02/01/1948 00:00,2.330,109.31,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
11/01/1948 00:00,2.190,93.51,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
12/01/1948 00:00,2.790,172.13,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
12/09/1948 00:00,1.960,70.70,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
02/01/1949 00:00,1.880,63.65,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
06/04/1949 00:00,1.950,69.80,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
12/04/1949 00:00,1.860,61.96,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
15/07/1949 00:00,1.850,61.12,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
18/10/1949 00:00,1.870,62.80,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
03/12/1949 12:00,2.250,100.10,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
18/12/1949 00:00,2.040,78.20,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
10/02/1950 00:00,2.850,181.61,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
06/09/1950 00:00,2.010,75.34,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
24/09/1950 00:00,2.350,111.69,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
17/01/1951 00:00,1.860,61.96,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
23/03/1951 00:00,2.310,106.97,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
12/04/1951 00:00,2.080,82.12,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
04/11/1951 00:00,2.160,90.32,"2a","CEH POTS 25-5-72","threshold 1.824 applied",""
