"NAME:","Frome at Yarkhill"
"NUMBER:","55018"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
11/07/1968 00:00,2.510,24.98,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs. Stage exceed rating limit and bankful, so flow unreliable",""
22/12/1968 00:00,1.680,14.00,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
17/01/1969 00:00,2.040,18.52,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
20/01/1969 00:00,1.700,14.24,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
24/02/1969 00:00,2.260,21.47,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
13/03/1969 00:00,2.320,22.30,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
18/03/1969 00:00,2.230,21.06,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
06/05/1969 00:00,1.980,17.74,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
17/05/1969 00:00,1.600,13.05,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
26/05/1969 00:00,2.430,23.84,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
30/01/1970 00:00,2.250,21.33,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
03/02/1970 00:00,1.600,13.05,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
20/02/1970 00:00,1.800,15.46,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
24/01/1971 00:00,2.070,18.92,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
27/01/1971 00:00,1.600,13.05,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
01/02/1971 00:00,1.660,13.76,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
18/03/1971 00:00,1.680,14.00,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
13/01/1972 00:00,1.860,16.21,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
04/02/1972 00:00,2.050,18.65,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
16/02/1972 00:00,1.630,13.40,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
07/03/1972 00:00,1.850,16.09,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
07/12/1972 00:00,1.940,17.23,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
24/05/1973 00:00,1.600,13.05,"1b","CEH POTS23-2-77","Peaks over 13.2 cumecs",""
12/01/1974 00:00,1.630,13.40,"1b","CEH POTS 14-6-88","Threshold 1.579 applied",""
09/02/1974 00:00,1.810,15.59,"1b","CEH POTS 14-6-88","Threshold 1.579 applied",""
13/03/1975 00:00,1.840,15.96,"1b","CEH POTS 14-6-88","Threshold 1.579 applied",""
29/09/1976 00:00,1.720,14.48,"1b","CEH POTS 14-6-88","Threshold 1.579 applied",""
07/12/1976 00:00,1.650,13.64,"1b","CEH POTS 14-6-88","Threshold 1.579 applied",""
25/01/1977 00:00,1.920,16.97,"1b","CEH POTS 14-6-88","Threshold 1.579 applied",""
27/01/1977 00:00,2.050,18.65,"1b","CEH POTS 14-6-88","Threshold 1.579 applied",""
10/02/1977 00:00,2.280,21.74,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
20/02/1977 00:00,1.830,15.84,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
03/05/1977 00:00,1.670,13.88,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
28/01/1978 00:00,1.850,16.09,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
04/02/1978 00:00,1.960,17.48,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
01/02/1979 00:00,2.390,23.27,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
30/05/1979 00:00,1.990,17.87,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
15/12/1979 00:00,1.650,13.64,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
27/12/1979 00:00,2.420,23.69,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
21/01/1980 00:00,1.740,14.73,"1b","CEH POTS 14-6-88","Threshold 1.613 applied",""
02/03/1981 02:00,1.840,15.96,"1b","Digital Archive","",""
11/03/1981 21:15,2.461,24.28,"1b","Digital Archive","",""
22/03/1981 16:30,1.873,16.38,"1b","Digital Archive","Non-independent peak removed A",""
28/04/1981 02:15,1.613,13.20,"1b","Digital Archive","Non-independent peak removed A",""
20/05/1981 22:00,1.815,15.65,"1b","Digital Archive","",""
