"NAME:","Grwyne at Millbrook"
"NUMBER:","56012"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
19/10/1971 00:00,0.660,15.35,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
16/01/1972 00:00,0.580,12.26,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
15/02/1972 00:00,0.710,17.43,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
08/03/1972 00:00,0.650,14.95,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
06/06/1972 00:00,0.600,13.00,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
05/12/1972 00:00,0.740,18.74,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
12/12/1972 00:00,0.620,13.77,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
08/01/1974 00:00,0.590,12.63,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
11/01/1974 00:00,0.680,16.17,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
30/01/1974 00:00,0.730,18.30,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
09/02/1974 00:00,0.630,14.15,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
10/02/1974 00:00,0.660,15.35,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
11/02/1974 00:00,0.780,20.55,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
14/02/1974 00:00,0.580,12.26,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
13/11/1974 00:00,0.800,21.48,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
26/12/1974 00:00,0.580,12.26,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
19/01/1975 00:00,0.620,13.77,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
24/01/1975 00:00,0.690,16.59,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
31/01/1975 00:00,0.580,12.26,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
25/09/1976 09:00,1.300,50.42,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied. Within channel but exceeds rating upper limit, flow extrapolated",""
10/10/1976 00:00,0.810,21.95,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
14/10/1976 00:00,0.970,30.11,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
18/10/1976 00:00,0.670,15.76,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
09/02/1977 00:00,0.570,11.89,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
10/12/1977 00:00,0.720,17.86,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
21/01/1978 00:00,0.640,14.55,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
23/01/1978 00:00,0.570,11.89,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
08/12/1978 00:00,0.580,12.26,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
13/12/1978 00:00,0.890,25.89,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
02/03/1979 00:00,0.800,21.48,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
25/03/1979 00:00,0.950,29.03,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
10/04/1979 00:00,0.720,17.86,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
14/12/1979 00:00,0.700,17.01,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
27/12/1979 00:00,1.750,85.28,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied. Within channel but exceeds rating upper limit, flow extrapolated",""
23/03/1980 00:00,0.680,16.17,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
27/03/1980 00:00,0.700,17.01,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
10/10/1980 00:00,0.600,13.00,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
16/10/1980 00:00,0.730,18.30,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
09/03/1981 00:00,0.630,14.15,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
10/03/1981 00:00,0.800,21.48,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
13/03/1981 00:00,0.850,23.88,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
21/03/1981 00:00,0.850,23.88,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
19/09/1981 00:00,0.770,20.09,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
30/12/1981 00:00,0.700,17.01,"1a","CEH POTS 27-8-86","Datum 0.00 Threshold 0.569 applied",""
03/01/1982 01:15,0.814,22.14,"1a","Digital Archive","",""
05/01/1982 13:30,0.907,26.76,"1a","Digital Archive","",""
22/01/1982 00:15,0.565,11.71,"1a","Digital Archive","",""
12/03/1982 09:00,0.503,9.58,"1a","Digital Archive","",""
15/03/1982 08:00,0.686,16.42,"1a","Digital Archive","",""
13/08/1982 12:00,0.657,15.23,"1a","Digital Archive","",""
24/09/1982 17:45,0.656,15.19,"1a","Digital Archive","",""
27/09/1982 11:15,0.540,10.83,"1a","Digital Archive","",""
08/11/1982 00:15,0.810,21.95,"1a","Digital Archive","",""
12/11/1982 06:00,0.796,21.29,"1a","Digital Archive","",""
21/11/1982 15:00,0.572,11.97,"1a","Digital Archive","",""
10/12/1982 00:00,0.750,19.18,"1a","Digital Archive","",""
15/12/1982 00:45,0.518,10.08,"1a","Digital Archive","",""
