"NAME:","Cynon at Abercynon"
"NUMBER:","57004"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/01/1961 00:00,1.530,38.45,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
02/01/1961 00:00,1.590,41.91,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
27/01/1961 00:00,2.120,80.01,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
26/02/1961 00:00,1.720,49.97,"3a","CEH POTS 2-6-72","Threshold 1.522 applied, incomplete year follows",""
10/10/1961 00:00,1.840,58.15,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
24/10/1961 00:00,1.830,57.44,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
25/10/1961 00:00,1.520,37.89,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
02/11/1961 00:00,1.550,39.58,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
01/12/1961 00:00,1.720,49.97,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
05/12/1961 00:00,1.630,44.30,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
10/12/1961 00:00,1.780,53.97,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
11/12/1961 00:00,1.540,39.02,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
13/12/1961 00:00,1.720,49.97,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
10/01/1962 00:00,1.800,55.35,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
11/01/1962 00:00,1.630,44.30,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
15/01/1962 00:00,1.950,66.27,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
07/04/1962 00:00,1.630,44.30,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
29/09/1962 00:00,1.800,55.35,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
09/03/1963 00:00,1.800,55.35,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
17/11/1963 09:00,1.630,44.30,"3a","CEH POTS 2-6-72","Threshold 1.522 applied",""
