"NAME:","Ely at Lanelay"
"NUMBER:","57010"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
02/07/1974 00:00,1.280,27.74,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
02/09/1974 00:00,1.810,55.15,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
03/09/1974 00:00,1.330,29.93,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
24/09/1974 00:00,1.090,20.17,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
27/09/1974 00:00,1.070,19.44,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
20/11/1974 00:00,1.110,20.91,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
25/12/1974 00:00,1.320,29.49,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
26/12/1974 00:00,1.250,26.46,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
19/02/1975 00:00,1.310,29.04,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
21/02/1975 00:00,1.250,26.46,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
22/02/1975 00:00,1.250,26.46,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
28/02/1975 00:00,1.260,26.89,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
01/12/1975 00:00,1.200,24.41,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
02/02/1977 00:00,1.170,23.21,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
01/11/1977 00:00,1.210,24.81,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
23/01/1978 00:00,1.350,30.83,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
13/12/1978 00:00,1.230,25.63,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
01/02/1979 00:00,1.210,24.81,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
03/11/1979 00:00,1.220,25.22,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
07/11/1979 00:00,1.070,19.44,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
09/12/1979 00:00,1.690,48.13,"A[migrated]2","CEH POTS 20-11-86","Threshold 1.057 applied",""
09/12/1979 19:00,1.654,46.12,"A[migrated]2","Digital Archive","Threshold 1.057 applied",""
12/12/1979 21:00,0.964,15.81,"A[migrated]2","Digital Archive","",""
14/12/1979 19:00,0.904,13.92,"A[migrated]2","Digital Archive","",""
27/12/1979 11:00,1.090,20.17,"A[migrated]2","Digital Archive","",""
08/02/1980 06:00,1.187,23.88,"A[migrated]2","Digital Archive","",""
