"NAME:","Ewenny at Keepers Lodge"
"NUMBER:","58009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
20/11/1971 00:00,1.050,22.82,"3c","CEH POTS 6-10-86","Threshold 0.903",""
06/06/1972 00:00,0.910,17.38,"3c","CEH POTS 6-10-86","Threshold 0.903",""
12/11/1972 00:00,0.920,17.75,"3c","CEH POTS 6-10-86","Threshold 0.903",""
09/02/1974 00:00,0.910,17.38,"3c","CEH POTS 6-10-86","Threshold 0.903",""
27/09/1974 00:00,1.090,24.45,"3c","CEH POTS 6-10-86","Threshold 0.903",""
20/11/1974 00:00,0.990,20.44,"3c","CEH POTS 6-10-86","Threshold 0.903",""
27/12/1974 00:00,0.940,18.51,"3c","CEH POTS 6-10-86","Threshold 0.903",""
19/01/1975 00:00,1.000,20.83,"3c","CEH POTS 6-10-86","Threshold 0.903",""
28/01/1975 00:00,1.260,31.68,"3c","CEH POTS 6-10-86","Threshold 0.903",""
06/03/1975 00:00,0.990,20.44,"3c","CEH POTS 6-10-86","Threshold 0.903",""
21/03/1976 00:00,0.790,13.04,"3c","CEH POTS 6-10-86","Threshold 0.903",""
02/02/1977 00:00,0.970,19.66,"3c","CEH POTS 6-10-86","Threshold 0.903",""
01/11/1977 00:00,0.960,19.28,"3c","CEH POTS 6-10-86","Threshold 0.903",""
09/11/1977 00:00,0.980,20.05,"3c","CEH POTS 6-10-86","Threshold 0.903",""
23/01/1978 00:00,1.080,24.04,"3c","CEH POTS 6-10-86","Threshold 0.903",""
13/12/1978 00:00,1.090,24.45,"3c","CEH POTS 6-10-86","Threshold 0.903",""
28/12/1978 00:00,0.940,18.51,"3c","CEH POTS 6-10-86","Threshold 0.903",""
01/02/1979 00:00,1.130,26.10,"3c","CEH POTS 6-10-86","Threshold 0.903",""
11/03/1979 00:00,0.930,18.13,"3c","CEH POTS 6-10-86","Threshold 0.903",""
10/05/1979 00:00,1.010,21.23,"3c","CEH POTS 6-10-86","Threshold 0.903",""
07/10/1979 00:00,0.990,20.44,"3c","CEH POTS 6-10-86","Threshold 0.903",""
26/11/1979 00:00,1.120,25.69,"3c","CEH POTS 6-10-86","Threshold 0.903",""
09/12/1979 00:00,1.460,40.78,"3c","CEH POTS 6-10-86","Threshold 0.903",""
14/12/1979 00:00,0.920,17.75,"3c","CEH POTS 6-10-86","Threshold 0.903",""
27/12/1979 00:00,1.020,21.62,"3c","CEH POTS 6-10-86","Threshold 0.903",""
03/01/1980 00:00,1.030,22.02,"3c","CEH POTS 6-10-86","Threshold 0.903",""
04/02/1980 00:00,0.940,18.51,"3c","CEH POTS 6-10-86","Threshold 0.903",""
08/02/1980 00:00,1.240,30.80,"3c","CEH POTS 6-10-86","Threshold 0.903",""
25/03/1980 00:00,1.200,29.07,"3c","CEH POTS 6-10-86","Threshold 0.903",""
10/10/1980 00:00,1.060,23.23,"3c","CEH POTS 6-10-86","Threshold 0.903",""
15/11/1980 00:00,1.190,28.64,"3c","CEH POTS 6-10-86","Threshold 0.903",""
22/11/1980 12:00,1.040,22.42,"3c","CEH POTS 6-10-86","Non-independent peak removed Threshold 0.903",""
16/12/1980 00:00,1.150,26.94,"3c","CEH POTS 6-10-86","Threshold 0.903",""
14/01/1981 00:00,0.940,18.51,"3c","CEH POTS 6-10-86","Threshold 0.903",""
09/03/1981 11:00,1.460,40.78,"3c","CEH POTS 6-10-86","Threshold 0.903",""
10/03/1981 11:00,1.520,43.63,"3c","CEH POTS 6-10-86","Threshold 0.903",""
25/03/1981 00:00,0.910,17.38,"3c","CEH POTS 6-10-86","Threshold 0.903",""
19/09/1981 00:00,1.470,41.25,"3c","CEH POTS 6-10-86","Threshold 0.903",""
19/10/1981 12:00,1.470,41.25,"3c","CEH POTS 6-10-86","Threshold 0.903",""
24/10/1981 00:00,1.040,22.42,"3c","CEH POTS 6-10-86","Threshold 0.903",""
19/11/1981 00:00,1.520,43.63,"3c","CEH POTS 6-10-86","Threshold 0.903",""
06/03/1982 00:00,1.090,24.45,"3c","CEH POTS 6-10-86","Threshold 0.903",""
06/03/1982 17:30,1.080,24.04,"3c","Digital Archive","Threshold 0.903",""
10/03/1982 01:15,1.136,26.35,"3c","Digital Archive","",""
07/04/1982 09:45,1.032,22.10,"3c","Digital Archive","",""
07/11/1982 22:45,0.899,16.97,"3c","Digital Archive","",""
12/11/1982 06:45,0.954,19.04,"3c","Digital Archive","",""
07/12/1982 15:00,0.936,18.36,"3c","Digital Archive","",""
