"NAME:","Taf at Clog-y-Fran"
"NUMBER:","60003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
13/12/1964 00:00,3.190,77.74,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
13/01/1965 00:00,2.620,37.73,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
28/11/1965 00:00,2.970,51.64,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
09/12/1965 00:00,3.090,64.78,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
15/12/1965 00:00,2.740,40.68,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
17/12/1965 00:00,3.170,74.99,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
22/12/1965 00:00,3.020,56.82,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
29/12/1965 00:00,2.990,53.66,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
25/02/1966 00:00,2.640,38.22,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
22/04/1966 00:00,3.130,69.73,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
19/10/1966 00:00,3.020,56.82,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
04/11/1966 00:00,2.590,37.01,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
13/12/1966 00:00,3.030,57.91,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
26/02/1967 00:00,3.170,74.99,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
01/10/1967 09:00,3.190,77.74,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
16/10/1967 00:00,3.030,57.91,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
02/11/1967 00:00,2.590,37.01,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
08/01/1968 00:00,2.850,43.43,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
16/01/1968 09:00,2.680,39.20,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
01/11/1968 00:00,2.820,42.68,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
27/11/1968 00:00,2.650,38.47,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
21/12/1968 00:00,2.810,42.43,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
25/12/1968 00:00,2.770,41.43,"Ja","CEH POTS 6-3-72","Threshold 2.580 applied",""
17/01/1969 00:00,3.050,60.13,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
21/01/1969 00:00,3.100,65.99,"Jb","CEH POTS 6-3-72","Threshold 2.580 applied",""
02/12/1969 00:00,2.820,42.68,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
03/12/1969 00:00,2.820,42.68,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
14/12/1969 00:00,3.020,56.82,"Jb","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
18/01/1970 00:00,2.800,42.18,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
21/01/1970 00:00,2.650,38.47,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
23/01/1970 00:00,2.830,42.93,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
24/01/1970 00:00,2.620,37.73,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
01/02/1970 00:00,2.560,36.28,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
02/11/1970 00:00,2.950,49.68,"Jb","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
17/11/1970 00:00,3.130,69.73,"Jb","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
23/11/1970 00:00,2.840,43.18,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
19/10/1971 00:00,2.630,37.98,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
20/11/1971 00:00,3.050,60.13,"Jb","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
30/11/1971 00:00,3.070,62.42,"Jb","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
15/02/1972 00:00,2.840,43.18,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
07/06/1972 00:00,2.650,38.47,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
04/12/1972 00:00,3.020,56.82,"Jb","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
06/12/1972 00:00,2.800,42.18,"Ja","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
12/12/1972 00:00,2.920,46.86,"Jb","CEH AMAX 23-2-77","Peaks Over 42.000 cumecs",""
04/01/1974 00:00,3.080,63.59,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
08/01/1974 00:00,3.210,80.57,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
10/01/1974 00:00,3.220,82.02,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
16/01/1974 00:00,3.020,56.82,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
30/01/1974 00:00,2.800,42.18,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
11/02/1974 00:00,2.860,43.69,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
14/02/1974 00:00,3.160,73.65,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
15/09/1974 00:00,2.750,40.93,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
13/11/1974 00:00,3.100,65.99,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
19/01/1975 00:00,2.900,45.05,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
22/01/1975 00:00,3.030,57.91,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
25/01/1975 00:00,2.760,41.18,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
28/01/1975 00:00,2.990,53.66,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
31/01/1975 00:00,3.040,59.01,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
21/04/1975 00:00,2.920,46.86,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
23/11/1975 00:00,3.070,62.42,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
01/12/1975 00:00,3.090,64.78,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
15/10/1976 00:00,3.010,55.75,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
17/10/1976 00:00,2.910,45.95,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
23/10/1976 00:00,2.770,41.43,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
02/02/1977 00:00,2.980,52.65,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
10/02/1977 00:00,3.110,67.22,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
31/10/1977 00:00,3.200,79.15,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
01/11/1977 00:00,3.240,84.98,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
23/01/1978 00:00,2.760,41.18,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
14/02/1978 00:00,2.920,46.86,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
27/12/1978 00:00,2.760,41.18,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
01/02/1979 00:00,3.160,73.65,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
24/10/1979 00:00,2.820,42.68,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
16/11/1979 00:00,2.820,42.68,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
14/12/1979 00:00,3.000,54.70,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
27/12/1979 00:00,3.200,79.15,"Jb","CEH POTS 21-2-86","Threshold 2.7applied, Nine hour flat top peak",""
08/02/1980 00:00,3.180,76.36,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
27/10/1980 00:00,2.890,44.44,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
22/11/1980 00:00,3.120,68.47,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
11/03/1981 00:00,3.250,86.49,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
21/03/1981 00:00,3.210,80.57,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
19/09/1981 00:00,2.730,40.43,"Ja","CEH POTS 21-2-86","Threshold 2.7applied",""
02/10/1981 00:00,3.250,86.49,"Jb","CEH POTS 21-2-86","Threshold 2.7m applied. Peak slightly above bankful but rating has upper limb to account for out of bank spill",""
08/10/1981 00:00,3.200,79.15,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
20/12/1981 00:00,3.060,61.27,"Jb","CEH POTS 21-2-86","Threshold 2.7applied",""
13/02/1982 22:45,2.665,38.83,"Ja","Digital Archive","Non-independent peak removed B",""
06/03/1982 21:45,2.746,40.83,"Ja","Digital Archive","",""
10/03/1982 08:45,2.923,47.14,"Jb","Digital Archive","",""
15/03/1982 06:00,2.815,42.55,"Ja","Digital Archive","",""
02/10/1982 05:30,3.187,77.32,"Jb","Digital Archive","",""
20/10/1982 20:15,3.025,57.36,"Jb","Digital Archive","",""
08/11/1982 05:30,2.742,40.73,"Ja","Digital Archive","",""
12/11/1982 15:15,3.006,55.33,"Jb","Digital Archive","",""
21/11/1982 18:00,2.880,44.19,"Ja","Digital Archive","",""
15/10/1983 15:30,2.842,43.23,"Ja","Digital Archive","",""
15/12/1983 05:15,2.950,49.68,"Jb","Digital Archive","",""
16/01/1984 15:30,2.737,40.61,"Ja","Digital Archive","",""
25/10/1984 06:30,3.053,60.47,"Jb","Digital Archive","",""
12/11/1984 09:15,2.671,38.98,"Ja","Digital Archive","",""
23/11/1984 20:45,2.793,42.00,"Ja","Digital Archive","",""
03/12/1984 10:15,2.799,42.15,"Ja","Digital Archive","",""
21/01/1985 15:00,2.851,43.46,"Ja","Digital Archive","",""
24/08/1985 03:45,3.025,57.36,"Jb","Digital Archive","",""
06/10/1985 17:00,2.677,39.13,"Ja","Digital Archive","",""
06/12/1985 19:30,2.684,39.30,"Ja","Digital Archive","",""
22/12/1985 03:00,3.033,58.23,"Jb","Digital Archive","",""
31/12/1985 07:30,3.046,59.68,"Jb","Digital Archive","",""
02/01/1986 00:00,3.085,64.19,"Jb","Digital Archive","",""
10/01/1986 16:45,3.081,63.71,"Jb","Digital Archive","",""
22/01/1986 15:30,2.634,38.08,"Ja","Digital Archive","",""
25/08/1986 23:15,3.338,100.78,"Jb","Digital Archive","Exceed rating upper limit so flow extrapolated, expect to under estimate flows.",""
10/11/1986 03:30,2.683,39.27,"Ja","Digital Archive","",""
14/11/1986 19:45,3.128,69.48,"Jb","Digital Archive","",""
19/11/1986 03:00,3.207,80.14,"Jb","Digital Archive","Peak looks ok",""
21/11/1986 03:15,3.153,72.72,"Jb","Digital Archive","",""
26/11/1986 00:00,3.002,54.91,"Jb","Digital Archive","",""
27/03/1987 06:00,3.089,64.66,"Jb","Digital Archive","",""
16/10/1987 09:00,2.890,44.44,"Ja","Digital Archive","Non-independent peak removed B",""
18/10/1987 18:00,3.250,86.49,"Jb","Digital Archive","Peak looks ok. Only just above bankful and upper rating limt. But rating godd above bankful",""
21/10/1987 09:00,3.069,62.30,"Jb","Digital Archive","",""
15/11/1987 12:00,2.579,36.74,"Ja","Digital Archive","",""
19/11/1987 18:00,2.849,43.41,"Ja","Digital Archive","",""
29/11/1987 21:00,2.690,39.45,"Ja","Digital Archive","",""
31/12/1987 02:30,3.046,59.68,"Jb","Digital Archive","",""
02/01/1988 17:15,3.094,65.27,"Jb","Digital Archive","",""
06/01/1988 07:30,2.701,39.72,"Ja","Digital Archive","",""
09/01/1988 18:00,2.839,43.16,"Ja","Digital Archive","",""
13/01/1988 03:00,3.109,67.10,"Jb","Digital Archive","",""
22/01/1988 06:00,2.599,37.22,"Ja","Digital Archive","",""
24/01/1988 09:00,3.079,63.48,"Jb","Digital Archive","",""
01/02/1988 03:00,3.079,63.48,"Jb","Digital Archive","",""
13/02/1988 15:00,2.900,45.05,"Jb","Digital Archive","",""
14/02/1988 12:00,2.569,36.50,"Ja","Digital Archive","",""
19/03/1988 21:00,3.059,61.15,"Jb","Digital Archive","Non-independent peak removed B",""
13/07/1988 04:30,2.582,36.81,"Ja","Digital Archive","",""
18/08/1988 15:00,3.092,65.02,"Jb","Digital Archive","",""
01/09/1988 11:15,2.579,36.74,"Ja","Digital Archive","",""
27/10/1988 07:15,3.086,64.31,"Jb","Digital Archive","",""
24/02/1989 14:30,3.213,81.00,"Jb","Digital Archive","Peak looks ok",""
26/02/1989 21:45,2.457,33.82,"Ja","Digital Archive","",""
02/03/1989 13:00,2.799,42.15,"Ja","Digital Archive","",""
06/03/1989 13:30,2.871,43.96,"Ja","Digital Archive","",""
09/03/1989 14:30,3.114,67.72,"Jb","Digital Archive","",""
15/03/1989 01:45,3.187,77.32,"Jb","Digital Archive","",""
20/03/1989 19:45,2.608,37.44,"Ja","Digital Archive","",""
11/11/1989 09:00,2.994,54.08,"Jb","Digital Archive","",""
14/12/1989 15:00,2.763,41.25,"Ja","Digital Archive","",""
21/12/1989 15:00,2.595,37.13,"Ja","Digital Archive","",""
24/12/1989 18:00,3.046,59.68,"Jb","Digital Archive","",""
23/01/1990 12:00,2.595,37.13,"Ja","Digital Archive","",""
28/01/1990 06:00,3.160,73.65,"Jb","Digital Archive","",""
29/01/1990 18:00,2.881,44.22,"Ja","Digital Archive","",""
07/02/1990 18:00,3.062,61.49,"Jb","Digital Archive","",""
24/11/1990 06:30,3.049,60.02,"Jb","Digital Archive","",""
25/12/1990 12:00,2.726,40.34,"Ja","Digital Archive","",""
31/12/1990 13:00,2.655,38.59,"Ja","Digital Archive","",""
09/01/1991 22:15,3.095,65.39,"Jb","Digital Archive","Non-independent peak removed B",""
23/02/1991 01:00,2.631,38.00,"Ja","Digital Archive","",""
04/03/1991 21:15,2.604,37.35,"Ja","Digital Archive","",""
18/03/1991 23:15,3.039,58.90,"Jb","Digital Archive","",""
31/10/1991 18:15,3.244,85.58,"Jb","Digital Archive","",""
05/11/1991 16:30,2.694,39.55,"Ja","Digital Archive","",""
30/08/1992 07:45,3.210,64.01,"Qd","Digital Archive","",""
30/11/1992 06:00,2.595,35.14,"Qc","Digital Archive","",""
02/12/1992 14:30,3.259,73.72,"Qd","Digital Archive","Peak just under rating upper limit so ok",""
06/12/1992 18:45,2.825,39.70,"Qc","Digital Archive","",""
18/12/1992 13:45,3.223,66.49,"Qd","Digital Archive","",""
13/01/1993 18:00,2.713,37.49,"Qc","Digital Archive","",""
11/06/1993 08:00,2.661,36.45,"Qc","Digital Archive","",""
13/11/1993 15:15,3.168,56.38,"Qd","Digital Archive","",""
04/12/1993 08:30,2.637,35.98,"Qc","Digital Archive","",""
08/12/1993 17:45,2.834,39.87,"Qc","Digital Archive","",""
12/12/1993 20:00,3.168,56.38,"Qd","Digital Archive","",""
15/12/1993 03:30,2.700,37.23,"Qc","Digital Archive","",""
19/12/1993 09:30,3.141,51.81,"Qd","Digital Archive","",""
28/12/1993 08:30,2.805,39.30,"Qc","Digital Archive","",""
02/01/1994 02:00,2.983,42.79,"Qc","Digital Archive","",""
03/01/1994 17:15,3.144,52.30,"Qd","Digital Archive","",""
05/01/1994 04:45,2.641,36.06,"Qc","Digital Archive","",""
09/01/1994 22:45,2.674,36.71,"Qc","Digital Archive","Non-independent peak removed B",""
12/01/1994 21:00,2.915,41.46,"Qc","Digital Archive","",""
23/02/1994 11:15,2.713,37.49,"Qc","Digital Archive","",""
26/02/1994 00:45,3.164,55.69,"Qd","Digital Archive","",""
27/02/1994 18:00,2.890,40.97,"Qc","Digital Archive","",""
01/04/1994 00:15,2.892,41.01,"Qc","Digital Archive","",""
30/10/1994 05:00,2.686,36.95,"Qc","Digital Archive","Non-independent peak removed A",""
09/11/1994 04:30,3.119,48.26,"Qd","Digital Archive","Non-independent peak removed A",""
12/11/1994 12:15,2.582,34.88,"Qc","Digital Archive","",""
04/12/1994 12:30,3.138,51.31,"Qd","Digital Archive","Non-independent peak removed A",""
07/12/1994 09:00,3.197,61.58,"Qd","Digital Archive","Non-independent peak removed A",""
27/12/1994 14:30,3.164,55.69,"Qd","Digital Archive","",""
05/01/1995 08:00,2.848,40.15,"Qc","Digital Archive","",""
19/01/1995 17:15,2.801,39.22,"Qc","Digital Archive","",""
21/01/1995 16:00,2.927,41.70,"Qc","Digital Archive","",""
27/01/1995 18:15,3.174,57.43,"Qd","Digital Archive","",""
29/01/1995 18:45,2.986,42.85,"Qc","Digital Archive","",""
01/02/1995 04:30,2.601,35.26,"Qc","Digital Archive","",""
11/02/1995 18:15,3.091,44.89,"Qc","Digital Archive","",""
13/02/1995 10:30,3.164,55.69,"Qd","Digital Archive","Non-independent peak removed A",""
16/02/1995 19:45,2.635,35.94,"Qc","Digital Archive","",""
19/02/1995 02:45,2.720,37.62,"Qc","Digital Archive","",""
05/03/1995 01:00,2.750,38.22,"Qc","Digital Archive","",""
20/12/1995 04:45,2.644,36.12,"Qc","Digital Archive","",""
22/12/1995 17:45,3.095,44.97,"Qc","Digital Archive","",""
08/01/1996 23:30,2.878,40.74,"Qc","Digital Archive","",""
14/01/1996 14:00,2.963,42.40,"Qc","Digital Archive","",""
09/02/1996 15:30,2.588,35.00,"Qc","Digital Archive","",""
12/02/1996 12:00,2.841,40.01,"Qc","Digital Archive","",""
29/10/1996 06:45,2.680,36.83,"Qc","Digital Archive","",""
19/11/1996 12:00,2.621,35.66,"Qc","Digital Archive","",""
24/11/1996 19:45,2.828,39.75,"Qc","Digital Archive","",""
29/11/1996 08:45,2.851,40.21,"Qc","Digital Archive","",""
03/12/1996 10:00,2.641,36.06,"Qc","Digital Archive","",""
17/02/1997 21:15,3.026,43.63,"Qc","Digital Archive","",""
06/08/1997 19:30,3.111,47.01,"Qd","Digital Archive","",""
03/09/1997 16:30,2.900,41.17,"Qc","Digital Archive","",""
08/11/1997 07:00,2.551,34.26,"Qc","Digital Archive","",""
16/11/1997 16:45,2.621,35.66,"Qc","Digital Archive","",""
18/11/1997 11:15,3.253,72.48,"Qd","Digital Archive","Just under rating upper limit so ok.",""
20/11/1997 12:45,3.082,44.72,"Qc","Digital Archive","",""
22/11/1997 19:15,3.122,48.74,"Qd","Digital Archive","",""
24/11/1997 21:15,3.151,53.47,"Qd","Digital Archive","",""
28/11/1997 16:30,3.167,56.21,"Qd","Digital Archive","",""
10/12/1997 09:45,2.621,35.66,"Qc","Digital Archive","",""
01/01/1998 20:30,3.127,49.53,"Qd","Digital Archive","",""
03/01/1998 12:45,3.246,71.05,"Qd","Digital Archive","",""
05/01/1998 14:00,2.918,41.52,"Qc","Digital Archive","Non-independent peak removed A",""
08/01/1998 12:45,2.739,38.00,"Qc","Digital Archive","",""
18/01/1998 11:15,3.095,44.97,"Qc","Digital Archive","",""
04/03/1998 11:00,3.094,44.95,"Qc","Digital Archive","Non-independent peak removed B",""
07/03/1998 00:30,3.157,54.49,"Qd","Digital Archive","",""
23/04/1998 13:30,2.816,39.52,"Qc","Digital Archive","Non-independent peak removed B",""
23/10/1998 05:00,3.263,74.55,"Qd","Digital Archive","Just within rating upper limit so peak ok",""
24/10/1998 18:45,3.243,70.45,"Qd","Digital Archive","",""
31/10/1998 21:00,2.967,42.48,"Qc","Digital Archive","",""
03/11/1998 15:45,3.141,51.81,"Qd","Digital Archive","",""
09/11/1998 08:45,3.207,63.44,"Qd","Digital Archive","",""
24/11/1998 11:30,2.746,38.14,"Qc","Digital Archive","",""
26/12/1998 17:15,3.017,43.45,"Qc","Digital Archive","Non-independent peak removed A",""
04/01/1999 09:15,3.144,52.30,"Qd","Digital Archive","Non-independent peak removed B",""
13/01/1999 17:15,2.691,37.05,"Qc","Digital Archive","Non-independent peak removed B",""
16/01/1999 05:00,3.164,55.69,"Qd","Digital Archive","",""
18/01/1999 17:30,2.913,41.42,"Qc","Digital Archive","Non-independent peak removed A",""
02/03/1999 18:30,2.849,40.17,"Qc","Digital Archive","",""
20/04/1999 17:15,2.588,35.00,"Qc","Digital Archive","",""
27/09/1999 02:00,2.680,36.83,"Qc","Digital Archive","",""
02/10/1999 05:00,2.757,38.36,"Qc","Digital Archive","",""
05/11/1999 13:15,2.947,42.09,"Qc","Digital Archive","",""
19/12/1999 00:30,2.625,35.74,"Qc","Digital Archive","",""
21/12/1999 08:00,3.220,65.91,"Qd","Digital Archive","Non-independent peak removed BNon-independent peak removed A",""
25/12/1999 03:45,3.170,56.73,"Qd","Digital Archive","Non-independent peak removed B",""
30/12/1999 16:45,2.634,35.92,"Qc","Digital Archive","",""
12/01/2000 23:15,2.979,42.71,"Qc","Digital Archive","",""
28/02/2000 00:15,3.000,43.12,"Qc","Digital Archive","",""
29/02/2000 10:30,2.976,42.65,"Qc","Digital Archive","",""
27/09/2000 21:30,2.861,40.40,"Qc","Digital Archive","",""
30/09/2000 04:30,2.854,40.27,"Qc","Digital Archive","",""
09/10/2000 14:30,3.040,43.90,"Qc","Digital Archive","",""
13/10/2000 03:30,2.782,38.85,"Qc","Digital Archive","",""
18/10/2000 03:45,2.845,40.09,"Qc","Digital Archive","",""
27/10/2000 12:00,2.642,36.08,"Qc","Digital Archive","",""
28/10/2000 23:00,3.188,59.93,"Qd","Digital Archive","",""
30/10/2000 09:30,3.309,84.57,"Qd","Digital Archive","Exceed rating upper limit so flow extrapolated, expect to under estimate flows.",""
02/11/2000 16:15,2.678,36.79,"Qc","Digital Archive","",""
05/11/2000 23:45,2.927,41.70,"Qc","Digital Archive","",""
26/11/2000 04:30,2.716,37.54,"Qc","Digital Archive","",""
28/11/2000 09:30,3.178,58.14,"Qd","Digital Archive","",""
01/12/2000 11:00,3.255,72.89,"Qd","Digital Archive","",""
04/12/2000 11:00,3.137,51.15,"Qd","Digital Archive","",""
08/12/2000 04:30,3.289,80.11,"Qd","Digital Archive","Exceed rating upper limit so flow extrapolated, expect to under estimate flows.",""
10/12/2000 04:00,2.742,38.06,"Qc","Digital Archive","",""
11/12/2000 17:45,3.282,78.59,"Qd","Digital Archive","Exceed rating upper limit so flow extrapolated, expect to under estimate flows.",""
01/01/2001 02:00,3.170,56.73,"Qd","Digital Archive","",""
06/02/2001 03:15,2.605,35.34,"Qc","Digital Archive","Non-independent peak removed B",""
12/02/2001 13:45,3.177,57.96,"Qd","Digital Archive","","AMAX ONLY"
04/04/2001 01:30,3.085,44.78,"Qc","Digital Archive","",""
05/04/2001 13:00,2.766,38.53,"Qc","Digital Archive","",""
06/10/2001 00:15,2.634,35.92,"Qc","Digital Archive","",""
08/10/2001 07:00,3.203,62.69,"Qd","Digital Archive","",""
26/10/2001 14:30,2.713,37.49,"Qc","Digital Archive","",""
30/11/2001 11:45,2.859,40.36,"Qc","Digital Archive","Non-independent peak removed B",""
05/12/2001 09:00,3.098,45.03,"Qc","Digital Archive","Non-independent peak removed B",""
23/01/2002 23:30,2.766,38.53,"Qc","Digital Archive","",""
25/01/2002 19:00,3.138,51.31,"Qd","Digital Archive","",""
02/02/2002 04:30,3.194,61.03,"Qd","Digital Archive","",""
04/02/2002 21:45,2.848,40.15,"Qc","Digital Archive","",""
11/02/2002 13:00,2.835,39.89,"Qc","Digital Archive","",""
26/02/2002 05:15,2.842,40.03,"Qc","Digital Archive","",""
18/03/2002 17:00,2.657,36.38,"Qc","Digital Archive","",""
22/05/2002 10:00,3.079,44.66,"Qc","Digital Archive","",""
24/05/2002 05:30,2.707,37.37,"Qc","Digital Archive","",""
28/05/2002 11:15,2.585,34.94,"Qc","Digital Archive","",""
02/11/2002 22:15,3.040,43.90,"Qc","Digital Archive","",""
06/11/2002 09:15,2.641,36.06,"Qc","Digital Archive","",""
08/11/2002 16:30,3.009,43.30,"Qc","Digital Archive","",""
10/11/2002 11:15,2.555,34.34,"Qc","Digital Archive","",""
14/11/2002 11:45,3.289,80.11,"Qd","Digital Archive","",""
27/11/2002 19:45,3.296,81.65,"Qd","Digital Archive","",""
26/12/2002 09:15,2.828,39.75,"Qc","Digital Archive","Non-independent peak removed A",""
29/12/2002 17:30,3.111,47.01,"Qd","Digital Archive","",""
01/01/2003 11:15,3.105,46.09,"Qd","Digital Archive","",""
20/01/2003 10:30,2.894,41.05,"Qc","Digital Archive","",""
25/07/2003 11:15,3.071,44.50,"Qc","Digital Archive","",""
14/11/2003 17:45,2.746,38.14,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
13/12/2003 11:30,2.538,34.00,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
01/01/2004 03:45,2.555,34.34,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
08/01/2004 11:30,2.919,41.54,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
31/01/2004 16:15,3.254,72.68,"Qd","Digital Archive","Series used : 060003SG,060003SG,",""
04/02/2004 19:15,3.287,79.67,"Qd","Digital Archive","Series used : 060003SG,060003SG,",""
04/10/2004 04:45,2.734,37.90,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
19/10/2004 08:45,2.800,39.20,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
22/10/2004 22:45,3.262,74.34,"Qd","Digital Archive","Series used : 060003SG,060003SG,",""
29/10/2004 04:45,3.048,44.06,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
22/12/2004 11:15,2.856,40.30,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
28/12/2004 03:15,2.589,35.02,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
10/01/2005 07:00,2.455,32.34,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
17/04/2005 23:30,2.391,31.05,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
12/10/2005 02:00,3.297,81.87,"Qd","Digital Archive","Series used : 060003SG,060003SG,",""
25/10/2005 01:45,2.749,38.20,"Qc","Digital Archive","Series used : 060003SG,060003SG,",""
