"NAME:","Sawdde at Felin-y-cwm"
"NUMBER:","60009"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
06/08/1973 00:00,2.260,189.10,"1a","CEH POTS 13-5-85","Threshold 1.500m. Peak exceed rating upper limit but still within bankful. Flow extrapolated",""
04/01/1974 10:00,1.770,111.51,"1a","CEH POTS 13-5-85","Threshold 1.500",""
29/01/1974 00:00,1.720,104.81,"1a","CEH POTS 13-5-85","Threshold 1.500",""
30/01/1974 00:00,1.690,100.90,"1a","CEH POTS 13-5-85","Threshold 1.500",""
11/02/1974 00:00,2.320,200.11,"1a","CEH POTS 13-5-85","Threshold 1.500m. Peak exceed rating upper limit but still within bankful. Flow extrapolated",""
14/02/1974 00:00,1.560,84.87,"1a","CEH POTS 13-5-85","Threshold 1.500",""
10/11/1974 00:00,1.600,89.64,"1a","CEH POTS 13-5-85","Threshold 1.500",""
13/11/1974 00:00,1.950,137.47,"1a","CEH POTS 13-5-85","Threshold 1.500",""
21/12/1974 00:00,1.520,80.24,"1a","CEH POTS 13-5-85","Threshold 1.500",""
19/01/1975 00:00,1.920,132.94,"1a","CEH POTS 13-5-85","Threshold 1.500",""
22/01/1975 00:00,1.510,79.10,"1a","CEH POTS 13-5-85","Threshold 1.500",""
31/01/1975 00:00,1.850,122.68,"1a","CEH POTS 13-5-85","Threshold 1.500",""
01/12/1975 00:00,1.570,86.05,"1a","CEH POTS 13-5-85","Threshold 1.500",""
02/02/1977 00:00,1.670,98.33,"1a","CEH POTS 13-5-85","Threshold 1.500",""
15/03/1977 00:00,1.880,127.02,"1a","CEH POTS 13-5-85","Threshold 1.500",""
30/10/1977 00:00,1.850,122.68,"1a","CEH POTS 13-5-85","Threshold 1.500",""
02/11/1977 00:00,1.550,83.70,"1a","CEH POTS 13-5-85","Threshold 1.500",""
01/02/1979 00:00,1.710,103.50,"1a","CEH POTS 13-5-85","Threshold 1.500",""
27/12/1979 00:00,2.660,268.93,"1a","CEH POTS 13-5-85","Threshold 1.500m. Peak exceed rating upper limit but still within bankful. Flow extrapolated",""
07/02/1980 00:00,1.600,89.64,"1a","CEH POTS 13-5-85","Threshold 1.500",""
21/11/1980 00:00,1.920,132.94,"1a","CEH POTS 13-5-85","Threshold 1.500",""
10/03/1981 09:00,1.610,90.86,"1a","CEH POTS 13-5-85","Threshold 1.500",""
10/03/1981 12:00,1.620,92.08,"1a","CEH POTS 13-5-85","Threshold 1.500",""
21/03/1981 10:00,1.720,104.81,"1a","CEH POTS 13-5-85","Threshold 1.500",""
19/09/1981 00:00,1.850,122.68,"1a","CEH POTS 13-5-85","Threshold 1.500",""
08/10/1981 00:00,1.720,104.81,"1a","CEH POTS 13-5-85","Threshold 1.500",""
12/02/1982 00:00,1.600,89.64,"1a","CEH POTS 13-5-85","Threshold 1.500",""
