"NAME:","Enrick at Mill of Tore"
"NUMBER:","6008"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/12/1979 19:45,1.513,23.41,"QHigh19791","Digital Archive","",""
27/07/1980 14:00,2.118,60.11,"QHigh19791","Digital Archive","",""
02/01/1981 20:45,1.473,21.72,"QHigh19791","Digital Archive","","AMAX ONLY"
04/10/1981 07:45,2.065,55.98,"QHigh19791","Digital Archive","",""
20/11/1981 19:00,1.579,26.39,"QHigh19791","Digital Archive","",""
26/11/1981 20:30,1.690,31.93,"QHigh19791","Digital Archive","",""
13/02/1982 01:00,1.533,24.29,"QHigh19791","Digital Archive","",""
18/11/1982 17:30,1.517,23.59,"QHigh19791","Digital Archive","",""
15/12/1982 19:00,1.566,25.79,"QHigh19791","Digital Archive","",""
26/12/1982 01:00,1.684,31.61,"QHigh19791","Digital Archive","",""
06/01/1983 03:00,1.674,31.09,"QHigh19791","Digital Archive","",""
19/09/1983 10:30,1.532,24.25,"QHigh19791","Digital Archive","",""
14/10/1983 10:30,1.735,34.37,"QHigh19791","Digital Archive","",""
15/10/1983 19:00,1.598,27.29,"QHigh19791","Digital Archive","",""
27/12/1983 23:30,1.967,48.85,"QHigh19791","Digital Archive","",""
01/01/1984 02:00,1.951,47.75,"QHigh19791","Digital Archive","",""
27/11/1984 20:30,1.693,32.08,"QHigh19791","Digital Archive","",""
07/12/1984 21:00,1.658,30.26,"QHigh19791","Digital Archive","",""
31/01/1985 12:00,1.688,31.82,"QHigh19791","Digital Archive","",""
01/10/1985 07:30,1.992,50.61,"QHigh19791","Digital Archive","",""
03/12/1985 16:00,1.777,36.75,"QHigh19791","Digital Archive","",""
22/03/1986 21:00,1.748,35.09,"QHigh19791","Digital Archive","",""
30/10/1986 20:00,1.535,24.38,"QHigh19791","Digital Archive","",""
10/11/1986 17:00,1.732,34.20,"QHigh19791","Digital Archive","",""
03/12/1986 13:30,1.813,38.87,"QHigh19791","Digital Archive","",""
07/12/1986 17:00,1.972,49.20,"QHigh19791","Digital Archive","",""
25/12/1986 06:30,1.579,26.39,"QHigh19791","Digital Archive","",""
29/12/1986 02:00,1.504,23.03,"QHigh19791","Digital Archive","",""
01/01/1988 03:00,1.617,28.21,"QHigh19791","Digital Archive","",""
12/01/1988 23:30,1.525,23.94,"QHigh19791","Digital Archive","",""
09/10/1988 11:00,1.971,49.13,"QHigh19791","Digital Archive","",""
11/01/1989 22:00,1.745,34.92,"QHigh19791","Digital Archive","",""
15/01/1989 12:30,2.003,51.40,"QHigh19791","Digital Archive","",""
28/01/1989 02:30,1.618,28.26,"QHigh19791","Digital Archive","",""
07/02/1989 09:30,2.039,54.03,"QHigh19791","Digital Archive","",""
12/03/1989 11:00,1.695,32.19,"QHigh19791","Digital Archive","",""
28/10/1989 09:30,1.565,25.73,"QHigh19791","Digital Archive","",""
25/12/1989 01:15,1.609,27.82,"QHigh19791","Digital Archive","",""
19/01/1990 11:45,1.586,26.72,"QHigh19791","Digital Archive","",""
23/01/1990 09:00,1.764,36.00,"QHigh19791","Digital Archive","",""
05/02/1990 02:45,2.406,85.92,"QHigh19791","Digital Archive","",""
09/02/1990 22:00,1.568,25.88,"QHigh19791","Digital Archive","",""
19/02/1990 15:00,2.136,61.55,"QHigh19791","Digital Archive","",""
22/02/1990 13:15,1.860,41.76,"QHigh19791","Digital Archive","",""
04/03/1990 03:45,1.801,38.16,"QHigh19791","Digital Archive","",""
06/03/1990 08:30,1.779,36.86,"QHigh19791","Digital Archive","",""
11/03/1990 06:00,1.781,37.00,"QHigh19791","Digital Archive","",""
16/03/1990 01:45,2.011,51.94,"QHigh19791","Digital Archive","",""
24/12/1990 03:00,1.569,25.92,"QHigh19791","Digital Archive","",""
25/12/1990 17:00,1.549,25.01,"QHigh19791","Digital Archive","",""
02/01/1991 09:00,2.065,55.98,"QHigh19791","Digital Archive","",""
20/01/1991 16:30,1.762,35.89,"QHigh19791","Digital Archive","",""
17/10/1991 13:00,1.551,25.10,"QHigh19791","Digital Archive","",""
11/11/1991 02:30,1.580,26.44,"QHigh19791","Digital Archive","",""
12/11/1991 21:30,2.155,63.09,"QHigh19791","Digital Archive","",""
22/12/1991 19:30,1.511,23.33,"QHigh19791","Digital Archive","",""
03/01/1992 08:00,2.094,58.22,"QHigh19791","Digital Archive","",""
07/01/1992 12:30,1.951,47.75,"QHigh19791","Digital Archive","",""
22/02/1992 13:30,1.576,26.25,"QHigh19791","Digital Archive","",""
01/10/1992 13:30,1.859,41.70,"QHigh19791","Digital Archive","",""
25/11/1992 22:30,1.660,30.36,"QHigh19791","Digital Archive","",""
27/11/1992 20:30,2.063,55.83,"QHigh19791","Digital Archive","",""
18/12/1992 10:30,1.795,37.80,"QHigh19791","Digital Archive","",""
05/01/1993 17:00,1.541,24.65,"QHigh19791","Digital Archive","",""
15/01/1993 17:00,2.049,54.78,"QHigh19791","Digital Archive","",""
17/01/1993 02:30,2.450,90.40,"QHigh19791","Digital Archive","",""
21/01/1993 23:30,1.837,40.33,"QHigh19791","Digital Archive","",""
24/01/1993 09:00,1.572,26.06,"QHigh19791","Digital Archive","",""
07/10/1993 12:30,1.985,50.12,"QHigh19791","Digital Archive","",""
19/12/1993 05:30,2.084,57.44,"QHigh19791","Digital Archive","",""
