"NAME:","Seiont at Peblig Mill"
"NUMBER:","65006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/09/1976 00:00,2.120,52.16,"1b","Digital Archive","",""
03/02/1977 00:00,1.630,34.60,"1b","Digital Archive","",""
11/02/1977 00:00,2.060,49.90,"1b","Digital Archive","",""
31/10/1977 00:00,2.230,56.39,"1b","Digital Archive","Peak from the CEH archived files.",""
02/11/1977 00:00,1.540,31.62,"1b","Digital Archive","",""
24/12/1977 00:00,1.450,28.72,"1b","Digital Archive","",""
15/11/1978 00:00,1.430,28.08,"1b","Digital Archive","",""
18/11/1978 00:00,1.580,32.93,"1b","Digital Archive","",""
09/03/1979 00:00,1.500,30.32,"1b","Digital Archive","",""
25/03/1979 00:00,1.530,31.29,"1b","Digital Archive","",""
07/05/1979 00:00,1.530,31.29,"1b","Digital Archive","",""
05/12/1979 00:00,1.680,36.29,"1b","Digital Archive","",""
27/12/1979 00:00,2.200,55.23,"1b","Digital Archive","",""
09/02/1980 00:00,1.430,28.08,"1b","Digital Archive","",""
23/10/1980 00:00,1.550,31.95,"1b","Digital Archive","",""
27/10/1980 00:00,1.920,44.74,"1b","Digital Archive","",""
14/11/1980 00:00,1.510,30.64,"1b","Digital Archive","",""
17/11/1980 00:00,1.420,27.77,"1b","Digital Archive","",""
20/11/1980 00:00,1.410,27.45,"1b","Digital Archive","",""
21/11/1980 00:00,1.980,46.93,"1b","Digital Archive","",""
11/12/1980 00:00,1.460,29.03,"1b","Digital Archive","",""
17/12/1980 00:00,1.460,29.03,"1b","Digital Archive","",""
08/02/1981 00:00,1.420,27.77,"1b","Digital Archive","",""
10/02/1981 00:00,1.420,27.77,"1b","Digital Archive","",""
21/03/1981 00:00,2.350,61.10,"1b","Digital Archive","Event above bankfull.",""
23/03/1981 00:00,1.350,25.59,"1b","Digital Archive","",""
23/07/1981 00:00,1.850,42.22,"1b","Digital Archive","",""
27/09/1981 00:00,1.400,27.14,"1b","Digital Archive","",""
02/10/1981 00:00,1.740,38.36,"1b","Digital Archive","",""
08/10/1981 00:00,1.760,39.05,"1b","Digital Archive","",""
18/11/1981 00:00,1.420,27.77,"1b","Digital Archive","",""
04/01/1982 03:15,1.629,34.60,"1b","Digital Archive","",""
13/02/1982 00:00,1.473,29.40,"1b","Digital Archive","",""
10/03/1982 04:30,1.532,31.40,"1b","Digital Archive","",""
15/03/1982 06:30,1.419,27.70,"1b","Digital Archive","",""
12/11/1982 09:15,1.620,34.30,"1b","Digital Archive","",""
21/11/1982 12:45,1.345,25.40,"1b","Digital Archive","",""
19/12/1982 16:45,1.487,29.90,"1b","Digital Archive","",""
06/01/1983 12:00,1.639,34.90,"1b","Digital Archive","",""
03/09/1983 08:15,1.940,45.50,"1b","Digital Archive","",""
10/10/1983 06:00,1.521,31.00,"1b","Digital Archive","",""
15/10/1983 17:00,1.456,28.90,"1b","Digital Archive","",""
09/12/1983 17:45,1.783,39.90,"1b","Digital Archive","",""
11/01/1984 15:15,1.422,27.80,"1b","Digital Archive","",""
22/10/1984 17:00,1.579,32.90,"1b","Digital Archive","",""
24/08/1985 06:00,1.439,28.40,"1b","Digital Archive","",""
01/12/1985 20:45,1.334,25.10,"1b","Digital Archive","",""
02/12/1985 22:30,1.485,29.80,"1b","Digital Archive","",""
13/12/1985 12:00,1.474,29.50,"1b","Digital Archive","",""
21/12/1985 20:30,2.138,52.80,"1b","Digital Archive","",""
26/08/1986 20:15,1.341,25.70,"2b","Digital Archive","",""
09/11/1986 21:00,1.519,32.20,"2b","Digital Archive","",""
19/11/1986 06:00,1.542,33.10,"2b","Digital Archive","",""
26/11/1986 00:00,1.451,29.60,"2b","Digital Archive","",""
05/12/1986 15:00,1.321,25.00,"2b","Digital Archive","",""
09/12/1986 03:00,1.337,25.50,"2b","Digital Archive","",""
30/12/1986 15:00,2.127,59.20,"2b","Digital Archive","",""
27/03/1987 12:00,2.240,65.00,"2b","Digital Archive","Extrapolated flow. Certainly above bakfull.",""
18/10/1987 18:30,2.436,75.70,"2b","Digital Archive","",""
21/10/1987 08:30,1.441,29.30,"2b","Digital Archive","",""
27/12/1987 19:15,1.471,30.40,"2b","Digital Archive","",""
29/12/1987 15:00,1.518,32.20,"2b","Digital Archive","",""
02/01/1988 13:30,1.500,31.50,"2b","Digital Archive","",""
09/01/1988 17:00,1.396,27.60,"2b","Digital Archive","",""
24/01/1988 09:45,1.346,25.90,"2b","Digital Archive","",""
15/03/1988 18:30,1.520,32.20,"2b","Digital Archive","",""
02/09/1988 14:45,1.551,33.50,"2b","Digital Archive","",""
23/12/1988 09:30,1.353,26.10,"2b","Digital Archive","",""
24/12/1988 11:00,1.349,26.00,"2b","Digital Archive","",""
27/12/1988 00:15,1.596,35.20,"2b","Digital Archive","",""
14/01/1989 04:15,1.384,27.20,"2b","Digital Archive","",""
10/03/1989 03:00,2.272,66.70,"2b","Digital Archive","Extrapolated flow. Certainly above bakfull.",""
15/07/1990 02:30,0.723,8.24,"2b","Digital Archive","","AMAX ONLY"
03/10/1990 09:45,1.476,30.60,"2b","Digital Archive","",""
23/12/1990 09:30,1.351,26.00,"2b","Digital Archive","",""
25/12/1990 11:30,1.403,27.90,"2b","Digital Archive","",""
02/01/1991 01:45,1.566,34.00,"2b","Digital Archive","",""
08/10/1991 02:30,1.406,28.00,"2b","Digital Archive","",""
06/01/1992 01:00,1.670,38.30,"2b","Digital Archive","",""
13/09/1992 05:30,1.422,28.60,"2b","Digital Archive","",""
23/11/1992 18:00,1.337,25.50,"2b","Digital Archive","",""
02/12/1992 17:30,2.059,55.90,"2b","Digital Archive","",""
18/12/1992 15:30,1.706,39.80,"2b","Digital Archive","",""
22/01/1993 05:45,1.363,26.40,"2b","Digital Archive","",""
17/05/1993 05:15,1.551,33.50,"2b","Digital Archive","",""
31/05/1993 00:15,1.402,27.80,"2b","Digital Archive","",""
04/12/1993 12:30,1.338,25.60,"2b","Digital Archive","",""
19/12/1993 04:30,1.577,34.50,"2b","Digital Archive","",""
23/12/1993 01:30,1.332,25.40,"2b","Digital Archive","",""
28/02/1994 03:45,1.335,25.50,"2b","Digital Archive","",""
01/04/1994 07:00,1.722,40.40,"2b","Digital Archive","",""
14/11/1994 07:15,1.681,38.70,"2b","Digital Archive","",""
08/12/1994 11:45,1.425,28.70,"2b","Digital Archive","",""
28/12/1994 23:45,1.787,43.20,"2b","Digital Archive","",""
01/02/1995 01:00,1.937,49.80,"3b","Digital Archive","",""
19/02/1995 04:00,1.400,27.80,"3b","Digital Archive","",""
22/02/1995 18:00,1.359,26.30,"3b","Digital Archive","",""
03/10/1995 22:15,1.295,24.10,"3b","Digital Archive","","AMAX ONLY"
27/10/1996 12:45,1.528,29.60,"4b","Digital Archive","",""
29/10/1996 00:30,1.670,34.40,"4b","Digital Archive","",""
04/02/1997 11:45,1.417,25.90,"4b","Digital Archive","",""
10/02/1997 14:45,1.399,25.40,"4b","Digital Archive","",""
18/02/1997 01:00,1.841,40.60,"4b","Digital Archive","",""
19/02/1997 23:00,1.763,37.80,"4b","Digital Archive","",""
03/09/1997 21:00,1.793,38.90,"4b","Digital Archive","",""
18/11/1997 11:30,1.748,37.20,"4b","Digital Archive","",""
29/11/1997 18:15,1.505,28.80,"4b","Digital Archive","",""
01/01/1998 22:30,1.455,27.20,"4b","Digital Archive","",""
09/01/1998 02:15,1.414,25.80,"4b","Digital Archive","",""
04/03/1998 04:45,1.504,28.80,"4b","Digital Archive","",""
06/03/1998 23:45,1.692,35.20,"4b","Digital Archive","",""
11/09/1998 05:30,1.463,27.40,"4b","Digital Archive","",""
21/10/1998 08:00,1.764,37.80,"4b","Digital Archive","",""
24/10/1998 19:00,1.406,25.60,"4b","Digital Archive","",""
06/01/1999 10:00,1.836,40.40,"4b","Digital Archive","",""
16/01/1999 02:30,1.545,30.10,"4b","Digital Archive","",""
02/03/1999 17:30,1.565,30.80,"4b","Digital Archive","",""
21/04/1999 18:45,1.585,31.50,"4b","Digital Archive","",""
30/09/1999 03:00,1.506,28.80,"4b","Digital Archive","",""
02/10/1999 03:45,1.445,26.80,"4b","Digital Archive","",""
05/11/1999 20:30,1.842,40.70,"4b","Digital Archive","",""
24/12/1999 22:45,1.426,26.20,"4b","Digital Archive","",""
12/01/2000 13:00,2.046,50.00,"5c","Digital Archive","",""
27/02/2000 21:15,1.727,37.40,"5c","Digital Archive","",""
27/09/2000 23:45,1.674,35.50,"5c","Digital Archive","",""
25/10/2000 10:30,1.376,25.20,"5c","Digital Archive","",""
27/10/2000 15:30,1.628,33.80,"5c","Digital Archive","",""
30/10/2000 08:00,1.574,31.90,"5c","Digital Archive","",""
06/11/2000 18:00,1.799,40.10,"5c","Digital Archive","",""
26/11/2000 06:00,1.485,28.80,"5c","Digital Archive","",""
05/12/2000 14:45,1.925,45.10,"5c","Digital Archive","",""
08/12/2000 13:30,1.611,33.20,"5c","Digital Archive","",""
12/12/2000 23:45,1.861,42.50,"5c","Digital Archive","",""
12/02/2001 07:45,1.454,27.70,"5c","Digital Archive","",""
01/10/2001 04:45,1.500,29.30,"5c","Digital Archive","",""
29/11/2001 12:00,1.464,28.10,"5c","Digital Archive","",""
26/01/2002 11:45,1.433,27.00,"5c","Digital Archive","",""
02/02/2002 01:30,1.807,40.40,"5c","Digital Archive","",""
04/02/2002 22:45,1.496,29.20,"5c","Digital Archive","",""
11/02/2002 05:30,1.517,29.90,"5c","Digital Archive","",""
26/02/2002 09:45,1.570,31.70,"5c","Digital Archive","",""
09/11/2002 00:45,1.702,36.50,"5c","Digital Archive","",""
30/12/2002 00:30,1.400,26.00,"5c","Digital Archive","",""
09/03/2003 00:00,1.456,27.80,"5c","Digital Archive","",""
04/05/2003 06:15,1.458,27.90,"5c","Digital Archive","",""
22/05/2003 17:30,1.380,25.30,"5c","Digital Archive","",""
26/12/2003 20:30,1.563,31.50,"5c","Digital Archive","",""
31/01/2004 22:45,1.509,29.60,"5c","Digital Archive","",""
03/02/2004 18:30,2.166,55.00,"5c","Digital Archive","",""
13/09/2004 06:30,1.725,37.30,"5c","Digital Archive","",""
04/10/2004 10:45,1.592,32.50,"5c","Digital Archive","",""
23/10/2004 01:30,2.073,51.10,"5c","Digital Archive","",""
08/01/2005 05:45,2.263,59.30,"5c","Digital Archive","",""
18/04/2005 15:15,1.618,33.40,"5c","Digital Archive","",""
12/10/2005 00:30,1.863,42.60,"5c","Digital Archive","",""
24/10/2005 18:45,1.531,30.40,"5c","Digital Archive","",""
04/11/2005 02:00,2.199,56.50,"5c","Digital Archive","",""
08/11/2005 16:00,2.069,50.90,"5c","Digital Archive","",""
28/03/2006 04:30,1.565,31.50,"5c","Digital Archive","",""
02/09/2006 21:00,1.385,25.50,"5c","Digital Archive","",""
20/11/2006 08:45,1.468,28.20,"5c","Digital Archive","",""
03/12/2006 10:30,1.623,33.60,"5c","Digital Archive","",""
05/12/2006 09:45,1.447,27.50,"5c","Digital Archive","",""
11/12/2006 10:45,1.954,46.20,"5c","Digital Archive","",""
15/12/2006 06:00,1.792,39.90,"5c","Digital Archive","",""
30/12/2006 05:00,1.629,33.80,"5c","Digital Archive","",""
08/01/2007 03:45,1.462,28.00,"5c","Digital Archive","",""
06/03/2007 08:00,1.901,44.10,"5c","Digital Archive","",""
25/06/2007 22:30,1.659,34.90,"5c","Digital Archive","",""
21/09/2007 17:15,1.399,25.90,"5c","Digital Archive","",""
24/09/2007 22:15,1.457,27.80,"5c","Digital Archive","",""
06/12/2007 21:45,1.422,26.70,"5c","Digital Archive","",""
