"NAME:","Conwy at Cwmlanerch"
"NUMBER:","66011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
07/12/1964 00:00,3.715,283.70,"1c","Digital Archive","",""
08/12/1964 00:00,4.485,388.26,"1c","Digital Archive","",""
12/12/1964 00:00,4.271,357.89,"1c","Digital Archive","",""
10/01/1965 00:00,3.711,283.20,"1c","Digital Archive","",""
08/12/1965 00:00,4.171,344.05,"1c","Digital Archive","",""
17/12/1965 00:00,3.971,317.01,"1c","Digital Archive","",""
22/02/1967 00:00,3.777,291.63,"1c","Digital Archive","",""
27/02/1967 00:00,4.427,379.93,"1c","Digital Archive","",""
16/10/1967 00:00,3.737,286.51,"1c","Digital Archive","",""
22/12/1967 00:00,3.657,276.37,"1c","Digital Archive","",""
13/01/1968 00:00,3.847,300.69,"1c","Digital Archive","",""
23/03/1968 00:00,4.067,329.88,"1c","Digital Archive","",""
20/01/1969 00:00,2.947,192.90,"1c","Digital Archive","","AMAX ONLY"
12/11/1969 00:00,3.650,275.49,"1c","Digital Archive","",""
21/02/1970 21:15,3.799,294.47,"1c","Digital Archive","",""
22/04/1970 21:00,4.109,335.57,"1c","Digital Archive","",""
12/02/1971 19:15,4.078,331.36,"1c","Digital Archive","",""
19/01/1972 05:00,3.420,247.18,"1c","Digital Archive","","AMAX ONLY"
09/11/1972 23:15,4.052,327.85,"1c","Digital Archive","",""
12/11/1972 23:30,3.713,283.45,"1c","Digital Archive","",""
01/12/1972 13:15,4.130,338.43,"1c","Digital Archive","",""
05/12/1972 14:00,3.561,264.39,"1c","Digital Archive","",""
12/12/1972 02:15,3.578,266.49,"1c","Digital Archive","",""
16/07/1973 14:45,3.928,311.31,"1c","Digital Archive","",""
02/02/1974 15:30,3.911,309.07,"1c","Digital Archive","",""
11/11/1974 03:15,4.360,370.40,"1c","Digital Archive","",""
22/12/1974 07:45,3.720,284.34,"1c","Digital Archive","",""
01/12/1975 15:45,3.668,277.75,"1c","Digital Archive","",""
01/01/1976 22:15,4.000,320.87,"1c","Digital Archive","",""
02/01/1976 18:00,4.572,400.88,"1c","Digital Archive","",""
15/10/1976 08:15,3.490,255.67,"1c","Digital Archive","","AMAX ONLY"
04/10/1977 06:45,3.775,291.38,"1c","Digital Archive","",""
31/10/1977 07:00,3.625,272.35,"1c","Digital Archive","",""
01/02/1978 20:30,3.601,269.35,"1c","Digital Archive","",""
09/03/1979 00:30,4.046,327.04,"1c","Digital Archive","",""
05/12/1979 04:30,3.927,311.18,"1c","Digital Archive","",""
27/12/1979 11:30,3.769,290.61,"1c","Digital Archive","",""
06/10/1980 20:00,4.179,345.14,"1c","Digital Archive","",""
27/10/1980 16:30,4.554,398.26,"1c","Digital Archive","",""
14/11/1980 17:15,3.792,312.00,"2b","Digital Archive","",""
17/11/1980 09:15,4.047,348.00,"2b","Digital Archive","",""
22/11/1980 03:30,4.613,433.00,"2b","Digital Archive","",""
11/12/1980 04:15,4.446,407.00,"2b","Digital Archive","",""
03/02/1981 02:15,4.495,415.00,"2b","Digital Archive","",""
07/03/1981 12:15,3.887,325.00,"2b","Digital Archive","",""
10/03/1981 16:45,3.815,315.00,"2b","Digital Archive","",""
19/09/1981 23:00,3.855,320.00,"3b","Digital Archive","",""
01/10/1981 08:15,3.486,269.00,"3b","Digital Archive","",""
08/10/1981 05:45,3.452,265.00,"3b","Digital Archive","",""
10/10/1981 00:00,4.015,343.00,"3b","Digital Archive","",""
02/11/1981 04:00,3.646,291.00,"3b","Digital Archive","",""
18/11/1981 11:15,4.153,364.00,"3b","Digital Archive","",""
27/11/1981 02:15,4.210,372.00,"3b","Digital Archive","",""
02/03/1982 23:15,3.717,301.00,"3b","Digital Archive","",""
09/03/1982 23:45,3.532,276.00,"3b","Digital Archive","",""
15/03/1982 00:45,4.226,374.00,"3b","Digital Archive","",""
18/08/1982 04:30,4.058,350.00,"3b","Digital Archive","",""
12/11/1982 05:45,3.925,327.00,"4b","Digital Archive","",""
22/11/1982 23:45,3.670,292.00,"4b","Digital Archive","",""
15/12/1982 20:15,3.562,277.00,"4b","Digital Archive","",""
19/12/1982 12:15,4.389,394.00,"4b","Digital Archive","",""
04/01/1983 06:30,3.592,281.19,"5b","Digital Archive","",""
06/01/1983 08:30,3.551,275.71,"5b","Digital Archive","",""
28/01/1983 13:45,3.972,333.40,"5b","Digital Archive","",""
31/01/1983 17:15,3.902,323.58,"5b","Digital Archive","",""
03/09/1983 05:30,4.455,403.42,"5b","Digital Archive","",""
10/10/1983 02:00,3.583,279.98,"5b","Digital Archive","",""
09/12/1983 02:00,4.025,340.89,"5b","Digital Archive","",""
24/12/1983 13:30,3.676,292.50,"5b","Digital Archive","",""
11/01/1984 13:00,3.560,276.91,"5b","Digital Archive","",""
13/01/1984 01:45,4.043,343.44,"5b","Digital Archive","",""
16/01/1984 15:00,3.707,296.71,"5b","Digital Archive","",""
22/10/1984 09:00,3.480,309.94,"6a","Digital Archive","",""
11/04/1985 11:45,3.226,268.93,"6a","Digital Archive","",""
15/08/1985 22:30,3.219,267.83,"6a","Digital Archive","",""
06/10/1985 13:00,3.474,308.94,"6a","Digital Archive","",""
13/12/1985 08:00,3.399,296.62,"6a","Digital Archive","",""
10/01/1986 09:15,3.600,330.07,"6a","Digital Archive","",""
19/01/1986 04:15,3.265,275.08,"6a","Digital Archive","",""
22/01/1986 13:00,3.248,272.39,"6a","Digital Archive","",""
25/08/1986 23:30,3.537,319.44,"7b","Digital Archive","",""
04/01/1987 15:15,3.761,352.14,"8a","Digital Archive","",""
27/03/1987 05:45,4.008,395.88,"8a","Digital Archive","",""
17/10/1987 03:45,3.473,303.66,"8a","Digital Archive","",""
18/10/1987 17:00,4.046,402.79,"8a","Digital Archive","",""
27/12/1987 16:15,3.708,343.01,"8a","Digital Archive","",""
