"NAME:","Gowy at Bridge Trafford"
"NUMBER:","68020"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/12/1979 15:15,1.825,17.73,"2c","Digital Archive","Non-independent peak removed A","AMAX ONLY"
11/12/1979 20:15,1.212,9.98,"2c","Digital Archive","Non-independent peak removed BNon-independent peak removed A",""
14/12/1979 11:30,1.804,17.44,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
27/12/1979 17:00,1.819,17.65,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
30/12/1979 05:00,1.049,8.08,"2b","Digital Archive","",""
03/01/1980 20:00,1.618,14.97,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
31/01/1980 19:45,1.521,13.73,"2c","Digital Archive","",""
05/02/1980 02:45,1.536,13.92,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
07/02/1980 07:30,1.557,14.19,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
23/02/1980 00:45,1.136,9.09,"2b","Digital Archive","",""
26/02/1980 03:30,1.764,16.90,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
12/03/1980 16:15,1.246,10.37,"2c","Digital Archive","",""
18/03/1980 16:15,1.113,8.82,"2b","Digital Archive","",""
25/03/1980 02:15,1.151,9.26,"2b","Digital Archive","",""
29/03/1980 04:30,0.762,4.94,"2b","Digital Archive","",""
27/07/1980 02:00,0.763,4.95,"2b","Digital Archive","",""
27/10/1980 08:00,1.273,10.69,"2c","Digital Archive","",""
16/11/1980 02:00,1.187,9.68,"2b","Digital Archive","",""
21/12/1980 07:30,1.639,15.24,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
06/01/1981 22:30,1.226,10.14,"2c","Digital Archive","",""
14/01/1981 20:45,1.246,10.37,"2c","Digital Archive","",""
09/02/1981 21:00,1.799,17.37,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
12/03/1981 00:45,1.445,12.77,"2c","Digital Archive","",""
15/03/1981 01:00,0.760,4.92,"2b","Digital Archive","",""
22/03/1981 12:30,1.151,9.26,"2b","Digital Archive","Non-independent peak removed A",""
02/06/1981 15:15,1.343,11.53,"2c","Digital Archive","",""
07/08/1981 05:00,2.000,20.16,"2c","Digital Archive","Peak examined by eye and appears reasonable.",""
27/09/1981 00:15,0.919,6.63,"2b","Digital Archive","",""
20/10/1981 13:30,1.250,10.42,"2c","Digital Archive","",""
