"NAME:","Bollin at Dunham Massey"
"NUMBER:","69006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/11/1936 00:00,2.720,35.74,"4a","CEH","",""
17/11/1936 18:00,2.713,35.62,"4a","Mfiche","",""
08/12/1936 23:00,2.256,28.29,"4a","Mfiche","",""
14/12/1936 03:00,2.819,37.39,"4a","Mfiche","",""
06/01/1937 06:00,2.972,39.96,"4a","Mfiche","",""
18/01/1937 02:00,2.865,38.16,"4a","Mfiche","",""
17/04/1937 08:00,2.880,38.41,"4a","Mfiche","",""
16/07/1937 12:00,2.134,26.41,"4a","Mfiche","",""
13/12/1937 03:00,1.661,19.49,"4a","Mfiche","",""
09/01/1938 00:00,2.010,24.55,"4a","CEH","",""
11/07/1938 12:00,2.530,32.63,"4a","Mfiche","",""
13/10/1938 19:00,2.423,30.92,"4a","Mfiche","",""
26/11/1938 22:00,3.155,43.11,"4a","Mfiche","",""
05/12/1938 00:00,2.120,26.21,"4a","CEH","",""
01/01/1939 20:00,2.621,34.11,"4a","Mfiche","",""
07/01/1939 22:00,3.307,45.79,"4a","Mfiche","",""
28/02/1939 19:00,2.256,28.29,"4a","Mfiche","",""
30/07/1939 12:00,2.637,34.36,"4a","Mfiche","",""
19/11/1939 14:00,2.256,28.29,"4a","Mfiche","",""
26/11/1939 16:00,2.377,30.20,"4a","Mfiche","",""
29/11/1939 17:00,2.286,28.76,"4a","Mfiche","",""
08/12/1939 21:00,2.164,26.88,"4a","Mfiche","",""
07/02/1940 23:00,2.423,30.92,"4a","Mfiche","",""
26/03/1940 10:00,2.560,33.12,"4a","Mfiche","",""
12/11/1940 21:00,2.743,36.12,"4a","Mfiche","",""
17/11/1940 04:00,3.170,43.38,"4a","Mfiche","",""
22/11/1940 17:00,2.850,37.90,"4a","Mfiche","",""
09/02/1941 04:00,2.652,34.61,"4a","Mfiche","",""
26/03/1941 00:00,2.560,33.12,"4a","CEH","",""
18/10/1941 23:00,2.210,27.58,"4a","Mfiche","",""
24/01/1942 11:00,2.286,28.76,"4a","Mfiche","",""
04/02/1942 09:00,2.880,38.41,"4a","Mfiche","",""
18/10/1942 12:00,2.957,39.71,"4a","Mfiche","",""
22/10/1942 15:00,2.804,37.14,"4a","Mfiche","",""
11/12/1942 23:00,2.987,40.22,"4a","Mfiche","",""
01/01/1943 23:00,3.139,42.85,"4a","Mfiche","",""
22/01/1943 03:00,2.438,31.16,"4a","Mfiche","",""
25/01/1943 00:00,2.377,30.20,"4a","Mfiche","",""
31/01/1943 20:00,2.362,29.96,"4a","Mfiche","",""
07/02/1943 11:00,2.164,26.88,"4a","Mfiche","",""
30/11/1943 15:30,1.844,22.10,"4a","Mfiche","",""
10/01/1944 10:00,2.774,36.63,"4a","Mfiche","",""
12/01/1944 20:00,3.216,44.18,"4a","Mfiche","",""
23/01/1944 00:00,3.210,44.08,"4a","CEH","",""
26/11/1944 18:00,2.195,27.35,"4a","Mfiche","",""
28/11/1944 16:00,2.408,30.68,"4a","Mfiche","",""
