"NAME:","Bradshaw Brook at Bradshaw Tennis Club"
"NUMBER:","69046"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
10/10/2000 13:00,0.995,22.00,"RC2.v1a","Digital Archive","",""
30/10/2000 07:45,1.087,28.40,"RC2.v1a","Digital Archive","",""
26/11/2000 08:00,0.843,13.30,"RC2.v1a","Digital Archive","",""
11/02/2001 20:45,0.888,15.70,"RC2.v1a","Digital Archive","",""
07/04/2001 18:15,0.843,13.30,"RC2.v1a","Digital Archive","",""
17/05/2001 17:00,0.836,13.00,"RC2.v1a","Digital Archive","",""
09/10/2001 00:45,0.852,13.80,"RC2.v1a","Digital Archive","",""
29/11/2001 09:45,0.803,11.40,"RC2.v1a","Digital Archive","",""
08/02/2002 19:45,0.825,12.50,"RC2.v1a","Digital Archive","",""
11/02/2002 01:30,0.949,19.20,"RC2.v1a","Digital Archive","",""
19/02/2002 21:30,1.072,27.30,"RC2.v1a","Digital Archive","",""
21/02/2002 20:15,0.838,13.10,"RC2.v1a","Digital Archive","",""
26/02/2002 08:45,0.970,20.40,"RC2.v1a","Digital Archive","",""
14/06/2002 18:15,1.405,56.80,"RC2.v1a","Digital Archive","",""
02/08/2002 07:15,0.955,19.50,"RC2.v1a","Digital Archive","",""
02/11/2002 23:15,0.829,12.70,"RC2.v1a","Digital Archive","",""
06/11/2002 08:15,0.846,13.50,"RC2.v1a","Digital Archive","",""
08/11/2002 16:30,0.963,20.00,"RC2.v1a","Digital Archive","",""
02/12/2002 20:00,0.857,14.10,"RC2.v1a","Digital Archive","",""
29/12/2002 21:00,0.932,18.20,"RC2.v1a","Digital Archive","",""
08/03/2003 20:15,0.906,16.70,"RC2.v1a","Digital Archive","",""
22/05/2003 11:30,0.870,14.70,"RC2.v1a","Digital Archive","",""
19/01/2004 13:45,0.823,12.40,"RC2.v1a","Digital Archive","",""
31/01/2004 10:15,0.968,20.30,"RC2.v1a","Digital Archive","",""
04/02/2004 17:15,1.040,25.00,"RC2.v1a","Digital Archive","",""
20/08/2004 08:45,0.948,19.10,"RC2.v1a","Digital Archive","",""
25/08/2004 11:00,0.875,15.00,"RC2.v1a","Digital Archive","",""
23/10/2004 01:45,0.959,19.80,"RC2.v1a","Digital Archive","",""
17/11/2004 05:15,0.838,13.10,"RC2.v1a","Digital Archive","",""
12/02/2005 05:30,1.009,22.90,"RC2.v1a","Digital Archive","",""
11/12/2006 08:15,0.945,18.90,"RC2.v1a","Digital Archive","",""
18/01/2007 07:45,1.029,24.30,"RC2.v1a","Digital Archive","",""
04/03/2007 19:45,0.832,12.80,"RC2.v1a","Digital Archive","",""
03/07/2007 10:15,0.826,12.50,"RC2.v1a","Digital Archive","",""
06/07/2007 05:00,0.931,18.10,"RC2.v1a","Digital Archive","",""
07/12/2007 02:30,0.848,13.60,"RC2.v1a","Digital Archive","",""
08/12/2007 18:30,0.938,18.50,"RC2.v1a","Digital Archive","",""
28/12/2007 22:30,0.814,11.90,"RC2.v1a","Digital Archive","",""
10/01/2008 01:45,0.986,21.50,"RC2.v1a","Digital Archive","",""
17/01/2008 15:00,0.832,12.80,"RC2.v1a","Digital Archive","",""
21/01/2008 11:15,1.152,33.40,"RC2.v1a","Digital Archive","",""
