"NAME:","Lune at Kirkby Lonsdale"
"NUMBER:","72006"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/11/1968 00:00,2.340,305.90,"2b","Mfiche","",""
21/01/1969 05:45,1.935,224.97,"2b","Mfiche","",""
11/10/1969 05:30,1.790,197.58,"2b","Mfiche","",""
11/11/1969 07:30,1.885,215.43,"2b","Mfiche","",""
18/02/1970 12:30,2.430,324.69,"2b","Mfiche","",""
21/02/1970 12:00,2.220,281.28,"2b","Mfiche","",""
22/04/1970 00:00,3.070,465.84,"2b","FSR","",""
10/09/1970 06:00,1.990,235.59,"2b","Mfiche","",""
16/09/1970 23:00,2.232,283.72,"2b","Mfiche","",""
25/10/1970 04:00,1.825,204.11,"2b","Mfiche","",""
30/10/1970 02:20,1.950,227.86,"2b","Mfiche","",""
31/10/1970 09:30,2.150,267.16,"2b","Mfiche","",""
23/11/1970 14:00,2.182,273.60,"2b","Mfiche","",""
12/02/1971 09:00,2.270,291.48,"2b","Mfiche","",""
13/08/1971 03:30,2.300,297.63,"2b","Mfiche","",""
29/08/1971 20:30,2.110,259.18,"2b","Mfiche","",""
17/10/1971 15:30,1.950,227.86,"2b","Mfiche","",""
19/10/1971 01:00,2.142,265.56,"2b","Mfiche","",""
17/11/1971 16:30,1.760,192.02,"2b","Mfiche","",""
18/01/1972 02:50,2.268,291.07,"2b","Mfiche","",""
30/03/1972 21:00,1.771,194.05,"2b","Mfiche","",""
02/04/1972 00:35,2.050,247.32,"2b","Mfiche","",""
02/06/1972 01:00,1.900,218.28,"2b","Mfiche","",""
04/07/1972 12:00,1.865,211.64,"2b","Mfiche","",""
06/08/1972 09:00,1.812,201.68,"2b","Mfiche","",""
09/11/1972 06:20,3.320,524.25,"2b","CEH","Replaces the value extracted from Microfiche",""
01/12/1972 02:00,2.600,360.93,"2b","Mfiche","",""
05/12/1972 03:00,1.740,188.34,"2b","Mfiche","",""
11/12/1972 16:30,2.388,315.88,"2b","Mfiche","",""
26/01/1973 15:00,1.868,212.21,"2b","Mfiche","",""
02/03/1973 22:30,1.970,231.72,"2b","Mfiche","",""
04/04/1973 15:45,2.240,285.35,"2b","Mfiche","",""
31/07/1973 18:00,2.378,313.80,"2b","Mfiche","",""
10/11/1973 11:00,2.330,303.83,"2b","Mfiche","",""
13/11/1973 06:00,1.870,212.58,"2b","Mfiche","",""
12/12/1973 08:00,1.730,186.51,"2b","Mfiche","",""
15/12/1973 14:00,1.730,186.51,"2b","Mfiche","",""
28/12/1973 20:00,1.830,205.05,"2b","Mfiche","",""
14/01/1974 20:00,1.685,178.31,"2b","Mfiche","",""
02/02/1974 09:00,1.795,198.51,"2b","Mfiche","",""
14/02/1974 08:00,1.770,193.87,"2b","Mfiche","",""
07/09/1974 17:00,2.090,255.21,"2b","Mfiche","",""
18/10/1974 19:00,1.680,177.40,"2b","Mfiche","",""
10/11/1974 04:30,2.820,409.21,"2b","Mfiche","",""
13/11/1974 21:00,1.815,202.24,"2b","Mfiche","",""
25/11/1974 03:30,2.100,257.19,"2b","Mfiche","",""
16/12/1974 12:00,1.670,175.59,"2b","Mfiche","",""
22/12/1974 08:30,2.628,366.99,"2b","Mfiche","",""
25/12/1974 18:00,2.105,258.19,"2b","Mfiche","",""
29/12/1974 06:00,2.140,265.16,"2b","Mfiche","",""
11/01/1975 09:00,1.687,178.67,"2b","Mfiche","",""
20/01/1975 04:00,1.942,226.32,"2b","Mfiche","",""
22/01/1975 02:30,3.294,518.10,"2b","Mfiche","",""
25/01/1975 12:30,2.466,332.28,"2b","Mfiche","",""
30/01/1975 06:30,1.892,216.76,"2b","Mfiche","",""
31/01/1975 13:30,1.740,188.34,"2b","Mfiche","",""
17/02/1975 12:30,1.773,194.42,"2b","Mfiche","",""
22/07/1975 23:30,2.670,376.13,"2b","Mfiche","",""
25/09/1975 02:00,3.210,498.34,"2b","Mfiche","",""
27/09/1975 17:00,2.170,271.18,"2b","Mfiche","",""
05/10/1975 20:00,1.662,174.15,"2b","Mfiche","",""
01/12/1975 21:00,1.783,196.28,"2b","Mfiche","",""
02/01/1976 20:00,3.316,523.30,"2b","Mfiche","",""
10/01/1976 19:00,1.733,187.06,"2b","Mfiche","",""
20/01/1976 11:30,1.700,181.03,"2b","Mfiche","",""
12/02/1976 15:00,1.664,174.51,"2b","Digital Archive","",""
24/02/1976 03:00,1.753,190.73,"2b","Digital Archive","",""
03/04/1976 22:45,1.623,167.16,"2b","Digital Archive","",""
28/11/1976 08:00,1.710,182.85,"2b","Digital Archive","",""
