"NAME:","Wenning at Hornby"
"NUMBER:","72807"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
17/09/1957 00:00,1.730,208.84,"2b","CEH","",""
29/10/1957 00:00,1.570,169.78,"2b","CEH","",""
07/12/1957 00:00,1.600,176.80,"2b","CEH","",""
08/01/1958 00:00,1.320,116.78,"2b","CEH","",""
22/01/1958 00:00,1.190,93.64,"2a","Not specified","Annual Maxima below POT threshold",""
15/02/1958 00:00,2.060,285.72,"2c","CEH","",""
30/09/1958 00:00,1.500,153.95,"2b","CEH","",""
22/01/1959 00:00,1.190,93.64,"2a","EA","","AMAX ONLY"
26/10/1959 00:00,1.680,196.20,"2b","CEH","",""
25/11/1959 00:00,1.320,116.78,"2b","CEH","",""
27/12/1959 00:00,1.800,227.19,"2b","CEH","",""
30/01/1960 00:00,1.270,170.80,"2a","CEH","",""
06/07/1960 00:00,1.450,143.11,"2b","CEH","",""
02/11/1960 00:00,1.750,214.01,"2b","CEH","",""
04/12/1960 00:00,1.450,143.11,"2b","CEH","",""
04/05/1961 00:00,1.400,132.67,"2b","CEH","",""
03/08/1961 00:00,1.570,169.78,"2b","CEH","",""
31/10/1961 00:00,1.520,158.39,"2b","CEH","",""
30/11/1961 00:00,1.470,147.40,"2b","CEH","",""
11/12/1961 00:00,1.370,126.59,"2b","CEH","",""
15/01/1962 00:00,1.350,122.62,"2b","CEH","",""
12/02/1962 00:00,1.600,176.80,"2b","CEH","",""
03/04/1962 00:00,1.750,214.01,"2b","CEH","",""
23/08/1962 00:00,1.830,235.29,"2b","CEH","",""
29/09/1962 00:00,1.260,105.50,"2a","CEH","",""
25/09/1963 00:00,1.550,165.18,"2b","CEH","",""
03/10/1963 00:00,1.520,158.39,"2b","CEH","",""
21/11/1963 00:00,1.800,227.19,"2b","CEH","",""
08/12/1964 02:00,1.890,251.85,"2b","Mfiche","",""
12/12/1964 09:00,1.920,260.51,"2b","Mfiche","",""
10/01/1965 01:00,1.661,191.54,"2b","Mfiche","",""
25/11/1965 12:00,1.402,133.10,"2b","Mfiche","",""
03/12/1965 13:00,1.463,145.90,"2b","Mfiche","",""
08/12/1965 23:00,1.737,210.74,"2b","Mfiche","",""
17/12/1965 01:00,1.920,260.51,"2b","Mfiche","",""
05/02/1966 11:00,1.417,136.24,"2b","Mfiche","",""
23/02/1966 15:00,1.737,210.74,"2b","Mfiche","",""
26/06/1966 05:00,1.417,136.24,"2b","Mfiche","",""
29/11/1966 22:00,1.311,114.98,"2b","Mfiche","",""
01/12/1966 21:00,1.463,145.90,"2b","Mfiche","",""
19/12/1966 12:30,1.478,149.19,"2b","Mfiche","",""
22/02/1967 01:00,1.524,159.29,"2b","Mfiche","",""
27/02/1967 00:00,2.012,279.23,"2c","Mfiche","",""
04/08/1967 16:30,1.554,166.20,"2b","Mfiche","",""
08/08/1967 00:00,3.120,470.60,"2d","CEH","Water level surveyed in hut after event. Collapse of Meal Bank Bridge upstream may have increased peak.",""
01/10/1967 01:00,1.631,184.12,"2b","Mfiche","",""
03/10/1967 17:00,1.326,117.91,"2b","Mfiche","",""
09/10/1967 18:00,1.408,134.35,"2b","Mfiche","",""
13/10/1967 16:00,1.402,133.10,"2b","Mfiche","",""
16/10/1967 04:00,1.814,230.84,"2b","Mfiche","",""
19/03/1968 21:30,1.417,136.24,"2b","Mfiche","",""
23/03/1968 19:00,1.737,210.74,"2b","Mfiche","",""
01/04/1968 14:00,1.646,187.81,"2b","Mfiche","",""
02/07/1968 08:00,1.433,139.42,"2b","Mfiche","",""
31/10/1968 00:00,1.478,149.19,"2b","Mfiche","",""
20/01/1969 00:00,1.260,105.50,"2a","CEH","",""
31/03/1969 17:00,1.341,120.87,"2b","Mfiche","",""
11/02/1970 22:00,1.417,136.24,"2b","Mfiche","",""
19/02/1970 00:00,1.400,132.67,"2b","CEH","",""
22/04/1970 22:30,1.631,184.12,"2b","Mfiche","",""
10/09/1970 19:30,1.326,117.91,"2b","Mfiche","",""
30/10/1970 16:00,1.341,120.87,"2b","Mfiche","",""
17/11/1970 22:00,1.676,195.31,"2b","Mfiche","",""
05/02/1971 15:00,1.417,136.24,"2b","Mfiche","",""
12/02/1971 00:00,1.420,136.80,"2b","CEH","",""
30/08/1971 10:00,1.783,222.69,"2b","Mfiche","",""
16/10/1971 12:30,1.326,117.91,"2b","Mfiche","",""
18/11/1971 03:00,1.326,117.91,"2b","Mfiche","",""
18/01/1972 07:00,1.326,117.91,"2b","Mfiche","",""
01/02/1972 16:00,1.554,166.20,"2b","Mfiche","",""
09/11/1972 20:00,2.149,299.35,"2d","Mfiche","",""
01/12/1972 00:00,1.520,158.39,"2b","Not specified","",""
12/12/1972 00:00,1.402,133.10,"2b","Mfiche","",""
08/11/1973 04:00,1.417,136.24,"2b","Mfiche","",""
07/01/1974 10:00,1.539,162.73,"2b","Mfiche","",""
08/01/1974 12:00,1.509,155.89,"2b","Mfiche","",""
02/02/1974 22:00,1.341,120.87,"2b","Mfiche","",""
11/11/1974 09:00,1.509,155.89,"2b","Mfiche","",""
22/01/1975 14:00,1.890,251.85,"2b","Mfiche","",""
01/12/1975 01:00,1.356,123.87,"2b","Mfiche","",""
02/01/1976 20:00,1.737,210.74,"2b","Mfiche","",""
21/04/1977 00:00,1.250,103.77,"2a","Not specified","Annual Maxima below POT threshold",""
03/10/1977 07:00,1.326,117.91,"2b","Mfiche","",""
23/11/1977 17:00,1.387,129.99,"2b","Mfiche","",""
02/01/1978 07:30,1.326,117.91,"2b","Mfiche","",""
28/09/1978 00:00,1.380,128.60,"2b","Mfiche","",""
14/11/1978 19:00,1.540,162.90,"2b","Mfiche","",""
23/11/1978 22:00,1.340,120.66,"2b","Mfiche","",""
07/01/1979 13:00,1.320,116.78,"2b","Mfiche","",""
08/03/1979 00:00,1.700,201.21,"2b","Mfiche","",""
25/11/1979 15:00,1.540,162.90,"2b","Mfiche","",""
04/12/1979 00:00,1.460,145.25,"2b","Mfiche","",""
26/12/1979 00:00,1.650,188.81,"2b","Not specified","Pen stuck, assumed at peak.",""
23/01/1980 09:00,1.380,128.60,"2b","Mfiche","",""
06/10/1980 20:00,1.450,143.11,"2b","Mfiche","",""
23/10/1980 22:00,1.860,243.53,"2b","Mfiche","",""
27/10/1980 09:00,2.080,288.34,"2c","Mfiche","Pen stuck, assumed at peak.",""
14/11/1980 16:00,1.720,206.28,"2b","Mfiche","",""
17/11/1980 09:00,1.460,145.25,"2b","Mfiche","",""
21/11/1980 04:00,1.950,269.10,"2b","Mfiche","",""
10/12/1980 04:00,1.970,273.26,"2c","Mfiche","",""
17/12/1980 11:30,1.430,138.89,"2b","Mfiche","",""
02/02/1981 23:00,1.750,214.01,"2b","Mfiche","",""
07/03/1981 12:00,1.780,221.87,"2b","Mfiche","",""
21/03/1981 22:00,1.480,149.57,"2b","Mfiche","",""
23/03/1981 22:00,1.460,145.25,"2b","Mfiche","",""
19/09/1981 00:00,1.720,206.28,"2b","CEH","",""
26/09/1981 00:00,1.320,116.78,"2b","CEH","",""
01/10/1981 00:00,1.530,160.64,"2b","CEH","",""
26/11/1981 00:00,1.420,136.80,"2b","CEH","",""
02/01/1982 00:00,1.960,269.50,"2b","CEH","",""
14/03/1982 00:00,1.350,122.62,"2b","CEH","",""
17/08/1982 00:00,1.380,128.60,"2b","CEH","",""
11/11/1982 00:00,1.340,120.66,"2b","CEH","",""
07/12/1982 00:00,1.380,128.60,"2b","CEH","",""
19/12/1982 00:00,1.700,201.21,"2b","CEH","",""
06/01/1983 00:00,1.360,124.60,"2b","CEH","",""
28/01/1983 00:00,1.350,122.62,"2b","CEH","",""
31/01/1983 00:00,1.370,126.59,"2b","CEH","",""
09/10/1983 00:00,1.500,153.95,"2b","CEH","",""
08/12/1983 00:00,1.610,179.17,"2b","CEH","",""
02/01/1984 00:00,1.650,188.81,"2b","CEH","",""
03/09/1984 00:00,1.350,122.62,"2b","CEH","",""
03/11/1984 00:00,1.600,176.80,"2b","CEH","",""
05/10/1990 13:15,1.203,95.80,"2a","Digital Archive","",""
06/10/1990 19:15,1.281,109.39,"2b","Digital Archive","",""
17/11/1990 00:00,1.128,83.63,"2a","Digital Archive","",""
26/12/1990 13:00,1.312,115.24,"2b","Digital Archive","",""
28/12/1990 16:30,1.245,102.91,"2a","Digital Archive","",""
01/01/1991 23:15,1.750,214.01,"2b","Digital Archive","Peak examined by eye and appears reasonable.",""
23/02/1991 01:00,1.702,201.72,"2b","Digital Archive","Peak examined by eye and appears reasonable.",""
04/03/1991 22:30,1.557,166.78,"2b","Digital Archive","",""
02/04/1991 13:15,1.355,123.61,"2b","Digital Archive","Non-independent peak removed B",""
31/10/1991 19:00,1.238,101.71,"2a","Digital Archive","",""
07/11/1991 04:45,1.200,95.30,"2a","Digital Archive","Non-independent peak removed A",""
10/11/1991 23:45,1.774,220.29,"2b","Digital Archive","Peak examined by eye and appears reasonable.",""
21/12/1991 12:45,1.411,134.93,"2b","Digital Archive","Non-independent peak removed A",""
05/01/1992 16:00,1.455,144.18,"2b","Digital Archive","",""
22/02/1992 16:30,1.133,84.42,"2a","Digital Archive","",""
12/03/1992 07:30,1.136,84.89,"2a","Digital Archive","",""
21/03/1992 06:45,1.228,100.01,"2a","Digital Archive","",""
30/04/1992 19:45,1.243,102.57,"2a","Digital Archive","",""
12/05/1992 06:30,1.317,116.20,"2b","Digital Archive","",""
02/12/1992 00:45,1.519,158.17,"2b","Digital Archive","Non-independent peak removed A",""
18/12/1992 12:15,1.342,121.05,"2b","Digital Archive","",""
10/01/1993 15:30,1.264,106.20,"2a","Digital Archive","",""
08/12/1993 17:45,1.190,93.64,"2a","Digital Archive","",""
19/12/1993 02:45,1.508,155.72,"2b","Digital Archive","",""
03/01/1994 17:30,1.212,97.30,"2a","Digital Archive","",""
18/01/1994 20:30,1.131,84.10,"2a","Digital Archive","",""
23/01/1994 04:30,1.131,84.10,"2a","Digital Archive","",""
25/01/1994 06:00,1.233,100.86,"2a","Digital Archive","",""
23/03/1994 21:00,1.468,146.97,"2b","Digital Archive","",""
01/04/1994 03:00,1.338,120.26,"2b","Digital Archive","",""
14/11/1994 06:30,1.350,122.62,"2b","Digital Archive","",""
28/12/1994 18:30,1.366,125.79,"2b","Digital Archive","",""
21/01/1995 18:00,1.161,88.90,"2a","Digital Archive","",""
31/01/1995 13:15,2.780,407.38,"2d","Survey","Surveyed level. Recorded level too low as equipment stuck at the well table. See photo.",""
11/02/1995 20:00,1.509,155.94,"2b","Digital Archive","",""
19/02/1995 00:45,1.490,151.75,"2b","Digital Archive","",""
22/02/1995 15:45,1.615,180.36,"2b","Digital Archive","Peak examined by eye and appears reasonable.",""
01/03/1995 02:15,1.304,113.72,"2b","Digital Archive","",""
12/02/1996 05:15,1.297,112.39,"2b","Digital Archive","",""
29/09/1996 05:15,1.363,125.19,"2b","Digital Archive","",""
06/11/1996 02:00,1.516,157.50,"2b","Digital Archive","",""
04/02/1997 09:00,1.473,148.05,"2b","Digital Archive","",""
10/02/1997 12:30,1.136,84.89,"2a","Digital Archive","",""
12/02/1997 12:45,1.332,119.10,"2b","Digital Archive","",""
17/02/1997 20:00,1.480,149.57,"2b","Digital Archive","",""
19/02/1997 19:15,1.575,170.94,"2b","Digital Archive","",""
28/02/1997 09:15,1.179,91.83,"2a","Digital Archive","",""
02/03/1997 05:30,1.197,94.80,"2a","Digital Archive","",""
05/05/1997 10:00,1.764,217.70,"3b","Digital Archive","",""
10/12/1997 07:30,1.484,150.40,"3b","Digital Archive","",""
08/01/1998 22:45,1.472,147.80,"3b","Digital Archive","",""
06/03/1998 22:45,1.602,177.30,"3b","Digital Archive","",""
24/10/1998 14:45,1.588,174.00,"3b","Digital Archive","",""
27/10/1998 09:45,1.752,214.50,"3b","Digital Archive","",""
06/01/1999 07:30,1.453,143.80,"3b","Digital Archive","",""
02/03/1999 17:45,1.512,156.60,"3b","Digital Archive","",""
01/10/1999 21:15,1.630,184.00,"3b","Digital Archive","",""
03/12/1999 05:45,1.391,130.80,"3b","Digital Archive","",""
06/12/1999 13:30,1.814,231.00,"3b","Digital Archive","",""
17/12/1999 05:45,1.563,168.20,"3b","Digital Archive","",""
12/01/2000 03:15,1.588,174.00,"3b","Digital Archive","",""
03/03/2000 00:15,1.574,170.70,"3b","Digital Archive","",""
08/03/2000 05:15,1.498,153.50,"3b","Digital Archive","",""
04/06/2000 04:15,1.407,134.10,"3b","Digital Archive","",""
09/10/2000 16:30,1.586,173.50,"3b","Digital Archive","",""
30/10/2000 20:45,1.923,261.30,"3b","Digital Archive","",""
01/11/2000 14:15,1.538,162.40,"3b","Digital Archive","",""
08/12/2000 15:15,1.506,155.30,"3b","Digital Archive","",""
07/02/2001 10:00,1.416,136.00,"3b","Digital Archive","",""
11/02/2001 06:30,1.398,132.30,"3b","Digital Archive","",""
11/02/2002 00:30,1.761,216.90,"3b","Digital Archive","",""
22/02/2002 04:30,1.376,127.80,"3b","Digital Archive","",""
25/02/2002 15:30,1.463,145.90,"3b","Digital Archive","",""
02/08/2002 09:00,1.989,276.00,"3c","Digital Archive","",""
08/03/2003 21:00,1.316,116.00,"3b","Digital Archive","","AMAX ONLY"
31/01/2004 11:30,1.381,128.80,"3b","Digital Archive","",""
03/02/2004 10:30,1.684,197.20,"3b","Digital Archive","",""
04/02/2004 17:00,1.574,170.70,"3b","Digital Archive","",""
20/09/2004 04:00,1.458,144.80,"3b","Digital Archive","",""
23/10/2004 02:30,1.648,188.30,"3b","Digital Archive","",""
07/01/2005 19:45,2.190,301.40,"3c","Digital Archive","",""
12/02/2005 05:30,1.763,217.40,"3b","Digital Archive","",""
04/11/2005 01:30,1.426,138.00,"3b","Digital Archive","",""
28/03/2006 04:15,1.727,208.10,"3b","Digital Archive","",""
11/12/2006 05:15,1.824,233.70,"3b","Digital Archive","",""
14/12/2006 15:45,1.618,181.10,"3b","Digital Archive","",""
18/01/2007 09:15,1.398,132.30,"3b","Digital Archive","",""
08/12/2007 18:45,1.549,164.90,"3b","Digital Archive","",""
10/01/2008 02:30,1.597,176.10,"3b","Digital Archive","",""
21/01/2008 12:00,1.768,218.70,"3b","Digital Archive","",""
04/10/2008 19:15,1.655,190.00,"3b","Digital Archive","",""
26/10/2008 00:45,1.791,224.80,"3b","Digital Archive","",""
19/12/2008 18:45,1.417,136.20,"3b","Digital Archive","",""
12/01/2009 07:45,1.432,139.30,"3b","Digital Archive","",""
17/07/2009 21:15,1.394,131.40,"3b","Digital Archive","",""
01/11/2009 13:45,1.564,168.40,"3b","Digital Archive","",""
13/11/2009 23:15,1.403,133.30,"3b","Digital Archive","",""
18/11/2009 08:00,1.858,243.00,"3b","Digital Archive","",""
25/11/2009 00:15,1.451,143.30,"3b","Digital Archive","",""
16/01/2010 10:30,1.562,167.90,"3b","Digital Archive","",""
02/11/2010 21:45,1.434,139.70,"3b","Digital Archive","",""
04/11/2010 20:15,1.589,174.20,"3b","Digital Archive","",""
15/01/2011 20:00,1.743,212.20,"3b","Digital Archive","",""
06/09/2011 08:30,1.709,203.50,"3b","Digital Archive","",""
13/12/2011 03:15,1.379,128.40,"3b","Digital Archive","",""
04/01/2012 19:45,1.603,177.50,"3b","Digital Archive","",""
22/06/2012 17:15,1.837,237.20,"3b","Digital Archive","",""
05/07/2012 21:45,1.631,184.20,"3b","Digital Archive","",""
25/09/2012 23:30,1.454,144.00,"3b","Digital Archive","",""
30/12/2012 23:45,1.424,137.60,"3b","Digital Archive","",""
15/02/2014 09:45,1.289,111.00,"3b","Digital Archive","","AMAX ONLY"
01/01/2015 22:00,1.458,144.82,"3b","Digital Archive","",""
09/11/2015 16:15,1.729,208.59,"3b","Digital Archive","",""
11/11/2015 18:00,1.395,131.65,"3b","Digital Archive","",""
15/11/2015 02:45,1.769,218.97,"3b","Digital Archive","",""
18/11/2015 13:15,1.607,178.45,"3b","Digital Archive","",""
05/12/2015 11:30,2.452,331.54,"3d","Digital Archive","",""
10/12/2015 03:30,1.847,239.92,"3b","Digital Archive","",""
12/12/2015 16:30,1.461,145.43,"3b","Digital Archive","",""
20/12/2015 03:30,1.488,151.24,"3b","Digital Archive","",""
26/12/2015 16:30,1.757,215.70,"3b","Digital Archive","",""
