"NAME:","Kent at Burneside"
"NUMBER:","73003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
03/02/1981 03:00,2.096,51.14,"10c","Digital Archive","",""
08/03/1981 09:00,2.118,52.21,"10c","Digital Archive","",""
10/03/1981 18:00,2.331,63.18,"10c","Digital Archive","",""
22/03/1981 06:00,1.718,34.66,"10c","Digital Archive","",""
25/03/1981 06:00,1.735,35.32,"10c","Digital Archive","",""
20/09/1981 00:00,2.043,48.62,"10c","Digital Archive","",""
24/09/1981 00:00,2.325,62.86,"10c","Digital Archive","",""
26/09/1981 18:00,1.753,36.04,"10c","Digital Archive","",""
02/10/1981 00:00,1.860,40.44,"10c","Digital Archive","",""
09/10/1981 06:00,2.509,73.24,"10c","Digital Archive","",""
02/11/1981 06:00,1.764,36.48,"10c","Digital Archive","",""
23/11/1981 15:00,2.176,55.08,"10c","Digital Archive","",""
27/11/1981 03:00,2.046,48.76,"10c","Digital Archive","",""
03/01/1982 09:00,2.763,89.01,"10c","Digital Archive","",""
02/03/1982 23:45,1.685,33.38,"10c","Digital Archive","",""
10/03/1982 00:00,1.717,34.61,"10c","Digital Archive","",""
12/03/1982 06:30,1.824,38.93,"10c","Digital Archive","",""
12/11/1982 07:15,1.646,31.91,"10c","Digital Archive","",""
21/11/1982 13:30,1.986,45.98,"10c","Digital Archive","",""
19/12/1982 13:15,2.319,62.53,"10c","Digital Archive","",""
03/01/1983 04:45,1.991,46.21,"10c","Digital Archive","",""
28/01/1983 20:45,1.562,28.86,"10c","Digital Archive","",""
03/03/1983 15:15,1.539,28.06,"10c","Digital Archive","",""
08/10/1983 19:15,1.539,28.06,"10c","Digital Archive","",""
12/10/1983 12:30,2.107,51.67,"10c","Digital Archive","",""
16/10/1983 15:30,1.891,41.77,"10c","Digital Archive","",""
09/12/1983 12:15,2.020,47.54,"10c","Digital Archive","",""
24/12/1983 14:15,1.544,28.23,"10c","Digital Archive","",""
13/01/1984 08:45,2.223,57.47,"10c","Digital Archive","",""
04/02/1984 22:45,1.516,27.27,"10c","Digital Archive","",""
19/10/1984 13:00,1.526,27.61,"10c","Digital Archive","",""
22/10/1984 10:00,1.914,42.77,"10c","Digital Archive","",""
03/11/1984 19:00,1.685,33.38,"10c","Digital Archive","",""
12/11/1984 07:45,1.478,25.98,"10c","Digital Archive","",""
27/11/1984 22:30,1.699,33.92,"10c","Digital Archive","",""
17/07/1985 23:00,2.223,57.47,"10c","Digital Archive","",""
15/08/1985 22:45,1.996,46.44,"10c","Digital Archive","",""
