"NAME:","Irt at Galesyke"
"NUMBER:","74002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
01/04/1968 00:00,0.970,10.89,"9b","FSR","",""
02/10/1968 00:00,1.790,31.84,"9b","FSR","",""
01/11/1968 00:00,0.930,10.05,"9b","FSR","",""
22/01/1969 10:00,1.250,17.30,"9b","Mfiche","",""
11/09/1969 00:00,0.920,9.84,"9b","FSR","",""
04/11/1969 00:00,0.980,11.11,"9b","FSR","",""
22/02/1970 06:00,1.150,14.91,"9b","Mfiche","",""
17/04/1970 08:00,1.050,12.63,"9b","Mfiche","",""
23/04/1970 14:00,1.400,21.07,"9b","Mfiche","",""
18/09/1970 00:00,0.920,9.84,"9b","FSR","",""
25/10/1970 21:00,1.200,16.09,"9b","Mfiche","",""
28/10/1970 00:00,1.130,14.45,"9b","FSR","",""
29/10/1970 00:00,0.940,10.26,"9b","FSR","",""
31/10/1970 00:30,1.210,16.33,"9b","Mfiche","",""
24/11/1970 00:00,0.990,11.32,"9b","FSR","",""
03/09/1971 00:00,0.920,9.84,"9b","FSR","",""
03/04/1972 09:00,1.360,20.05,"9b","Mfiche","",""
30/11/1972 09:00,1.000,11.54,"9b","Mfiche","",""
05/04/1973 05:00,1.100,13.76,"9b","Mfiche","",""
16/12/1973 09:00,1.130,14.45,"9b","Mfiche","",""
18/01/1974 07:00,1.100,13.76,"9b","Mfiche","",""
08/09/1974 01:00,1.050,12.63,"9b","Mfiche","",""
09/11/1974 00:00,0.960,10.68,"9b","FSR","",""
10/11/1974 00:00,0.900,9.43,"9b","FSR","",""
29/12/1974 00:00,1.020,11.97,"9b","FSR","",""
22/01/1975 00:00,1.180,15.62,"9b","FSR","",""
25/01/1975 00:00,0.930,10.05,"9b","FSR","",""
27/01/1975 00:00,1.120,14.22,"9b","FSR","",""
31/01/1975 00:00,0.950,10.47,"9b","FSR","",""
21/04/1975 00:00,1.520,24.25,"9b","FSR","",""
22/07/1975 00:00,1.360,20.05,"9b","FSR","",""
04/10/1975 00:00,1.070,13.08,"9b","FSR","",""
02/12/1975 18:45,0.753,6.59,"9b","Digital Archive","","AMAX ONLY"
06/01/1976 22:30,0.955,10.57,"9b","Digital Archive","",""
11/01/1976 16:00,1.044,12.50,"9b","Digital Archive","",""
23/01/1976 01:00,0.797,7.41,"9b","Digital Archive","",""
13/02/1976 03:15,0.786,7.20,"9b","Digital Archive","",""
26/03/1976 08:15,0.749,6.51,"9b","Digital Archive","",""
15/04/1976 01:45,0.866,8.75,"9b","Digital Archive","",""
23/09/1976 10:30,0.735,6.26,"9b","Digital Archive","",""
15/10/1976 07:15,0.736,6.28,"9b","Digital Archive","",""
28/11/1976 10:00,1.024,12.06,"9b","Digital Archive","",""
03/02/1977 20:00,0.908,9.60,"9b","Digital Archive","",""
07/02/1977 22:45,0.927,9.99,"9b","Digital Archive","",""
22/04/1977 17:45,0.998,11.49,"9b","Digital Archive","",""
05/08/1977 15:45,0.768,6.86,"9b","Digital Archive","",""
05/09/1977 03:45,0.906,9.56,"9b","Digital Archive","",""
11/09/1977 21:30,0.945,10.36,"9b","Digital Archive","",""
04/10/1977 14:30,1.226,16.72,"9b","Digital Archive","",""
24/10/1977 16:00,1.453,22.46,"9b","Digital Archive","Peak examined by eye; very noisy.",""
31/10/1977 16:15,1.289,18.26,"9b","Digital Archive","",""
14/12/1977 17:30,0.753,6.59,"9b","Digital Archive","",""
24/12/1977 16:00,0.902,9.47,"9b","Digital Archive","",""
15/03/1978 11:30,1.133,14.52,"9b","Digital Archive","",""
20/03/1978 02:45,0.819,7.83,"9b","Digital Archive","",""
15/08/1978 08:00,1.236,16.96,"9b","Digital Archive","",""
11/09/1978 15:30,1.087,13.46,"9b","Digital Archive","",""
14/09/1978 04:30,1.110,13.99,"9b","Digital Archive","",""
29/09/1978 20:00,1.184,15.71,"9b","Digital Archive","",""
19/11/1978 09:30,1.348,19.74,"9b","Digital Archive","",""
24/11/1978 09:00,1.029,12.17,"9b","Digital Archive","",""
29/12/1978 07:45,0.787,7.22,"9b","Digital Archive","",""
07/01/1979 20:00,1.202,16.14,"9b","Digital Archive","",""
03/03/1979 15:30,0.837,8.18,"9b","Digital Archive","",""
11/03/1979 18:45,0.865,8.73,"9b","Digital Archive","",""
07/08/1979 23:00,0.842,8.27,"9b","Digital Archive","",""
15/08/1979 06:30,0.948,10.43,"9b","Digital Archive","",""
03/09/1979 20:45,0.851,8.45,"9b","Digital Archive","",""
26/09/1979 19:00,1.008,11.71,"9b","Digital Archive","",""
19/10/1979 22:00,0.827,7.98,"9b","Digital Archive","",""
04/11/1979 06:30,1.108,13.94,"9b","Digital Archive","",""
26/11/1979 14:30,1.057,12.79,"9b","Digital Archive","",""
03/12/1979 06:15,0.829,8.02,"9b","Digital Archive","",""
10/12/1979 08:30,0.999,11.51,"9b","Digital Archive","",""
27/12/1979 20:30,0.898,9.39,"9b","Digital Archive","",""
04/01/1980 12:15,0.885,9.13,"9b","Digital Archive","",""
10/02/1980 04:30,0.828,8.00,"9b","Digital Archive","",""
15/02/1980 21:15,0.810,7.65,"9b","Digital Archive","",""
12/03/1980 19:30,0.787,7.22,"9b","Digital Archive","",""
20/07/1980 12:45,0.776,7.01,"9b","Digital Archive","",""
15/08/1980 08:15,0.867,8.77,"9b","Digital Archive","",""
21/08/1980 04:30,0.875,8.93,"9b","Digital Archive","",""
12/09/1980 04:45,1.274,17.89,"9b","Digital Archive","",""
08/10/1980 22:00,0.902,9.47,"9b","Digital Archive","",""
24/10/1980 18:15,1.508,23.92,"9b","Digital Archive","Peak examined by eye; very noisy.",""
27/10/1980 19:45,1.508,23.92,"9b","Digital Archive","Peak examined by eye; very noisy.",""
22/11/1980 08:45,1.429,21.83,"9b","Digital Archive","",""
13/12/1980 14:45,1.240,17.06,"9b","Digital Archive","",""
17/12/1980 15:45,1.371,20.33,"9b","Digital Archive","",""
23/12/1980 17:00,0.904,9.52,"9b","Digital Archive","",""
03/01/1981 02:45,1.610,26.71,"9b","Digital Archive","Peak examined by eye and appears reasonable.",""
14/01/1981 21:15,0.990,11.32,"9b","Digital Archive","",""
03/02/1981 20:00,0.800,7.46,"9b","Digital Archive","",""
11/03/1981 03:45,1.108,13.94,"9b","Digital Archive","",""
25/03/1981 13:30,0.924,9.93,"9b","Digital Archive","",""
14/06/1981 14:45,0.935,10.16,"9b","Digital Archive","",""
23/07/1981 06:45,0.930,10.05,"9b","Digital Archive","",""
20/08/1981 09:45,0.978,11.06,"9b","Digital Archive","",""
27/09/1981 20:30,1.085,13.42,"9b","Digital Archive","",""
10/10/1981 05:30,1.156,15.05,"9b","Digital Archive","",""
04/11/1981 05:15,0.782,7.12,"9b","Digital Archive","",""
11/11/1981 23:15,0.851,8.45,"9b","Digital Archive","",""
23/11/1981 22:45,0.994,11.41,"9b","Digital Archive","",""
27/11/1981 10:00,1.134,14.54,"9b","Digital Archive","",""
04/01/1982 10:30,1.786,31.73,"9b","Digital Archive","Peak examined by eye; very noisy.",""
30/01/1982 10:45,0.801,7.48,"9b","Digital Archive","",""
10/02/1982 20:30,1.054,12.72,"9b","Digital Archive","",""
10/03/1982 17:30,0.948,10.43,"9b","Digital Archive","",""
24/08/1982 22:15,1.031,12.21,"9b","Digital Archive","",""
30/08/1982 18:00,0.893,9.29,"9b","Digital Archive","",""
29/09/1982 02:15,0.848,8.39,"9b","Digital Archive","",""
02/10/1982 10:15,0.847,8.37,"9b","Digital Archive","",""
20/10/1982 17:45,1.149,14.89,"9b","Digital Archive","",""
01/11/1982 21:00,0.929,10.03,"9b","Digital Archive","",""
12/11/1982 21:30,0.867,8.77,"9b","Digital Archive","",""
16/11/1982 13:00,1.044,12.50,"9b","Digital Archive","",""
25/11/1982 16:15,0.898,9.39,"9b","Digital Archive","",""
15/12/1982 22:30,1.360,20.05,"9b","Digital Archive","",""
19/12/1982 20:00,1.026,12.10,"9b","Digital Archive","",""
06/01/1983 12:15,0.976,11.02,"9b","Digital Archive","",""
15/01/1983 23:00,0.861,8.65,"9b","Digital Archive","",""
29/01/1983 03:15,0.922,9.89,"9b","Digital Archive","",""
03/03/1983 18:15,1.197,16.02,"9b","Digital Archive","",""
19/03/1983 10:30,0.999,11.51,"9b","Digital Archive","",""
18/09/1983 11:15,0.853,8.49,"9b","Digital Archive","",""
10/10/1983 02:45,1.182,15.67,"9b","Digital Archive","",""
12/10/1983 17:45,1.179,15.59,"9b","Digital Archive","",""
09/12/1983 14:45,0.808,7.62,"9b","Digital Archive","",""
14/12/1983 20:45,0.799,7.44,"9b","Digital Archive","",""
27/12/1983 15:00,0.787,7.22,"9b","Digital Archive","",""
11/01/1984 14:30,1.121,14.24,"9b","Digital Archive","",""
05/02/1984 01:00,0.847,8.37,"9b","Digital Archive","",""
23/10/1984 01:30,1.404,21.18,"9b","Digital Archive","",""
04/11/1984 05:45,1.146,14.82,"9b","Digital Archive","",""
13/11/1984 00:30,0.883,9.09,"9b","Digital Archive","",""
