"NAME:","Ehen at Bleach Green"
"NUMBER:","74003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/08/1973 09:00,1.200,23.22,"1b","Mfiche","",""
15/12/1973 02:00,1.140,20.82,"1b","Mfiche","",""
02/02/1974 12:30,1.120,20.05,"1b","Mfiche","",""
07/09/1974 09:00,1.150,21.21,"1b","Mfiche","",""
09/11/1974 07:00,1.100,19.30,"1b","Mfiche","",""
28/12/1974 03:30,1.140,20.82,"1b","Mfiche","",""
21/01/1975 19:00,1.440,34.07,"1b","Mfiche","",""
26/01/1975 01:30,1.320,28.39,"1b","Mfiche","",""
21/04/1975 09:30,1.360,30.23,"1b","Mfiche","",""
24/09/1975 23:00,1.210,23.63,"1b","Mfiche","",""
14/04/1976 10:45,0.986,15.26,"1b","Digital Archive","",""
26/11/1976 21:45,1.309,27.90,"1b","Digital Archive","",""
28/11/1976 06:30,1.064,17.97,"1b","Digital Archive","",""
03/02/1977 12:00,1.404,32.31,"1b","Digital Archive","",""
07/02/1977 11:15,0.925,13.29,"1b","Digital Archive","",""
22/04/1977 14:15,0.902,12.59,"1b","Digital Archive","",""
05/08/1977 06:30,0.925,13.29,"1b","Digital Archive","",""
04/09/1977 19:30,1.312,28.03,"1b","Digital Archive","",""
04/10/1977 02:30,1.314,28.12,"1b","Digital Archive","",""
24/10/1977 12:00,1.730,49.88,"1b","Digital Archive","Peak examined by eye and appears reasonable.",""
31/10/1977 09:15,1.559,40.20,"1b","Digital Archive","Peak examined by eye and appears reasonable.",""
24/12/1977 05:45,1.108,19.60,"1b","Digital Archive","",""
14/03/1978 14:45,1.118,19.98,"1b","Digital Archive","",""
19/03/1978 20:15,1.018,16.35,"1b","Digital Archive","",""
15/08/1978 02:30,1.333,28.98,"1b","Digital Archive","",""
11/09/1978 05:30,1.080,18.56,"1b","Digital Archive","",""
14/09/1978 01:15,1.023,16.52,"1b","Digital Archive","",""
29/09/1978 01:15,1.103,19.41,"1b","Digital Archive","",""
15/11/1978 19:30,1.087,18.81,"1b","Digital Archive","",""
18/11/1978 04:00,1.465,35.32,"1b","Digital Archive","",""
24/11/1978 01:45,1.004,15.87,"1b","Digital Archive","",""
07/01/1979 15:30,1.139,20.78,"1b","Digital Archive","",""
09/03/1979 04:30,1.074,18.34,"1b","Digital Archive","",""
07/08/1979 15:00,1.024,16.56,"1b","Digital Archive","",""
14/08/1979 17:15,0.954,14.21,"1b","Digital Archive","",""
25/09/1979 22:15,0.922,13.20,"1b","Digital Archive","",""
19/10/1979 14:00,1.001,15.77,"1b","Digital Archive","",""
04/11/1979 01:00,1.215,23.84,"1b","Digital Archive","",""
26/11/1979 11:15,1.353,29.90,"1b","Digital Archive","",""
08/12/1979 07:45,0.898,12.46,"1b","Digital Archive","",""
10/12/1979 10:00,0.990,15.40,"1b","Digital Archive","",""
27/12/1979 14:00,1.322,28.48,"1b","Digital Archive","",""
04/01/1980 06:00,1.088,18.85,"1b","Digital Archive","",""
12/09/1980 03:00,1.371,30.74,"1b","Digital Archive","",""
06/10/1980 21:30,1.144,20.98,"1b","Digital Archive","",""
23/10/1980 23:00,1.449,34.52,"1b","Digital Archive","",""
27/10/1980 15:15,1.294,27.23,"1b","Digital Archive","",""
14/11/1980 17:30,1.179,22.37,"1b","Digital Archive","",""
22/11/1980 02:45,1.539,39.14,"1b","Digital Archive","Peak examined by eye and appears reasonable.",""
11/12/1980 05:30,1.401,32.17,"1b","Digital Archive","",""
13/12/1980 11:15,1.258,25.65,"1b","Digital Archive","",""
17/12/1980 12:00,1.286,26.87,"1b","Digital Archive","",""
03/01/1981 01:15,1.105,19.49,"1b","Digital Archive","",""
03/02/1981 04:00,0.964,14.54,"1b","Digital Archive","",""
10/03/1981 21:15,1.077,18.45,"1b","Digital Archive","",""
09/06/1981 05:30,0.935,13.61,"1b","Digital Archive","",""
24/09/1981 04:30,0.924,13.26,"1b","Digital Archive","",""
27/09/1981 16:15,1.131,20.48,"1b","Digital Archive","",""
02/10/1981 09:15,0.939,13.73,"1b","Digital Archive","",""
09/10/1981 14:15,1.151,21.25,"1b","Digital Archive","",""
23/11/1981 18:00,0.950,14.08,"1b","Digital Archive","",""
27/11/1981 05:00,1.304,27.67,"1b","Digital Archive","",""
04/01/1982 06:00,1.578,41.23,"1b","Digital Archive","Peak examined by eye and appears reasonable.",""
09/02/1982 04:45,0.989,15.36,"1b","Digital Archive","",""
10/02/1982 12:45,1.279,26.57,"1b","Digital Archive","",""
10/03/1982 02:30,1.378,31.07,"1b","Digital Archive","",""
29/08/1982 14:00,1.037,17.01,"1b","Digital Archive","",""
02/10/1982 04:15,0.935,13.61,"1b","Digital Archive","",""
20/10/1982 14:00,1.159,21.57,"1b","Digital Archive","",""
01/11/1982 17:00,1.067,18.08,"1b","Digital Archive","",""
12/11/1982 18:15,0.936,13.64,"1b","Digital Archive","",""
16/11/1982 08:15,1.062,17.90,"1b","Digital Archive","",""
24/11/1982 00:00,1.001,15.77,"1b","Digital Archive","",""
15/12/1982 17:30,1.276,26.43,"1b","Digital Archive","",""
19/12/1982 14:45,1.307,27.81,"1b","Digital Archive","",""
01/01/1983 14:00,1.116,19.90,"1b","Digital Archive","",""
03/01/1983 07:15,0.899,12.49,"1b","Digital Archive","",""
06/01/1983 11:30,0.925,13.29,"1b","Digital Archive","",""
28/01/1983 21:15,1.082,18.63,"1b","Digital Archive","",""
03/03/1983 13:30,1.455,34.82,"1b","Digital Archive","",""
19/03/1983 06:15,0.920,13.14,"1b","Digital Archive","",""
07/10/1983 06:15,0.930,13.45,"1b","Digital Archive","",""
10/10/1983 01:15,1.088,18.85,"1b","Digital Archive","",""
12/10/1983 13:45,1.286,26.87,"1b","Digital Archive","",""
15/10/1983 17:30,0.910,12.83,"1b","Digital Archive","",""
14/12/1983 17:00,0.933,13.54,"1b","Digital Archive","",""
11/01/1984 10:00,1.113,19.79,"1b","Digital Archive","",""
13/01/1984 10:00,0.977,14.96,"1b","Digital Archive","",""
22/10/1984 22:00,1.399,32.07,"1b","Digital Archive","",""
30/10/1984 00:00,0.986,15.26,"1b","Digital Archive","",""
03/11/1984 21:45,1.205,23.42,"1b","Digital Archive","",""
12/11/1984 15:30,0.976,14.93,"1b","Digital Archive","",""
28/11/1984 01:00,0.963,14.50,"1b","Digital Archive","",""
23/12/1984 12:15,1.149,21.17,"1b","Digital Archive","",""
11/04/1985 17:00,0.921,13.17,"1b","Digital Archive","",""
12/07/1985 20:30,0.994,15.53,"1b","Digital Archive","",""
17/07/1985 22:45,1.228,24.38,"1b","Digital Archive","",""
15/08/1985 22:15,1.401,32.17,"1b","Digital Archive","",""
19/08/1985 12:15,0.924,13.26,"1b","Digital Archive","",""
24/08/1985 05:45,1.133,20.55,"1b","Digital Archive","",""
28/08/1985 06:15,0.987,15.30,"1b","Digital Archive","",""
19/09/1985 07:30,1.327,28.71,"1b","Digital Archive","",""
22/09/1985 02:30,0.912,12.89,"1b","Digital Archive","",""
23/09/1985 13:15,0.976,14.93,"1b","Digital Archive","",""
09/11/1985 08:15,1.014,16.21,"1b","Digital Archive","",""
01/12/1985 17:00,1.296,27.32,"1b","Digital Archive","",""
13/12/1985 03:15,1.279,26.57,"1b","Digital Archive","",""
22/12/1985 09:15,0.958,14.34,"1b","Digital Archive","",""
22/01/1986 17:00,1.185,22.61,"1b","Digital Archive","",""
23/03/1986 02:30,1.238,24.80,"1b","Digital Archive","",""
26/05/1986 09:00,0.930,13.45,"1b","Digital Archive","",""
09/06/1986 15:30,0.898,12.46,"1b","Digital Archive","",""
27/10/1986 13:30,1.330,28.84,"1b","Digital Archive","",""
09/11/1986 22:00,1.118,19.98,"1b","Digital Archive","",""
25/11/1986 16:30,1.292,27.14,"1b","Digital Archive","",""
03/12/1986 21:45,1.148,21.14,"1b","Digital Archive","",""
05/12/1986 06:00,1.134,20.59,"1b","Digital Archive","",""
25/12/1986 07:30,1.006,15.94,"1b","Digital Archive","",""
30/12/1986 20:45,1.200,23.22,"1b","Digital Archive","",""
04/01/1987 15:30,1.152,21.29,"1b","Digital Archive","",""
27/03/1987 18:00,1.447,34.42,"1b","Digital Archive","",""
31/03/1987 23:30,0.915,12.98,"1b","Digital Archive","",""
