"NAME:","Esk at Cropple How"
"NUMBER:","74007"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
14/01/1975 12:30,1.720,70.65,"14c","Mfiche","",""
22/01/1975 10:00,1.900,84.68,"14c","Mfiche","",""
31/01/1975 07:00,1.890,83.89,"14c","Mfiche","",""
22/08/1975 22:30,2.100,100.89,"14c","Mfiche","",""
04/10/1975 17:30,1.650,65.35,"14c","Mfiche","",""
02/01/1976 17:15,1.404,47.49,"14c","Digital Archive","",""
05/01/1976 22:15,1.338,42.92,"14c","Digital Archive","",""
19/01/1976 19:30,1.429,49.24,"14c","Digital Archive","",""
26/11/1976 15:45,1.430,49.31,"14c","Digital Archive","",""
03/02/1977 07:00,1.733,71.65,"14c","Digital Archive","",""
04/09/1977 16:00,1.582,60.29,"14c","Digital Archive","",""
29/09/1977 22:30,1.442,50.16,"14c","Digital Archive","",""
03/10/1977 21:15,1.554,58.23,"14c","Digital Archive","",""
24/10/1977 08:30,1.799,76.74,"14c","Digital Archive","",""
31/10/1977 05:15,2.134,103.71,"14c","Digital Archive","",""
23/12/1977 06:15,1.626,63.55,"14c","Digital Archive","",""
08/03/1978 05:15,1.523,55.97,"14c","Digital Archive","",""
14/08/1978 15:15,1.587,60.66,"14c","Digital Archive","",""
09/09/1978 19:30,1.685,67.99,"14c","Digital Archive","",""
11/09/1978 03:15,1.562,58.82,"14c","Digital Archive","",""
13/09/1978 21:45,1.786,75.73,"14c","Digital Archive","",""
28/09/1978 23:45,1.894,84.21,"14c","Digital Archive","",""
18/11/1978 03:15,1.886,83.57,"14c","Digital Archive","",""
23/11/1978 19:15,1.855,81.12,"14c","Digital Archive","",""
27/12/1978 20:30,1.430,49.31,"14c","Digital Archive","",""
07/01/1979 04:30,2.049,96.70,"14c","Digital Archive","Non-independent peak removed A",""
07/08/1979 11:30,1.419,48.54,"14c","Digital Archive","",""
14/08/1979 12:30,1.800,76.82,"14c","Digital Archive","",""
03/11/1979 22:45,1.501,54.38,"14c","Digital Archive","Non-independent peak removed B",""
25/11/1979 09:45,1.440,50.02,"14c","Digital Archive","",""
02/12/1979 16:45,1.406,47.63,"14c","Digital Archive","",""
27/12/1979 08:00,2.153,105.29,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
04/01/1980 02:45,2.033,95.39,"14c","Digital Archive","",""
12/03/1980 01:45,1.450,50.73,"14c","Digital Archive","",""
12/09/1980 01:45,1.830,79.16,"14c","Digital Archive","",""
06/10/1980 17:30,1.925,86.67,"14c","Digital Archive","",""
23/10/1980 19:00,2.141,104.29,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
27/10/1980 11:15,2.104,101.22,"14c","Digital Archive","",""
14/11/1980 14:45,2.362,123.02,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
22/11/1980 01:00,1.746,72.64,"14c","Digital Archive","",""
11/12/1980 03:30,2.069,98.34,"14c","Digital Archive","",""
17/12/1980 06:15,2.089,99.99,"14c","Digital Archive","",""
02/01/1981 10:45,2.361,122.93,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
14/01/1981 09:30,1.879,83.02,"14c","Digital Archive","",""
07/03/1981 09:15,1.465,51.80,"14c","Digital Archive","",""
10/03/1981 15:00,1.519,55.68,"14c","Digital Archive","",""
24/03/1981 00:00,1.440,50.02,"14c","Digital Archive","",""
19/08/1981 21:00,1.840,79.94,"14c","Digital Archive","",""
20/09/1981 00:30,1.991,91.98,"14c","Digital Archive","",""
24/09/1981 00:45,1.447,50.52,"14c","Digital Archive","",""
27/09/1981 11:15,1.626,63.55,"14c","Digital Archive","",""
09/10/1981 02:15,2.019,94.25,"14c","Digital Archive","Non-independent peak removed A",""
23/11/1981 12:45,1.741,72.26,"14c","Digital Archive","",""
27/11/1981 01:45,1.972,90.45,"14c","Digital Archive","",""
03/01/1982 05:00,2.309,118.47,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
03/01/1982 22:00,2.038,95.80,"14c","Digital Archive","Non-independent peak removed A",""
09/03/1982 23:00,1.927,86.83,"14c","Digital Archive","",""
12/03/1982 06:15,1.501,54.38,"14c","Digital Archive","",""
18/08/1982 04:45,1.807,77.36,"14c","Digital Archive","",""
22/08/1982 08:30,1.399,47.14,"14c","Digital Archive","",""
24/08/1982 14:15,1.417,48.40,"14c","Digital Archive","",""
29/08/1982 11:30,1.486,53.30,"14c","Digital Archive","",""
02/10/1982 01:30,1.394,46.79,"14c","Digital Archive","",""
18/10/1982 08:30,1.496,54.02,"14c","Digital Archive","",""
19/10/1982 13:30,1.424,48.89,"14c","Digital Archive","",""
20/10/1982 11:30,1.754,73.26,"14c","Digital Archive","",""
12/11/1982 05:00,1.981,91.17,"14c","Digital Archive","",""
16/11/1982 04:00,1.718,70.50,"14c","Digital Archive","",""
18/11/1982 04:45,1.498,54.16,"14c","Digital Archive","",""
15/12/1982 17:15,1.807,77.36,"14c","Digital Archive","",""
19/12/1982 13:00,2.032,95.31,"14c","Digital Archive","",""
14/01/1983 07:30,1.434,49.60,"14c","Digital Archive","",""
03/03/1983 13:15,1.402,47.35,"14c","Digital Archive","",""
19/03/1983 01:45,1.404,47.49,"14c","Digital Archive","",""
02/07/1983 02:00,2.023,94.58,"14c","Digital Archive","",""
07/10/1983 00:15,1.649,65.28,"14c","Digital Archive","",""
09/10/1983 20:30,2.038,95.80,"14c","Digital Archive","",""
12/10/1983 10:45,2.094,100.40,"14c","Digital Archive","",""
15/10/1983 12:30,2.109,101.64,"14c","Digital Archive","",""
11/01/1984 07:00,1.475,52.51,"14c","Digital Archive","",""
13/06/1984 16:45,1.771,74.57,"14c","Digital Archive","",""
03/09/1984 22:00,1.503,54.52,"14c","Digital Archive","",""
22/10/1984 21:00,2.168,106.54,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
03/11/1984 17:45,1.501,54.38,"14c","Digital Archive","",""
23/12/1984 08:15,2.016,94.01,"14c","Digital Archive","",""
12/07/1985 00:00,1.422,48.75,"14c","Digital Archive","",""
17/07/1985 21:00,2.003,92.95,"14c","Digital Archive","",""
15/08/1985 20:30,1.889,83.81,"14c","Digital Archive","",""
24/08/1985 03:00,2.174,107.04,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
08/09/1985 00:45,1.812,77.75,"14c","Digital Archive","",""
09/11/1985 04:15,1.661,66.18,"14c","Digital Archive","",""
01/12/1985 15:30,1.861,81.60,"14c","Digital Archive","Non-independent peak removed B",""
13/12/1985 01:45,1.807,77.36,"14c","Digital Archive","",""
10/01/1986 10:15,1.440,50.02,"14c","Digital Archive","",""
23/03/1986 00:15,1.546,57.65,"14c","Digital Archive","",""
07/08/1986 04:00,1.891,83.97,"14c","Digital Archive","",""
27/10/1986 12:00,1.901,84.76,"14c","Digital Archive","Non-independent peak removed A",""
05/11/1986 12:45,1.659,66.03,"14c","Digital Archive","",""
24/11/1986 17:15,1.529,56.41,"14c","Digital Archive","",""
03/12/1986 18:15,1.832,79.32,"14c","Digital Archive","",""
25/12/1986 04:15,2.243,112.85,"14c","Digital Archive","",""
30/12/1986 15:15,1.483,53.09,"14c","Digital Archive","",""
04/01/1987 11:15,1.741,72.26,"14c","Digital Archive","",""
27/03/1987 03:15,1.940,87.87,"14c","Digital Archive","Non-independent peak removed BNon-independent peak removed A",""
11/07/1987 03:45,2.105,101.31,"14c","Digital Archive","",""
26/07/1987 23:00,1.523,55.97,"14c","Digital Archive","",""
13/08/1987 01:30,1.539,57.14,"14c","Digital Archive","",""
09/09/1987 20:30,1.718,70.50,"14c","Digital Archive","",""
18/10/1987 16:00,1.996,92.39,"14c","Digital Archive","",""
18/11/1987 20:00,1.623,63.33,"14c","Digital Archive","",""
27/12/1987 14:15,1.565,59.04,"14c","Digital Archive","",""
01/01/1988 19:45,1.845,80.34,"14c","Digital Archive","",""
09/01/1988 14:00,1.690,68.37,"14c","Digital Archive","",""
24/01/1988 10:45,1.830,79.16,"14c","Digital Archive","",""
14/08/1988 09:15,1.554,58.23,"14c","Digital Archive","",""
27/08/1988 06:15,1.488,53.44,"14c","Digital Archive","",""
31/08/1988 00:45,1.550,57.94,"14c","Digital Archive","",""
01/09/1988 14:00,1.493,53.80,"14c","Digital Archive","",""
26/10/1988 08:30,1.572,59.55,"14c","Digital Archive","",""
23/12/1988 06:15,2.213,110.32,"14c","Digital Archive","",""
05/01/1989 21:45,1.850,80.73,"14c","Digital Archive","",""
03/02/1989 10:45,1.570,59.41,"14c","Digital Archive","",""
09/03/1989 13:45,1.937,87.63,"14c","Digital Archive","",""
18/03/1989 18:15,1.537,56.99,"14c","Digital Archive","",""
30/03/1989 09:30,1.569,59.33,"14c","Digital Archive","",""
11/08/1989 05:30,1.468,52.01,"14c","Digital Archive","",""
13/08/1989 19:15,2.226,111.41,"14c","Digital Archive","",""
30/08/1989 17:15,1.980,91.09,"14c","Digital Archive","",""
15/10/1989 23:00,1.544,57.50,"14c","Digital Archive","",""
30/10/1989 01:15,1.700,69.13,"14c","Digital Archive","",""
24/12/1989 17:45,1.549,57.87,"14c","Digital Archive","",""
15/01/1990 04:15,2.164,106.21,"14c","Digital Archive","",""
19/02/1990 17:15,1.718,70.50,"14c","Digital Archive","",""
05/07/1990 03:45,2.161,105.96,"14c","Digital Archive","",""
19/09/1990 02:45,1.684,67.91,"14c","Digital Archive","",""
20/09/1990 20:15,1.493,53.80,"14c","Digital Archive","",""
03/10/1990 03:45,1.965,89.88,"14c","Digital Archive","",""
05/10/1990 12:15,1.569,59.33,"14c","Digital Archive","",""
22/12/1990 10:30,1.784,75.58,"14c","Digital Archive","",""
25/12/1990 10:45,1.480,52.87,"14c","Digital Archive","",""
26/12/1990 14:00,1.460,51.44,"14c","Digital Archive","",""
01/01/1991 19:30,1.906,85.16,"14c","Digital Archive","",""
04/03/1991 22:00,1.621,63.18,"14c","Digital Archive","",""
18/03/1991 22:15,1.746,72.64,"14c","Digital Archive","",""
01/04/1991 17:30,1.654,65.65,"14c","Digital Archive","",""
09/08/1991 08:00,1.524,56.04,"14c","Digital Archive","",""
16/10/1991 08:30,2.243,112.85,"14c","Digital Archive","",""
31/10/1991 15:30,1.560,58.67,"14c","Digital Archive","",""
06/11/1991 17:45,1.442,50.16,"14c","Digital Archive","",""
07/11/1991 14:30,1.559,58.60,"14c","Digital Archive","",""
10/11/1991 19:45,1.503,54.52,"14c","Digital Archive","",""
19/12/1991 04:45,1.853,80.97,"14c","Digital Archive","",""
21/12/1991 13:15,2.252,113.61,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
22/12/1991 06:30,2.150,105.04,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
23/12/1991 11:00,1.944,88.19,"14c","Digital Archive","Peak examined by eye and appears reasonable.",""
22/02/1992 16:30,1.856,81.20,"14c","Digital Archive","",""
03/03/1992 06:15,1.583,60.36,"14c","Digital Archive","",""
12/03/1992 06:00,1.455,51.09,"14c","Digital Archive","",""
30/04/1992 17:00,1.973,90.53,"14c","Digital Archive","",""
06/09/1992 21:15,1.572,59.55,"14c","Digital Archive","",""
18/12/1992 10:45,1.715,70.27,"14c","Digital Archive","",""
28/01/1993 04:15,1.453,50.94,"14c","Digital Archive","Non-independent peak removed A",""
18/04/1993 19:45,1.621,63.18,"14c","Digital Archive","Non-independent peak removed B",""
17/05/1993 01:30,1.792,76.20,"14c","Digital Archive","",""
31/05/1993 07:45,1.937,87.63,"14c","Digital Archive","",""
09/11/1993 17:00,1.649,65.28,"14c","Digital Archive","",""
06/12/1993 23:00,1.376,45.54,"14c","Digital Archive","",""
19/12/1993 02:30,1.916,85.96,"14c","Digital Archive","",""
18/01/1994 18:45,1.748,72.80,"14c","Digital Archive","",""
25/01/1994 05:45,1.580,60.14,"14c","Digital Archive","",""
01/02/1994 13:30,1.440,50.02,"14c","Digital Archive","",""
08/03/1994 12:00,1.531,56.55,"14c","Digital Archive","",""
21/06/1994 10:15,1.440,50.02,"14c","Digital Archive","",""
03/08/1994 19:30,1.866,81.99,"14c","Digital Archive","",""
13/11/1994 14:00,1.786,75.73,"14c","Digital Archive","",""
08/12/1994 08:15,1.842,80.10,"14c","Digital Archive","",""
28/12/1994 10:30,1.973,90.53,"14c","Digital Archive","Non-independent peak removed A",""
10/01/1995 18:30,1.643,64.83,"14c","Digital Archive","",""
31/01/1995 15:45,2.111,101.80,"14c","Digital Archive","",""
11/02/1995 19:15,1.850,80.73,"14c","Digital Archive","",""
19/06/1995 23:30,1.481,52.94,"14c","Digital Archive","",""
03/10/1995 07:30,1.562,58.82,"14c","Digital Archive","Non-independent peak removed A",""
06/10/1995 11:45,1.424,48.89,"14c","Digital Archive","",""
29/05/1996 01:45,2.073,98.67,"14c","Digital Archive","",""
29/09/1996 00:45,2.040,95.96,"14c","Digital Archive","",""
27/10/1996 06:30,1.537,56.99,"14c","Digital Archive","",""
06/11/1996 00:15,1.597,61.40,"14c","Digital Archive","",""
04/02/1997 09:15,2.023,94.58,"14c","Digital Archive","Non-independent peak removed B",""
17/02/1997 18:15,2.040,95.96,"14c","Digital Archive","",""
03/09/1997 17:30,1.593,61.10,"14c","Digital Archive","",""
16/09/1997 21:15,2.131,103.46,"14c","Digital Archive","Non-independent peak removed B",""
18/11/1997 08:00,1.467,51.94,"14c","Digital Archive","",""
06/12/1997 08:00,2.114,102.05,"14c","Digital Archive","",""
01/01/1998 20:00,1.838,79.79,"14c","Digital Archive","",""
11/02/1998 14:45,2.079,99.16,"14c","Digital Archive","",""
06/03/1998 22:15,1.565,59.04,"14c","Digital Archive","",""
23/06/1998 08:45,1.746,72.64,"14c","Digital Archive","",""
23/07/1998 06:15,1.659,66.03,"14c","Digital Archive","",""
03/08/1998 12:45,2.273,115.40,"14c","Digital Archive","",""
06/08/1998 13:30,1.687,68.14,"14c","Digital Archive","",""
17/08/1998 06:45,2.015,93.93,"14c","Digital Archive","",""
09/09/1998 12:15,1.468,52.01,"14c","Digital Archive","",""
13/10/1998 13:00,1.511,55.10,"14c","Digital Archive","",""
21/10/1998 03:00,1.875,82.70,"14c","Digital Archive","",""
24/10/1998 14:00,1.975,90.69,"14c","Digital Archive","",""
12/11/1998 14:15,1.503,54.52,"14c","Digital Archive","",""
28/11/1998 09:15,1.478,52.73,"14c","Digital Archive","",""
13/12/1998 23:15,1.430,49.31,"14c","Digital Archive","",""
24/12/1998 18:15,1.483,53.09,"14c","Digital Archive","",""
06/01/1999 01:15,1.861,81.60,"14c","742006.SG.HiUKPOT","",""
19/02/1999 01:15,2.084,99.57,"14c","742006.SG.HiUKPOT","",""
20/06/1999 00:30,1.911,85.56,"14c","742006.SG.HiUKPOT","",""
05/11/1999 10:30,2.133,103.63,"14c","742006.SG.HiUKPOT","",""
06/12/1999 10:45,2.265,114.72,"14c","742006.SG.HiUKPOT","",""
17/12/1999 06:30,1.641,64.68,"14c","742006.SG.HiUKPOT","",""
11/01/2000 23:15,1.877,82.86,"14c","742006.SG.HiUKPOT","",""
31/01/2000 22:30,1.763,73.95,"14c","742006.SG.HiUKPOT","",""
01/02/2000 13:15,1.689,68.29,"14c","742006.SG.HiUKPOT","",""
02/03/2000 23:00,1.797,76.59,"14c","742006.SG.HiUKPOT","",""
08/03/2000 10:30,1.794,76.35,"14c","742006.SG.HiUKPOT","",""
07/09/2000 12:30,1.915,85.88,"14c","742006.SG.HiUKPOT","",""
25/09/2000 09:15,1.762,73.87,"14c","742006.SG.HiUKPOT","",""
27/09/2000 19:45,1.816,78.07,"14c","742006.SG.HiUKPOT","",""
09/10/2000 16:00,1.939,87.79,"14c","742006.SG.HiUKPOT","",""
10/10/2000 16:15,2.003,92.95,"14c","742006.SG.HiUKPOT","",""
25/10/2000 00:45,1.947,88.44,"14c","742006.SG.HiUKPOT","",""
28/11/2000 15:45,2.178,107.38,"14c","742006.SG.HiUKPOT","",""
05/12/2000 12:45,1.777,75.03,"14c","742006.SG.HiUKPOT","",""
08/12/2000 15:45,1.924,86.59,"14c","742006.SG.HiUKPOT","",""
12/12/2000 20:15,1.700,69.13,"14c","742006.SG.HiUKPOT","",""
08/10/2001 23:30,1.870,82.31,"14c","742006.SG.HiUKPOT","",""
29/11/2001 08:59,2.106,101.39,"14c","742006.SG.WYearMax","",""
29/11/2001 09:00,2.106,101.39,"14c","742006.SG.HiUKPOT","",""
05/12/2001 13:00,1.725,71.03,"14c","742006.SG.HiUKPOT","",""
07/02/2002 13:45,1.960,89.48,"14c","742006.SG.HiUKPOT","",""
11/02/2002 01:00,1.944,88.19,"14c","742006.SG.HiUKPOT","",""
19/02/2002 21:30,1.860,81.52,"14c","742006.SG.HiUKPOT","",""
22/02/2002 03:15,2.001,92.79,"14c","742006.SG.HiUKPOT","",""
25/02/2002 14:45,1.806,77.29,"14c","742006.SG.HiUKPOT","",""
07/09/2002 21:00,1.736,71.88,"14c","742006.SG.HiUKPOT","",""
06/11/2002 06:15,1.861,81.60,"14c","742006.SG.HiUKPOT","",""
08/11/2002 13:45,1.626,63.55,"14c","742006.SG.HiUKPOT","",""
08/03/2003 23:30,1.895,84.29,"14c","742006.SG.HiUKPOT","",""
13/12/2003 02:30,1.824,78.69,"14c","742006.SG.HiUKPOT","",""
26/12/2003 17:45,1.626,63.55,"14c","742006.SG.HiUKPOT","",""
31/01/2004 15:30,2.119,102.46,"14c","742006.SG.HiUKPOT","",""
03/02/2004 06:15,1.677,67.38,"14c","742006.SG.HiUKPOT","",""
19/08/2004 23:45,1.645,64.98,"14c","742006.SG.HiUKPOT","",""
20/09/2004 01:15,1.832,79.32,"14c","742006.SG.HiUKPOT","",""
17/11/2004 02:00,1.768,74.34,"14c","742006.SG.HiUKPOT","",""
14/12/2004 16:30,1.726,71.11,"14c","742006.SG.HiUKPOT","",""
22/12/2004 06:15,2.140,104.21,"14c","742006.SG.HiUKPOT","",""
07/01/2005 22:30,2.169,106.63,"14c","742006.SG.HiUKPOT","",""
12/02/2005 04:30,2.012,93.68,"14c","742006.SG.HiUKPOT","",""
25/05/2005 11:15,1.763,73.95,"14c","742006.SG.HiUKPOT","",""
24/08/2005 09:15,2.036,95.64,"14c","742006.SG.HiUKPOT","",""
11/10/2005 23:00,2.162,106.04,"14c","742006.SG.HiUKPOT","",""
24/10/2005 11:45,1.629,63.78,"14c","742006.SG.HiUKPOT","",""
04/11/2005 05:15,2.118,102.38,"14c","742006.SG.HiUKPOT","",""
06/11/2005 09:00,1.829,79.08,"14c","742006.SG.HiUKPOT","",""
10/01/2006 14:45,2.089,99.99,"14c","742006.SG.HiUKPOT","",""
05/10/2006 19:00,1.869,82.23,"14c","742006.SG.HiUKPOT","",""
28/10/2006 11:15,1.830,79.16,"14c","742006.SG.HiUKPOT","",""
19/11/2006 23:00,1.833,79.39,"14c","742006.SG.HiUKPOT","",""
11/12/2006 05:30,1.664,66.40,"14c","742006.SG.HiUKPOT","",""
06/03/2007 01:30,2.087,99.82,"14c","742006.SG.HiUKPOT","",""
