"NAME:","St Johns Beck at Thirlmere Reservoir"
"NUMBER:","75001"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
12/02/1974 03:00,0.670,7.76,"1c","Mfiche","",""
16/02/1974 14:00,0.910,16.24,"1c","Mfiche","",""
26/12/1974 06:00,0.880,15.03,"1c","Mfiche","",""
29/12/1974 08:00,0.860,14.24,"1c","Mfiche","",""
14/01/1975 16:00,0.900,15.83,"1c","Mfiche","",""
20/01/1975 08:00,0.680,8.06,"1c","Mfiche","",""
22/01/1975 15:00,1.130,24.03,"1d","Mfiche","Non-independent peak removed",""
25/01/1975 13:00,0.810,12.36,"1c","Mfiche","",""
27/01/1975 02:00,0.910,16.24,"1c","Mfiche","",""
31/01/1975 12:00,0.960,18.37,"1c","Mfiche","",""
02/01/1976 21:45,0.321,0.82,"1b","Digital Archive","",""
04/02/1977 04:00,0.676,7.94,"1c","Digital Archive","",""
07/02/1977 18:00,0.708,8.91,"1c","Digital Archive","",""
19/02/1977 04:45,0.398,1.74,"1c","Digital Archive","",""
22/02/1977 19:00,0.363,1.26,"1b","Digital Archive","",""
10/03/1977 20:45,0.316,0.78,"1b","Digital Archive","",""
16/03/1977 04:45,0.611,6.12,"1c","Digital Archive","",""
01/04/1977 21:00,0.458,2.72,"1c","Digital Archive","",""
29/04/1977 09:30,0.465,2.85,"1c","Digital Archive","",""
03/05/1977 23:45,0.365,1.29,"1b","Digital Archive","",""
08/05/1977 06:30,0.363,1.26,"1b","Digital Archive","",""
31/10/1977 12:45,1.001,20.20,"1c","Digital Archive","",""
08/11/1977 02:00,0.676,7.94,"1c","Digital Archive","",""
20/11/1977 02:30,0.453,2.63,"1c","Digital Archive","",""
24/11/1977 01:15,0.513,3.80,"1c","Digital Archive","",""
13/12/1977 03:45,0.458,2.72,"1c","Digital Archive","",""
24/12/1977 06:30,0.954,18.11,"1c","Digital Archive","",""
03/01/1978 17:45,0.486,3.25,"1c","Digital Archive","",""
09/01/1978 20:45,0.358,1.20,"1b","Digital Archive","",""
24/01/1978 10:15,0.509,3.72,"1c","Digital Archive","",""
