"NAME:","Nith at Hall Bridge"
"NUMBER:","79003"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
26/10/1959 00:00,1.940,63.34,"Aa","CEH","",""
19/11/1959 00:00,1.590,42.89,"Aa","CEH","",""
09/12/1959 00:00,1.910,61.40,"Aa","CEH","",""
21/01/1960 00:00,1.840,57.01,"Aa","Dundee Univ.","",""
03/02/1960 00:00,1.820,55.79,"Aa","Dundee Univ.","",""
26/02/1960 00:00,1.720,49.93,"Aa","Dundee Univ.","",""
05/03/1960 00:00,1.710,49.37,"Aa","Dundee Univ.","",""
14/09/1960 00:00,1.790,53.99,"Aa","Dundee Univ.","",""
02/11/1960 00:00,1.630,44.99,"Aa","Dundee Univ.","",""
11/11/1960 00:00,2.100,74.33,"Aa","Dundee Univ.","",""
30/11/1960 00:00,1.850,57.62,"Aa","Dundee Univ.","",""
08/08/1961 00:00,2.150,77.98,"Aa","Dundee Univ.","",""
17/10/1961 00:00,1.660,46.60,"Aa","Dundee Univ.","",""
24/10/1961 00:00,1.990,66.66,"Aa","Dundee Univ.","",""
07/11/1961 00:00,1.710,49.37,"Aa","Dundee Univ.","",""
11/12/1961 00:00,1.660,46.60,"Aa","Dundee Univ.","",""
08/01/1962 00:00,1.860,58.24,"Aa","Dundee Univ.","",""
15/01/1962 00:00,3.500,219.76,"Aa","Dundee Univ.","",""
11/02/1962 00:00,1.910,61.40,"Aa","Dundee Univ.","",""
02/04/1962 00:00,1.620,44.46,"Aa","Dundee Univ.","",""
07/04/1962 00:00,1.700,48.80,"Aa","Dundee Univ.","",""
26/08/1962 00:00,1.640,45.52,"Aa","Dundee Univ.","",""
09/09/1962 00:00,1.810,55.18,"Aa","Dundee Univ.","",""
12/09/1962 00:00,1.710,49.37,"Aa","Dundee Univ.","",""
30/09/1962 00:00,1.950,64.00,"Aa","Dundee Univ.","",""
08/12/1962 00:00,1.840,57.01,"Aa","Dundee Univ.","",""
12/11/1963 00:00,2.090,73.61,"Aa","Dundee Univ.","",""
18/11/1963 00:00,1.800,54.59,"Aa","Dundee Univ.","",""
21/11/1963 00:00,1.620,44.46,"Aa","Dundee Univ.","",""
24/11/1963 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
07/10/1964 00:00,2.190,80.97,"Aa","Dundee Univ.","",""
08/12/1964 00:00,1.610,43.93,"Aa","Dundee Univ.","",""
12/12/1964 00:00,1.820,55.79,"Aa","Dundee Univ.","",""
10/01/1965 00:00,1.700,48.80,"Aa","Dundee Univ.","",""
13/01/1965 00:00,1.780,53.40,"Aa","Dundee Univ.","",""
01/11/1965 00:00,1.790,53.99,"Aa","Dundee Univ.","",""
09/12/1965 00:00,1.860,58.24,"Aa","Dundee Univ.","",""
25/02/1966 00:00,1.700,48.80,"Aa","Dundee Univ.","",""
14/08/1966 00:00,2.270,87.17,"Aa","Dundee Univ.","",""
29/11/1966 00:00,1.810,55.18,"Aa","Dundee Univ.","",""
17/12/1966 00:00,1.700,48.80,"Aa","Dundee Univ.","",""
19/12/1966 00:00,2.120,75.77,"Aa","Dundee Univ.","",""
27/02/1967 00:00,1.760,52.23,"Aa","Dundee Univ.","",""
22/05/1967 00:00,1.620,44.46,"Aa","Dundee Univ.","",""
05/09/1967 00:00,1.630,44.99,"Aa","Dundee Univ.","",""
09/10/1967 00:00,2.120,75.77,"Aa","Dundee Univ.","",""
16/01/1968 00:00,1.640,45.52,"Aa","Dundee Univ.","",""
02/07/1968 00:00,1.740,51.07,"Aa","Dundee Univ.","",""
12/09/1968 00:00,1.900,60.76,"Aa","Dundee Univ.","",""
29/09/1968 00:00,1.630,44.99,"Aa","Dundee Univ.","",""
02/10/1968 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
19/10/1968 00:00,1.670,47.15,"Aa","Dundee Univ.","",""
22/12/1968 00:00,1.640,45.52,"Aa","Dundee Univ.","",""
22/11/1969 00:00,1.750,51.65,"Aa","Dundee Univ.","",""
14/12/1969 00:00,1.880,59.49,"Aa","Dundee Univ.","",""
21/12/1969 00:00,1.780,53.40,"Aa","Dundee Univ.","",""
18/01/1970 00:00,1.710,49.37,"Aa","Dundee Univ.","",""
02/02/1970 00:00,1.980,65.99,"Aa","Dundee Univ.","",""
21/02/1970 00:00,1.760,52.23,"Aa","Dundee Univ.","",""
23/02/1970 00:00,1.800,54.59,"Aa","Dundee Univ.","",""
31/10/1970 00:00,1.650,46.06,"Aa","Dundee Univ.","",""
15/02/1971 00:00,1.600,43.41,"Aa","Dundee Univ.","",""
11/01/1972 00:00,1.630,44.99,"Aa","Dundee Univ.","",""
12/01/1972 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
17/01/1972 00:00,1.720,49.93,"Aa","Dundee Univ.","",""
19/01/1972 00:00,1.770,52.81,"Aa","Dundee Univ.","",""
09/04/1972 00:00,1.860,58.24,"Aa","Dundee Univ.","",""
09/11/1972 00:00,1.670,47.15,"Aa","Dundee Univ.","",""
19/11/1972 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
11/12/1972 00:00,2.000,67.34,"Aa","Dundee Univ.","",""
12/11/1973 00:00,1.670,47.15,"Aa","Dundee Univ.","",""
16/12/1973 00:00,1.760,52.23,"Aa","Dundee Univ.","",""
05/01/1974 00:00,1.930,62.69,"Aa","Dundee Univ.","",""
08/01/1974 00:00,1.800,54.59,"Aa","Dundee Univ.","",""
10/01/1974 00:00,1.720,49.93,"Aa","Dundee Univ.","",""
12/01/1974 00:00,1.790,53.99,"Aa","Dundee Univ.","",""
18/01/1974 00:00,1.970,65.32,"Aa","Dundee Univ.","",""
30/01/1974 00:00,3.040,161.61,"Aa","Dundee Univ.","",""
11/11/1974 00:00,1.630,44.99,"Aa","Dundee Univ.","",""
26/12/1974 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
14/01/1975 00:00,1.910,61.40,"Aa","Dundee Univ.","",""
15/01/1975 00:00,1.880,59.49,"Aa","Dundee Univ.","",""
19/01/1975 00:00,1.910,61.40,"Aa","Dundee Univ.","",""
22/01/1975 00:00,1.930,62.69,"Aa","Dundee Univ.","",""
01/12/1975 00:00,1.650,46.06,"Aa","Dundee Univ.","",""
02/01/1976 00:00,1.760,52.23,"Aa","Dundee Univ.","",""
06/11/1976 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
02/02/1977 00:00,2.030,69.39,"Aa","Dundee Univ.","",""
03/02/1977 00:00,2.060,71.48,"Aa","Dundee Univ.","",""
01/12/1977 00:00,2.600,115.72,"Aa","Dundee Univ.","",""
15/11/1978 00:00,1.790,53.99,"Aa","Dundee Univ.","",""
07/01/1979 00:00,1.690,48.25,"Aa","Dundee Univ.","",""
25/11/1979 00:00,1.920,62.04,"Aa","Dundee Univ.","",""
18/12/1979 00:00,1.620,44.46,"Aa","Dundee Univ.","",""
27/12/1979 00:00,1.870,58.87,"Aa","Dundee Univ.","",""
03/01/1980 00:00,1.630,44.99,"Aa","Dundee Univ.","",""
13/09/1980 00:00,1.620,44.46,"Aa","Dundee Univ.","",""
07/10/1980 00:00,1.880,59.49,"Aa","Dundee Univ.","",""
25/10/1980 00:00,1.640,45.52,"Aa","Dundee Univ.","",""
14/12/1980 00:00,1.660,46.60,"Aa","Dundee Univ.","",""
02/01/1981 00:00,2.570,112.92,"Aa","Dundee Univ.","",""
14/01/1981 00:00,1.790,53.99,"Aa","Dundee Univ.","",""
07/03/1981 00:00,1.660,46.60,"Aa","Dundee Univ.","",""
20/09/1981 00:00,1.710,49.37,"Aa","Dundee Univ.","",""
23/09/1981 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
26/09/1981 00:00,1.690,48.25,"Aa","Dundee Univ.","",""
01/10/1981 09:00,2.050,70.78,"Aa","Dundee Univ.","",""
23/11/1981 00:00,1.650,46.06,"Aa","Dundee Univ.","",""
03/01/1982 00:00,1.810,55.18,"Aa","Dundee Univ.","",""
13/02/1982 00:00,1.740,51.07,"Aa","Dundee Univ.","",""
24/09/1982 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
28/09/1982 00:00,1.820,55.79,"Aa","Dundee Univ.","",""
02/10/1982 00:00,1.870,58.87,"Aa","Dundee Univ.","",""
18/10/1982 00:00,2.200,81.73,"Aa","Dundee Univ.","",""
06/11/1982 00:00,1.690,48.25,"Aa","Dundee Univ.","",""
23/11/1982 00:00,1.720,49.93,"Aa","Dundee Univ.","",""
19/12/1982 00:00,2.400,97.84,"Aa","Dundee Univ.","",""
02/01/1983 00:00,1.650,46.06,"Aa","Dundee Univ.","",""
15/10/1983 00:00,1.900,60.76,"Aa","Dundee Univ.","",""
14/12/1983 00:00,1.800,54.59,"Aa","Dundee Univ.","",""
02/01/1984 00:00,1.650,46.06,"Aa","Dundee Univ.","",""
13/01/1984 00:00,2.060,71.48,"Aa","Dundee Univ.","",""
04/02/1984 00:00,1.950,64.00,"Aa","Dundee Univ.","",""
18/10/1984 00:00,1.690,48.25,"Aa","Dundee Univ.","",""
20/10/1984 00:00,1.640,45.52,"Aa","Dundee Univ.","",""
27/11/1984 00:00,1.810,55.18,"Aa","Dundee Univ.","",""
15/08/1985 00:00,1.800,54.59,"Aa","Dundee Univ.","",""
19/09/1985 00:00,1.690,48.25,"Aa","Dundee Univ.","",""
21/09/1985 00:00,2.030,69.39,"Aa","Dundee Univ.","",""
20/12/1985 00:00,1.680,47.69,"Aa","Dundee Univ.","",""
10/01/1986 00:00,1.720,49.93,"Aa","Dundee Univ.","",""
22/03/1986 00:00,1.590,42.89,"Aa","Dundee Univ.","",""
24/10/1986 00:00,1.590,42.89,"Aa","Dundee Univ.","",""
05/11/1986 00:00,1.650,46.06,"Aa","Dundee Univ.","",""
16/11/1986 00:00,1.640,45.52,"Aa","Dundee Univ.","",""
24/11/1986 00:00,1.610,43.93,"Aa","Dundee Univ.","",""
02/12/1986 00:00,1.590,42.89,"Aa","Dundee Univ.","",""
07/12/1986 00:00,1.780,53.40,"Aa","Dundee Univ.","",""
10/12/1986 00:00,1.660,46.60,"Aa","Dundee Univ.","",""
12/12/1986 00:00,1.950,64.00,"Aa","Dundee Univ.","",""
28/12/1986 00:00,1.790,53.99,"Aa","Dundee Univ.","",""
10/07/1987 00:00,1.740,51.07,"Aa","Dundee Univ.","",""
20/08/1987 00:00,1.690,48.25,"Aa","Dundee Univ.","",""
17/10/1987 00:00,1.870,58.87,"Aa","Dundee Univ.","",""
31/12/1987 00:00,1.600,43.41,"Aa","Dundee Univ.","",""
02/01/1988 08:45,1.568,41.76,"Aa","Digital Archive","",""
13/01/1988 04:45,2.100,74.33,"Aa","Digital Archive","",""
19/01/1988 13:15,1.685,47.97,"Aa","Digital Archive","",""
31/01/1988 10:30,1.551,40.90,"Aa","Digital Archive","",""
01/02/1988 22:00,2.116,75.48,"Aa","Digital Archive","",""
09/02/1988 21:15,1.619,44.40,"Aa","Digital Archive","",""
13/02/1988 17:00,1.533,40.00,"Aa","Digital Archive","",""
15/03/1988 23:45,1.686,48.03,"Aa","Digital Archive","",""
26/10/1988 05:00,1.852,57.75,"Aa","Digital Archive","",""
19/12/1988 05:45,1.803,54.76,"Aa","Digital Archive","",""
11/01/1989 18:45,1.811,55.24,"Aa","Digital Archive","",""
13/01/1989 20:30,1.645,45.79,"Aa","Digital Archive","",""
15/02/1989 08:30,1.517,39.22,"Aa","Digital Archive","",""
22/03/1989 08:00,1.627,44.83,"Aa","Digital Archive","",""
24/03/1989 01:30,1.675,47.42,"Aa","Digital Archive","",""
17/12/1989 03:00,1.803,54.76,"Aa","Digital Archive","",""
24/12/1989 15:00,2.037,69.87,"Aa","Digital Archive","",""
19/01/1990 07:15,1.626,44.78,"Aa","Digital Archive","",""
23/01/1990 03:30,1.751,51.70,"Aa","Digital Archive","",""
29/01/1990 21:45,2.085,73.25,"Aa","Digital Archive","",""
30/01/1990 21:30,1.784,53.63,"Aa","Digital Archive","",""
06/02/1990 19:00,1.680,47.69,"Aa","Digital Archive","",""
11/02/1990 20:15,1.607,43.77,"Aa","Digital Archive","",""
17/02/1990 15:30,1.743,51.24,"Aa","Digital Archive","",""
19/02/1990 09:45,1.536,40.15,"Aa","Digital Archive","",""
24/02/1990 17:45,1.586,42.68,"Aa","Digital Archive","",""
26/02/1990 07:00,1.788,53.87,"Aa","Digital Archive","",""
06/03/1990 18:15,1.525,39.61,"Aa","Digital Archive","",""
10/03/1990 06:00,1.653,46.22,"Aa","Digital Archive","",""
29/08/1990 11:45,1.514,39.07,"Aa","Digital Archive","",""
06/09/1990 21:30,1.605,43.67,"Aa","Digital Archive","",""
03/10/1990 02:00,1.774,53.04,"Aa","Digital Archive","",""
06/10/1990 19:15,1.803,54.76,"Aa","Digital Archive","",""
23/12/1990 06:00,1.714,49.59,"Aa","Digital Archive","",""
25/12/1990 17:45,2.214,82.80,"Aa","Digital Archive","",""
28/12/1990 16:15,1.638,45.41,"Aa","Digital Archive","",""
01/01/1991 17:00,1.938,63.21,"Aa","Digital Archive","",""
05/01/1991 08:00,1.716,49.70,"Aa","Digital Archive","",""
18/01/1991 20:45,1.690,48.25,"Aa","Digital Archive","",""
23/02/1991 06:15,1.625,44.72,"Aa","Digital Archive","",""
04/03/1991 23:00,1.624,44.67,"Aa","Digital Archive","",""
02/04/1991 08:00,1.623,44.62,"Aa","Digital Archive","",""
04/04/1991 15:00,1.541,40.40,"Aa","Digital Archive","",""
06/04/1991 17:45,1.658,46.49,"Aa","Digital Archive","",""
12/04/1991 20:15,1.810,55.18,"Aa","Digital Archive","",""
01/11/1991 07:30,1.861,58.30,"Aa","Digital Archive","",""
08/11/1991 01:15,1.863,58.43,"Aa","Digital Archive","",""
10/11/1991 21:30,1.704,49.03,"Aa","Digital Archive","",""
12/11/1991 18:30,1.891,60.19,"Aa","Digital Archive","",""
19/12/1991 08:45,1.726,50.27,"Aa","Digital Archive","",""
22/12/1991 14:15,2.588,114.60,"Aa","Digital Archive","",""
08/01/1992 12:00,1.682,47.81,"Aa","Digital Archive","",""
23/02/1992 00:15,1.681,47.75,"Aa","Digital Archive","",""
07/03/1992 10:00,1.518,39.27,"Aa","Digital Archive","",""
09/03/1992 18:30,1.583,42.53,"Aa","Digital Archive","",""
12/03/1992 13:30,1.772,52.93,"Aa","Digital Archive","",""
24/04/1992 12:30,1.599,43.36,"Aa","Digital Archive","",""
11/09/1992 13:30,1.537,40.20,"Aa","Digital Archive","",""
01/11/1992 06:30,1.608,43.83,"Aa","Digital Archive","",""
02/11/1992 16:30,1.548,40.75,"Aa","Digital Archive","",""
09/11/1992 16:00,1.620,44.46,"Aa","Digital Archive","",""
06/12/1992 22:30,1.605,43.67,"Aa","Digital Archive","",""
18/12/1992 08:30,1.806,54.94,"Aa","Digital Archive","",""
09/01/1993 06:15,1.789,53.93,"Aa","Digital Archive","",""
15/01/1993 08:30,1.961,64.72,"Aa","Digital Archive","",""
23/01/1993 20:15,1.745,51.36,"Aa","Digital Archive","",""
18/03/1993 14:30,1.988,66.53,"Aa","Digital Archive","",""
31/03/1993 13:30,1.994,66.93,"Aa","Digital Archive","Non-independent peak removed B","AMAX ONLY"
06/04/1993 06:15,1.630,44.99,"Aa","Digital Archive","",""
17/05/1993 17:15,1.901,60.82,"Aa","Digital Archive","",""
04/12/1993 00:45,1.733,50.67,"Aa","Digital Archive","",""
09/12/1993 06:15,1.778,53.28,"Aa","Digital Archive","",""
19/12/1993 05:15,1.624,44.67,"Aa","Digital Archive","",""
29/12/1993 09:45,1.569,41.81,"Aa","Digital Archive","",""
10/01/1994 01:45,1.771,52.87,"Aa","Digital Archive","",""
01/02/1994 16:30,1.784,53.63,"Aa","Digital Archive","",""
05/03/1994 03:30,1.520,39.36,"Aa","Digital Archive","",""
22/03/1994 06:30,1.518,39.27,"Aa","Digital Archive","",""
23/03/1994 15:15,1.644,45.74,"Aa","Digital Archive","",""
30/03/1994 21:45,1.623,44.62,"Aa","Digital Archive","",""
03/04/1994 23:00,1.639,45.47,"Aa","Digital Archive","",""
23/10/1994 05:45,1.566,41.66,"Aa","Digital Archive","",""
13/11/1994 18:45,1.613,44.09,"Aa","Digital Archive","",""
15/11/1994 17:30,1.532,39.96,"Aa","Digital Archive","",""
07/12/1994 01:15,1.615,44.19,"Aa","Digital Archive","",""
08/12/1994 07:45,1.667,46.98,"Aa","Digital Archive","",""
