"NAME:","Spey at Kinrara"
"NUMBER:","8002"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
05/11/1951 00:00,1.370,99.25,"QHigh19501","SEPA POT","","AMAX ONLY"
02/09/1953 00:00,1.340,95.79,"QHigh19501","SEPA POT","","AMAX ONLY"
07/11/1953 00:00,1.460,110.10,"QHigh19501","SEPA POT","",""
28/11/1954 00:00,1.500,115.20,"QHigh19501","SEPA POT","",""
04/12/1954 00:00,2.050,200.40,"QHigh19501","SEPA POT","",""
18/12/1954 00:00,1.490,113.90,"QHigh19501","SEPA POT","",""
27/12/1954 00:00,1.640,134.00,"QHigh19501","SEPA POT","",""
28/12/1955 00:00,1.730,147.10,"QHigh19501","SEPA POT","",""
01/03/1956 00:00,1.530,119.00,"QHigh19501","SEPA POT","",""
30/07/1956 00:00,1.640,134.00,"QHigh19501","SEPA POT","",""
14/08/1956 00:00,1.500,115.20,"QHigh19501","SEPA POT","",""
16/12/1956 00:00,2.100,209.60,"QHigh19501","SEPA POT","",""
04/02/1957 00:00,1.520,117.70,"QHigh19501","SEPA POT","",""
28/01/1958 00:00,1.460,110.10,"QHigh19501","SEPA POT","",""
19/01/1959 00:00,1.170,77.64,"QHigh19501","SEPA POT","","AMAX ONLY"
23/01/1960 00:00,1.560,123.00,"QHigh19501","SEPA POT","",""
14/02/1961 00:00,1.440,107.60,"QHigh19501","SEPA POT","",""
28/09/1961 00:00,1.600,128.50,"QHigh19501","SEPA POT","",""
18/10/1961 00:00,1.480,112.60,"QHigh19501","SEPA POT","",""
24/10/1961 00:00,1.510,116.40,"QHigh19501","SEPA POT","",""
13/12/1961 00:00,1.680,139.80,"QHigh19501","SEPA POT","",""
31/01/1962 00:00,1.850,165.90,"QHigh19501","SEPA POT","",""
12/02/1962 00:00,2.410,273.40,"QHigh19501","SEPA POT","",""
16/02/1962 00:00,1.580,125.70,"QHigh19501","SEPA POT","",""
17/08/1962 00:00,1.490,113.90,"QHigh19501","SEPA POT","",""
14/12/1962 00:00,1.470,111.40,"QHigh19501","SEPA POT","",""
16/12/1962 00:00,1.650,135.40,"QHigh19501","SEPA POT","",""
21/10/1963 00:00,1.170,77.64,"QHigh19501","SEPA POT","","AMAX ONLY"
08/12/1964 00:00,1.430,106.40,"QHigh19501","SEPA POT","",""
11/01/1965 00:00,1.530,119.00,"QHigh19501","SEPA POT","",""
26/09/1965 00:00,1.430,106.40,"QHigh19501","SEPA POT","",""
24/06/1966 00:00,1.560,123.00,"QHigh19501","SEPA POT","",""
18/12/1966 00:00,2.770,361.50,"QHigh19501","SEPA POT","",""
06/03/1967 00:00,1.930,179.20,"QHigh19501","SEPA POT","",""
15/01/1968 00:00,1.540,120.40,"QHigh19501","SEPA POT","",""
28/03/1968 00:00,1.850,165.90,"QHigh19501","SEPA POT","",""
30/10/1968 00:00,1.390,101.60,"QHigh19501","SEPA POT","","AMAX ONLY"
02/11/1969 00:00,1.480,112.60,"QHigh19501","SEPA POT","",""
17/03/1970 00:00,1.600,128.50,"QHigh19501","SEPA POT","",""
17/08/1970 00:00,1.650,135.40,"QHigh19501","SEPA POT","",""
09/01/1971 00:00,1.630,132.60,"QHigh19501","SEPA POT","",""
22/10/1971 00:00,1.600,128.50,"QHigh19501","SEPA POT","",""
21/12/1971 00:00,1.430,106.40,"QHigh19501","SEPA POT","",""
14/12/1972 00:00,1.403,103.10,"QHigh19501","SEPA POT","","AMAX ONLY"
27/12/1973 00:00,1.435,107.00,"QHigh19501","SEPA POT","",""
05/01/1974 00:00,1.499,115.00,"QHigh19501","SEPA POT","",""
12/01/1974 00:00,1.583,126.10,"QHigh19501","SEPA POT","",""
19/01/1974 00:00,2.440,280.10,"QHigh19501","SEPA POT","",""
26/01/1974 00:00,1.521,117.90,"QHigh19501","SEPA POT","",""
29/01/1974 00:00,1.777,154.30,"QHigh19501","SEPA POT","",""
22/11/1974 00:00,1.507,116.10,"QHigh19501","SEPA POT","",""
21/12/1974 00:00,2.240,237.10,"QHigh19501","SEPA POT","",""
15/01/1975 00:00,2.111,211.70,"QHigh19501","SEPA POT","",""
25/09/1975 00:00,1.424,105.70,"QHigh19501","SEPA POT","",""
07/01/1976 00:00,1.719,145.50,"QHigh19501","SEPA POT","",""
19/01/1976 00:00,1.445,108.20,"QHigh19501","SEPA POT","",""
23/01/1976 00:00,1.491,114.00,"QHigh19501","SEPA POT","",""
27/11/1976 00:00,1.393,102.00,"QHigh19501","SEPA POT","","AMAX ONLY"
11/11/1977 00:00,1.500,115.20,"QHigh19501","SEPA POT","",""
15/11/1978 00:00,2.242,237.50,"QHigh19501","SEPA POT","",""
03/03/1979 00:00,2.431,278.10,"QHigh19501","SEPA POT","",""
04/12/1979 00:00,1.407,103.60,"QHigh19501","SEPA POT","","AMAX ONLY"
20/11/1980 00:00,1.420,105.20,"QHigh19501","SEPA POT","",""
02/01/1981 00:00,1.601,128.60,"QHigh19501","SEPA POT","",""
08/01/1981 00:00,1.435,107.00,"QHigh19501","SEPA POT","",""
20/09/1981 00:00,1.750,150.20,"QHigh19501","SEPA POT","",""
27/09/1981 00:00,1.780,154.80,"QHigh19501","SEPA POT","",""
04/10/1981 00:00,2.020,194.90,"QHigh19501","SEPA POT","",""
22/11/1981 00:00,1.464,110.60,"QHigh19501","SEPA POT","",""
26/11/1981 00:00,1.723,146.10,"QHigh19501","SEPA POT","",""
30/01/1982 00:00,1.685,140.50,"QHigh19501","SEPA POT","",""
28/09/1982 00:00,1.520,117.70,"QHigh19501","SEPA POT","",""
01/10/1982 00:00,1.710,144.20,"QHigh19501","SEPA POT","",""
17/10/1982 00:00,1.510,116.40,"QHigh19501","SEPA POT","",""
21/11/1982 00:00,1.630,132.60,"QHigh19501","SEPA POT","",""
15/12/1982 00:00,1.427,106.00,"QHigh19501","SEPA POT","",""
26/12/1982 00:00,1.666,137.70,"QHigh19501","SEPA POT","",""
06/01/1983 00:00,1.993,190.10,"QHigh19501","SEPA POT","",""
11/01/1983 00:00,2.217,232.40,"QHigh19501","SEPA POT","",""
17/01/1983 00:00,1.598,128.20,"QHigh19501","SEPA POT","",""
06/03/1983 00:00,1.460,110.10,"QHigh19501","SEPA POT","",""
11/09/1983 00:00,1.500,115.20,"QHigh19501","SEPA POT","",""
15/10/1983 00:00,1.500,115.20,"QHigh19501","SEPA POT","",""
19/10/1983 00:00,1.810,159.50,"QHigh19501","SEPA POT","",""
28/12/1983 00:00,1.900,174.10,"QHigh19501","SEPA POT","",""
01/01/1984 00:00,2.450,282.40,"QHigh19501","SEPA POT","",""
23/09/1984 00:00,1.467,111.00,"QHigh19501","SEPA POT","",""
10/11/1984 00:00,1.451,109.00,"QHigh19501","SEPA POT","",""
28/11/1984 00:00,2.060,202.20,"QHigh19501","SEPA POT","",""
02/02/1985 00:00,1.430,106.40,"QHigh19501","SEPA POT","",""
01/09/1985 00:00,1.420,105.20,"QHigh19501","SEPA POT","",""
03/12/1985 00:00,1.820,161.10,"QHigh19501","SEPA POT","",""
21/12/1985 00:00,1.550,121.70,"QHigh19501","SEPA POT","",""
14/01/1986 00:00,1.580,125.70,"QHigh19501","SEPA POT","",""
23/03/1986 00:00,1.600,128.50,"QHigh19501","SEPA POT","",""
30/10/1986 00:00,1.470,111.40,"QHigh19501","SEPA POT","",""
09/11/1986 00:00,1.466,110.90,"QHigh19501","SEPA POT","",""
04/12/1986 00:00,1.421,105.30,"QHigh19501","SEPA POT","",""
07/12/1986 00:00,1.758,151.40,"QHigh19501","SEPA POT","",""
28/12/1986 00:00,1.497,114.80,"QHigh19501","SEPA POT","",""
13/01/1988 09:00,1.362,98.32,"QHigh19501","Digital Archive","","AMAX ONLY"
09/10/1988 20:00,1.634,133.18,"QHigh19501","Digital Archive","",""
15/01/1989 22:15,2.691,238.27,"QHigh19891","Digital Archive","",""
07/02/1989 20:45,2.384,199.23,"QHigh19891","Digital Archive","",""
15/02/1989 08:45,1.624,112.99,"QHigh19891","Digital Archive","",""
06/03/1989 11:30,1.632,113.81,"QHigh19891","Digital Archive","",""
10/03/1989 04:00,1.544,104.86,"QHigh19891","Digital Archive","",""
23/01/1990 07:30,1.799,131.43,"QHigh19891","Digital Archive","",""
05/02/1990 10:00,2.897,265.70,"QHigh19891","Digital Archive","",""
24/02/1990 21:45,1.921,144.81,"QHigh19891","Digital Archive","",""
06/03/1990 21:00,2.507,214.60,"QHigh19891","Digital Archive","",""
12/03/1990 02:15,2.072,161.94,"QHigh19891","Digital Archive","",""
16/03/1990 19:30,2.279,186.40,"QHigh19891","Digital Archive","",""
01/07/1990 23:15,1.581,108.59,"QHigh19891","Digital Archive","",""
06/10/1990 23:30,1.744,125.54,"QHigh19891","Digital Archive","",""
03/01/1991 01:45,1.720,122.99,"QHigh19891","Digital Archive","",""
20/03/1991 00:15,1.704,121.31,"QHigh19891","Digital Archive","",""
12/11/1991 21:45,1.561,106.57,"QHigh19891","Digital Archive","",""
22/12/1991 20:15,1.696,120.47,"QHigh19891","Digital Archive","",""
03/01/1992 14:00,2.597,226.08,"QHigh19891","Digital Archive","",""
08/01/1992 02:45,1.883,140.60,"QHigh19891","Digital Archive","",""
23/11/1992 20:15,1.864,138.51,"QHigh19891","Digital Archive","",""
27/11/1992 20:15,1.887,141.04,"QHigh19891","Digital Archive","",""
02/12/1992 17:45,1.647,115.36,"QHigh19891","Digital Archive","",""
16/12/1992 03:45,1.624,112.99,"QHigh19891","Digital Archive","",""
17/01/1993 16:45,2.806,253.46,"QHigh19891","Digital Archive","",""
24/01/1993 23:30,2.039,158.14,"QHigh19891","Digital Archive","",""
06/02/1993 13:15,1.857,137.74,"QHigh19891","Digital Archive","",""
30/03/1993 16:45,1.970,150.30,"QHigh19891","Digital Archive","",""
