"NAME:","Gryfe at Craigend"
"NUMBER:","84011"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
09/10/1963 00:00,2.120,42.52,"3a","Chart","",""
19/10/1963 21:00,2.110,41.81,"3a","Chart","",""
10/11/1963 01:00,2.210,49.16,"3a","Chart","",""
21/11/1963 10:00,2.140,43.96,"3a","Chart","",""
24/11/1963 11:00,2.300,56.26,"3a","Chart","",""
07/05/1964 00:00,2.070,39.03,"3a","Dundee Univ.","",""
11/12/1964 00:00,2.420,66.41,"3a","Dundee Univ.","",""
29/12/1964 00:00,2.150,44.68,"3a","Dundee Univ.","",""
10/01/1965 00:00,2.070,39.03,"3a","Dundee Univ.","",""
16/01/1965 00:00,2.070,39.03,"3a","Dundee Univ.","",""
26/03/1965 00:00,2.350,60.39,"3a","Dundee Univ.","",""
25/06/1965 00:00,2.140,43.96,"3a","Dundee Univ.","",""
04/08/1965 00:00,2.220,49.93,"3a","Dundee Univ.","",""
31/10/1965 00:00,2.710,94.22,"3a","Dundee Univ.","",""
08/12/1965 00:00,2.150,44.68,"3a","Dundee Univ.","",""
04/02/1966 00:00,2.120,42.52,"3a","Dundee Univ.","",""
25/02/1966 00:00,2.340,59.55,"3a","Dundee Univ.","",""
14/09/1966 00:00,2.060,38.35,"3a","Dundee Univ.","",""
05/10/1966 00:00,2.410,65.54,"3a","Dundee Univ.","",""
29/11/1966 00:00,2.080,39.71,"3a","Dundee Univ.","",""
17/12/1966 00:00,2.300,56.26,"3a","Dundee Univ.","",""
19/12/1966 00:00,2.380,62.94,"3a","Dundee Univ.","",""
27/02/1967 00:00,2.360,61.24,"3a","Dundee Univ.","",""
07/10/1967 00:00,2.130,43.24,"3a","Dundee Univ.","",""
09/10/1967 00:00,2.290,55.45,"3a","Dundee Univ.","",""
13/10/1967 00:00,2.080,39.71,"3a","Dundee Univ.","",""
18/01/1968 00:00,2.260,53.05,"3a","Dundee Univ.","",""
31/01/1968 00:00,2.210,49.16,"3a","Dundee Univ.","",""
04/02/1968 00:00,2.280,54.64,"3a","Dundee Univ.","",""
26/03/1968 00:00,2.540,77.37,"3a","Dundee Univ.","",""
05/05/1968 00:00,2.270,53.84,"3a","Dundee Univ.","",""
09/10/1968 00:00,2.300,56.26,"3a","Dundee Univ.","",""
11/10/1968 00:00,2.170,46.15,"3a","Dundee Univ.","",""
02/11/1969 00:00,2.360,61.24,"3a","Dundee Univ.","",""
21/11/1969 00:00,2.430,67.30,"3a","Dundee Univ.","",""
18/01/1970 00:00,2.060,38.35,"3a","Dundee Univ.","",""
01/02/1970 00:00,2.500,73.63,"3a","Dundee Univ.","",""
16/08/1970 00:00,2.230,50.70,"3a","Dundee Univ.","",""
01/10/1970 00:00,2.200,48.40,"3a","Dundee Univ.","",""
30/10/1970 00:00,2.100,41.11,"3a","Dundee Univ.","",""
31/10/1970 00:00,2.250,52.26,"3a","Dundee Univ.","",""
03/11/1970 00:00,2.400,64.67,"3a","Dundee Univ.","",""
02/12/1970 00:00,2.180,46.90,"3a","Dundee Univ.","",""
06/01/1971 00:00,2.080,39.71,"3a","Dundee Univ.","",""
