"NAME:","Luggie Water at Oxgang"
"NUMBER:","84025"
"DATE","STAGE (m)","FLOW (m^3/s)","RATING","SOURCE","COMMENT","AMAX ONLY"
18/01/1974 15:00,2.040,28.32,"1b","Chart","",""
24/11/1974 23:00,0.780,7.24,"1b","Chart","",""
27/11/1974 13:00,0.820,7.71,"1b","Chart","",""
30/01/1975 09:00,1.490,17.56,"1b","Chart","",""
02/01/1976 21:00,1.470,17.21,"1b","Chart","",""
19/01/1976 04:00,1.600,19.52,"1b","Chart","",""
21/03/1976 18:00,1.430,16.53,"1b","Chart","",""
22/05/1976 09:00,1.520,18.08,"1b","Chart","",""
15/10/1976 14:00,1.490,17.56,"1b","Chart","",""
27/11/1976 06:00,1.400,16.02,"1b","Chart","",""
10/02/1977 18:00,1.770,22.74,"1b","Chart","",""
29/09/1977 03:00,1.910,25.57,"1b","Chart","",""
07/10/1977 03:00,2.000,27.46,"1b","Chart","",""
31/10/1977 14:00,1.920,25.77,"1b","Chart","",""
10/11/1977 09:00,1.710,21.58,"1b","Chart","",""
10/09/1978 08:45,2.037,28.26,"1b","Digital Archive","",""
29/09/1978 01:00,1.602,19.56,"1b","Digital Archive","",""
14/11/1978 10:00,1.419,16.34,"1b","Digital Archive","",""
15/11/1978 08:15,1.807,23.48,"1b","Digital Archive","",""
22/11/1978 22:45,1.462,17.07,"1b","Digital Archive","",""
07/01/1979 02:15,1.650,20.45,"1b","Digital Archive","",""
16/01/1979 12:00,1.427,16.48,"1b","Digital Archive","",""
14/08/1979 10:00,1.330,14.87,"1b","Digital Archive","",""
05/10/1979 00:45,1.790,23.14,"1b","Digital Archive","",""
31/10/1979 01:45,1.329,14.86,"1b","Digital Archive","",""
08/12/1979 06:15,1.676,20.93,"1b","Digital Archive","",""
27/12/1979 13:30,1.379,15.67,"1b","Digital Archive","",""
04/01/1980 02:45,1.153,22.07,"2b","Digital Archive","",""
12/02/1980 14:15,0.970,15.40,"2b","Digital Archive","",""
17/03/1980 22:15,0.959,15.04,"2b","Digital Archive","",""
12/09/1980 04:15,0.942,14.49,"2b","Digital Archive","",""
24/10/1980 10:15,1.171,22.80,"2b","Digital Archive","",""
14/12/1980 16:45,1.108,20.32,"2b","Digital Archive","",""
24/12/1980 12:00,1.015,16.93,"2b","Digital Archive","",""
25/12/1980 17:30,0.969,15.37,"2b","Digital Archive","",""
31/12/1980 14:30,1.002,16.48,"2b","Digital Archive","",""
03/02/1981 02:30,1.086,19.49,"2b","Digital Archive","",""
07/02/1981 17:30,1.347,30.52,"2b","Digital Archive","",""
07/03/1981 09:30,1.220,24.83,"2b","Digital Archive","",""
10/03/1981 19:30,1.496,37.98,"2b","Digital Archive","",""
18/09/1981 08:15,1.022,17.17,"2b","Digital Archive","",""
20/09/1981 12:15,1.487,37.50,"2b","Digital Archive","",""
23/09/1981 23:45,0.930,14.11,"2b","Digital Archive","",""
27/09/1981 03:30,1.505,38.45,"2b","Digital Archive","",""
02/10/1981 10:00,1.734,51.67,"2b","Digital Archive","",""
09/10/1981 06:15,0.986,15.94,"2b","Digital Archive","",""
29/10/1981 18:00,0.978,15.67,"2b","Digital Archive","",""
01/11/1981 23:45,1.082,19.34,"2b","Digital Archive","",""
03/11/1981 20:15,0.932,14.17,"2b","Digital Archive","",""
23/11/1981 05:15,1.001,16.45,"2b","Digital Archive","",""
03/01/1982 12:15,1.350,30.66,"2b","Digital Archive","",""
